Month,Monthly_Average,Monthly_Peak,Monthly_Valley,Monthly_75th_Percentile,Monthly_25th_Percentile,Source_File,Type
1,11.375339,18.717043,4.97986,14.513952493667603,7.168891191482544,com_12824.parquet,com
2,10.793856,18.567156,4.97986,13.546148300170898,6.752189874649048,com_12824.parquet,com
3,10.763711,18.58357,4.2029343,13.616780996322632,6.88804018497467,com_12824.parquet,com
4,10.181679,18.53523,3.06136,13.42085075378418,6.2193896770477295,com_12824.parquet,com
5,10.066761,17.309814,1.7606268,13.42085075378418,5.812555313110352,com_12824.parquet,com
6,9.933301,17.290451,1.1102604,13.42085075378418,5.76697301864624,com_12824.parquet,com
7,9.8916,17.290451,1.1102604,13.42085075378418,5.76697301864624,com_12824.parquet,com
8,10.156101,17.290451,1.7606268,13.42085075378418,5.9485344886779785,com_12824.parquet,com
9,10.146435,17.290451,3.7117262,13.42085075378418,5.812555313110352,com_12824.parquet,com
10,10.571265,17.830265,4.97986,13.42085075378418,6.3717570304870605,com_12824.parquet,com
11,10.980982,18.661694,4.97986,13.755709648132324,6.976541519165039,com_12824.parquet,com
12,11.026353,18.589825,4.97986,14.009462356567383,6.955214858055115,com_12824.parquet,com
1,6.219118,8.976753,2.2938094,7.3193405866622925,5.4323893785476685,com_12884.parquet,com
2,6.0846047,9.71796,2.100705,7.1689612865448,5.260454058647156,com_12884.parquet,com
3,6.011494,8.902483,1.7552488,6.864821910858154,5.385731339454651,com_12884.parquet,com
4,5.9365697,10.59072,1.4400898,6.890466213226318,4.905020117759705,com_12884.parquet,com
5,7.7964983,13.474498,1.0347849,9.525169610977173,6.551769256591797,com_12884.parquet,com
6,9.821166,15.224188,2.443547,11.843289375305176,8.041272163391113,com_12884.parquet,com
7,10.079509,15.518811,1.197057,12.056663751602173,8.413044214248657,com_12884.parquet,com
8,10.067781,14.849793,2.7142262,11.999265670776367,8.296987533569336,com_12884.parquet,com
9,8.759513,14.539333,1.6570721,11.230308771133423,6.544044375419617,com_12884.parquet,com
10,6.8759804,13.126898,2.2938094,8.347092866897583,5.402190804481506,com_12884.parquet,com
11,6.1218266,8.871674,1.7861575,7.272738456726074,5.344174861907959,com_12884.parquet,com
12,6.1201377,8.968605,2.2938094,7.289650559425354,5.246999263763428,com_12884.parquet,com
1,60.203182,158.59673,3.5357924,82.6010856628418,36.990447998046875,com_12926.parquet,com
2,39.91043,123.1843,3.5357938,52.245744705200195,27.984718322753906,com_12926.parquet,com
3,42.71682,113.52837,3.5360332,57.30086898803711,30.319637775421143,com_12926.parquet,com
4,28.64937,83.9897,3.5357924,38.41592502593994,13.74539852142334,com_12926.parquet,com
5,22.418415,52.959393,3.5357924,38.10464572906494,10.44794225692749,com_12926.parquet,com
6,25.998676,63.53374,4.130241,40.87957763671875,13.501063346862793,com_12926.parquet,com
7,28.381012,70.16731,3.5357924,42.08999252319336,14.472672700881958,com_12926.parquet,com
8,28.78293,70.37403,3.5358431,42.914164543151855,14.130533218383789,com_12926.parquet,com
9,23.406012,61.879333,3.5357924,38.97717094421387,11.376945495605469,com_12926.parquet,com
10,26.061392,75.16607,3.5357924,37.81855392456055,13.501063346862793,com_12926.parquet,com
11,42.22304,114.64131,3.5357924,53.753716468811035,31.394949436187744,com_12926.parquet,com
12,47.34821,112.72049,3.5357924,59.16554069519043,36.01374530792236,com_12926.parquet,com
1,2.8530564,8.635843,0.4041252,3.8401124477386475,1.3702788650989532,com_12941.parquet,com
2,1.957604,6.0840974,0.27187502,2.554466962814331,0.9325561672449112,com_12941.parquet,com
3,2.075998,6.772608,0.23900002,2.9701897501945496,0.9122675210237503,com_12941.parquet,com
4,1.4438369,4.1920357,0.23900002,1.9153066277503967,0.9098964780569077,com_12941.parquet,com
5,1.6285049,3.493458,0.23900002,2.258943736553192,1.0641439855098724,com_12941.parquet,com
6,2.0735805,4.1410265,0.23900002,2.7130632400512695,1.4846689403057098,com_12941.parquet,com
7,2.2109618,4.1722383,0.23900002,2.8985961079597473,1.6408462524414062,com_12941.parquet,com
8,2.2041056,3.9806046,0.23900002,2.899666666984558,1.6172069311141968,com_12941.parquet,com
9,1.8703252,3.7410808,0.23900002,2.441783905029297,1.2924042344093323,com_12941.parquet,com
