bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group,Chosen_Parquet
227671,0,854,63747.0,100-120%,,1,Hot-Humid,Not in a census Place,G4804930,,2 Unit,2,Natural Gas,60F,Yes,3F,Night -1h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,2,100%,123%,Occupied,Electric Standard,Electricity,18.14,0.0,26.63,0,30,0.0,9.671345315683334,0.0,0.0,1678.1249478061443,10159.015576449912,0.0,0.0,0.0,0.0,889.7637690428667,0.0,0.0,889.7637690428667,0.0,0.0,0.0,0.0,11048.77934549278,32691.000000000004,2458.0,4689.0,9.4777,9.9875,15.373,14.886,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_101.parquet
311341,0,1138,63747.0,80-100%,,2,Hot-Humid,"TX, Mckinney",G4800850,,2 Unit,2,Natural Gas,75F,Yes,12F,Night -1h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,2,100%,123%,Occupied,Natural Gas Standard,Natural Gas,14.11,0.0,23.29,0,30,0.0,89.38667640252777,0.0,0.0,0.0,9381.791098353178,0.0,0.0,0.0,0.0,5022.652000611545,0.0,3320.495225051278,9022.485966322034,0.0,0.0,0.0,0.0,18404.27706467521,34848.0,13220.0,5086.0,6.2224,5.2943,12.73,24.372,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1054.parquet
439156,0,854,55104.0,80-100%,,2,Hot-Humid,"TX, Irving",G4801130,,2 Unit,2,Electricity,68F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,50000-59999,2,100%,123%,Occupied,Electric Standard,Electricity,23.16,25.45,23.16,0,30,755.5372189039888,46.598300157383335,0.8792132105166667,0.0,1739.3768014721388,13808.629613304594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13808.629613304594,62734.0,6663.0,4755.0,10.7205,11.1163,21.734,16.95,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1108.parquet
257518,0,1682,64407.0,80-100%,,2,Hot-Humid,"TX, Austin",G4804530,,2 Unit,2,Natural Gas,76F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,1,100%,123%,Occupied,Natural Gas Tankless,Natural Gas,19.95,0.0,16.34,0,0,0.0,13.481269227922224,0.0,0.0,0.0,10482.859108990217,0.0,0.0,0.0,0.0,3995.730970728078,0.0,1182.2486970747443,5177.979667802822,0.0,0.0,0.0,0.0,15660.83877679304,33961.0,10928.0,3042.0,12.4209,10.003,18.053,17.221,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1115.parquet
419668,0,1207,47457.0,100-120%,,2,Hot-Humid,In another census Place,G4800490,,Single-Family Attached,3,Electricity,70F,Yes,3F,Night -4h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,45000-49999,1,200%,100%,Occupied,Electric Standard,Electricity,30.0,31.4,30.0,0,30,1889.1361183301444,126.8997733845722,101.69566134976112,2.63763963155,2067.323328994856,14623.0741173132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14623.0741173132,27822.0,17415.0,6042.0,15.7083,17.1555,25.714,37.844,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1003.parquet
519743,0,872,55104.0,80-100%,,2,Hot-Humid,"TX, San Antonio",G4800290,,Single-Family Attached,2,Electricity,67F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,50000-59999,2,100%,100%,Occupied,Electric Standard,Electricity,53.63,43.58,53.63,0,30,1385.3469487040943,99.9372349287278,0.0,0.0,1645.8871300872,11232.24183542059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11232.24183542059,35114.0,13261.0,4616.0,8.4702,8.5812,25.985,32.312,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1137.parquet
108945,0,1207,74909.0,100-120%,,2,Hot-Humid,In another census Place,G4801130,,Single-Family Attached,2,Electricity,78F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Electric Wall Furnace, 100% AFUE",Non-Ducted Heating,Electricity Electric Wall Furnace,,,,70000-79999,3,50%,100%,Occupied,Natural Gas Standard,Natural Gas,29.03,0.0,18.63,0,30,5254.764288187945,0.0,0.0,0.0,0.0,12731.300359351506,0.0,0.0,0.0,0.0,0.0,0.0,2406.992699324461,2406.992699324461,0.0,0.0,0.0,0.0,15138.293058675968,30531.0,17929.0,3063.0,3.8126,6.815,18.519,18.872,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1138.parquet
233845,0,872,74877.0,100-120%,,2,Hot-Humid,"TX, Dallas",G4801130,,Single-Family Attached,2,Natural Gas,72F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,50%,100%,Occupied,Natural Gas Premium,Natural Gas,13.38,0.0,12.75,0,30,0.0,11.429771736716669,0.0,0.0,0.0,8555.916822607855,0.0,0.0,0.0,0.0,1423.4461878264833,0.0,1818.7990614888115,3891.397669746767,0.0,0.0,0.0,0.0,12447.31449235462,34747.0,3923.0,2567.0,8.0533,6.828399999999999,10.473,10.61,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1157.parquet
499443,0,1678,74877.0,100-120%,,2,Hot-Humid,"TX, Austin",G4804530,,Single-Family Attached,2,Electricity,68F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,70000-79999,2,50%,100%,Occupied,Electric Premium,Electricity,37.88,30.57,37.88,0,30,979.1504454453946,68.28555935012778,21.980330262916667,0.5861421403444445,864.5596570080556,9921.041867470063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9921.041867470063,34635.0,9079.0,2280.0,11.1145,9.3958,32.016,27.5,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1162.parquet
417497,0,872,47457.0,80-100%,,2,Hot-Humid,Not in a census Place,G4802010,,Single-Family Attached,2,Natural Gas,68F,Yes,3F,Night -5h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,1,200%,100%,Occupied,Natural Gas Premium,Natural Gas,39.62,0.0,42.51,0,30,0.0,41.61609196445555,0.0,0.0,0.0,7934.0200117024,0.0,0.0,0.0,0.0,4011.556808517378,0.0,2599.540392427611,7445.177466655134,0.0,0.0,0.0,0.0,15379.197478357532,28252.0,12779.0,5003.0,9.148700000000002,6.3984,28.068,35.702,Metadata_TX_Residential_TX_baseline_metadata_and_annual_results.csv,TX,Mid,res_1187.parquet
