Unnamed: 0,Values,Differentiator
0,0.33488,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
1,0.31556,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
2,0.31556,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
3,0.31556,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
4,0.31556,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
5,0.31556,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
6,0.31556,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
7,0.30912,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
8,0.30912,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
9,0.30912,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
10,0.30912,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
11,0.30912,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
12,0.30912,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
13,0.28336,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
14,0.28336,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
15,0.28336,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
16,0.28336,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
17,0.28336,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
18,0.28336,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
19,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
20,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
21,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
22,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
23,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
24,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
25,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
26,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
27,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
28,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
29,0.2576,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
30,0.23184,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
31,0.23184,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
32,0.23184,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
33,0.23184,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
34,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
35,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
36,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
37,0.21252,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
38,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
39,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
40,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
41,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
42,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
43,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
44,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
45,0.2060799999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
46,0.1803199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
47,0.1803199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
48,0.1803199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
49,0.1803199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
50,0.1803199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
