method,variable,mean,std,min,max,q05,q25,q50,q75,q95
LHS,shares_baseline,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
LHS,shares_dm,0.3,0.4242640687119285,0.0,0.6,0.03,0.15,0.3,0.44999999999999996,0.57
LHS,shares_un,0.5,0.42426406871192857,0.2,0.8,0.23,0.35000000000000003,0.5,0.65,0.77
LHS,ev_perc,0.9899078140946507,0.00013037055760464785,0.9898156281893014,0.99,0.9898248467798363,0.989861721141976,0.9899078140946507,0.9899539070473253,0.9899907814094651
LHS,ev_lvl2_perc,0.9899120470494575,0.00012438425550798424,0.9898240940989149,0.99,0.9898328893939692,0.9898680705741862,0.9899120470494575,0.9899560235247287,0.9899912047049457
LHS,storage_perc_3ph,0.2509395274667211,0.34073994745520186,0.01,0.49187905493344225,0.03409395274667212,0.13046976373336056,0.2509395274667211,0.3714092912000817,0.4677851021867701
LHS,pv_perc_3ph,0.1253832750098647,0.1631765923899753,0.01,0.24076655001972944,0.02153832750098647,0.06769163750493236,0.12538327500986474,0.18307491251479707,0.22922822251874295
LHS,ev_split_controlled,0.4036171280110145,0.5566586808155234,0.01,0.797234256022029,0.04936171280110146,0.20680856400550726,0.4036171280110145,0.6004256920165217,0.7578725432209276
LHS,ev_split_uncontrolled,0.5963828719889854,0.5566586808155234,0.20276574397797098,0.99,0.24212745677907244,0.39957430798347826,0.5963828719889854,0.7931914359944927,0.9506382871988985
LHS,heating_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
LHS,ev_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
LHS,storage_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
LHS,pv_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
Sobol,shares_baseline,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Sobol,shares_dm,0.3,0.4242640687119285,0.0,0.6,0.03,0.15,0.3,0.44999999999999996,0.57
Sobol,shares_un,0.5,0.42426406871192857,0.2,0.8,0.23,0.35000000000000003,0.5,0.65,0.77
Sobol,ev_perc,0.9897718511899002,0.0003226511414824268,0.9895437023798004,0.99,0.9895665172608104,0.9896577767848502,0.9897718511899002,0.9898859255949501,0.98997718511899
Sobol,ev_lvl2_perc,0.9897310659196228,0.000380330223853777,0.9894621318392456,0.99,0.9894890252472833,0.9895965988794342,0.9897310659196228,0.9898655329598114,0.9899731065919622
Sobol,storage_perc_3ph,0.2519251825334504,0.34213387421839214,0.01,0.49385036506690083,0.034192518253345044,0.13096259126672521,0.2519251825334504,0.3728877738001756,0.46965784681355577
Sobol,pv_perc_3ph,0.1264223497826606,0.16464606602598297,0.01,0.2428446995653212,0.02164223497826606,0.0682111748913303,0.1264223497826606,0.1846335246739909,0.23120246458705512
Sobol,ev_split_controlled,0.40209603889845313,0.5545075359629611,0.01,0.7941920777969063,0.04920960388984532,0.20604801944922657,0.40209603889845313,0.5981440583476797,0.754982473907061
Sobol,ev_split_uncontrolled,0.5979039611015469,0.5545075359629611,0.20580792220309374,0.99,0.24501752609293906,0.4018559416523203,0.5979039611015469,0.7939519805507734,0.9507903961101547
Sobol,heating_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
Sobol,ev_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
Sobol,storage_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
Sobol,pv_seed,666.0,156.97770542341354,555.0,777.0,566.1,610.5,666.0,721.5,765.9
