Season,scenario (heating_assignment__FULL_combined.csv),Feeder,Mix,% of Total Count of scenario (heating_assignment__FULL_combined.csv)
winter,baseline,circuit_61,10,5.095850522%
summer,baseline,circuit_61,10,5.095850522%
winter,baseline,circuit_60,10,5.095850522%
summer,baseline,circuit_60,10,5.095850522%
winter,baseline,circuit_59,10,5.095850522%
summer,baseline,circuit_59,10,5.095850522%
winter,baseline,circuit_58,10,5.095850522%
summer,baseline,circuit_58,10,5.095850522%
winter,baseline,circuit_57,10,5.095850522%
summer,baseline,circuit_57,10,5.095850522%
winter,baseline,circuit_56,10,5.095850522%
summer,baseline,circuit_56,10,5.095850522%
winter,baseline,circuit_55,10,5.095850522%
summer,baseline,circuit_55,10,5.095850522%
winter,baseline,circuit_54,10,5.095850522%
summer,baseline,circuit_54,10,5.095850522%
winter,baseline,circuit_53,10,5.095850522%
summer,baseline,circuit_53,10,5.095850522%
winter,baseline,circuit_52,10,5.095850522%
summer,baseline,circuit_52,10,5.095850522%
winter,baseline,circuit_51,10,5.095850522%
summer,baseline,circuit_51,10,5.095850522%
winter,baseline,circuit_50,10,5.095850522%
summer,baseline,circuit_50,10,5.095850522%
winter,baseline,circuit_49,10,5.095850522%
summer,baseline,circuit_49,10,5.095850522%
winter,baseline,circuit_48,10,5.095850522%
summer,baseline,circuit_48,10,5.095850522%
winter,baseline,circuit_47,10,5.095850522%
summer,baseline,circuit_47,10,5.095850522%
winter,baseline,circuit_46,10,5.095850522%
summer,baseline,circuit_46,10,5.095850522%
winter,baseline,circuit_45,10,5.095850522%
summer,baseline,circuit_45,10,5.095850522%
winter,baseline,circuit_44,10,5.095850522%
summer,baseline,circuit_44,10,5.095850522%
winter,baseline,circuit_43,10,5.095850522%
summer,baseline,circuit_43,10,5.095850522%
winter,baseline,circuit_42,10,5.095850522%
summer,baseline,circuit_42,10,5.095850522%
winter,baseline,circuit_41,10,5.095850522%
summer,baseline,circuit_41,10,5.095850522%
winter,baseline,circuit_40,10,5.095850522%
summer,baseline,circuit_40,10,5.095850522%
winter,baseline,circuit_39,10,5.095850522%
summer,baseline,circuit_39,10,5.095850522%
winter,baseline,circuit_38,10,5.095850522%
summer,baseline,circuit_38,10,5.095850522%
winter,baseline,circuit_37,10,5.095850522%
summer,baseline,circuit_37,10,5.095850522%
winter,baseline,circuit_35,10,5.095850522%
summer,baseline,circuit_35,10,5.095850522%
winter,baseline,circuit_34,10,5.095850522%
summer,baseline,circuit_34,10,5.095850522%
winter,baseline,circuit_33,10,5.095850522%
summer,baseline,circuit_33,10,5.095850522%
winter,baseline,circuit_32,10,5.095850522%
summer,baseline,circuit_32,10,5.095850522%
winter,baseline,circuit_31,10,5.095850522%
summer,baseline,circuit_31,10,5.095850522%
winter,baseline,circuit_30,10,5.095850522%
summer,baseline,circuit_30,10,5.095850522%
winter,baseline,circuit_29,10,5.095850522%
summer,baseline,circuit_29,10,5.095850522%
winter,baseline,circuit_28,10,5.095850522%
summer,baseline,circuit_28,10,5.095850522%
winter,baseline,circuit_27,10,5.095850522%
summer,baseline,circuit_27,10,5.095850522%
winter,baseline,circuit_26,10,5.095850522%
summer,baseline,circuit_26,10,5.095850522%
winter,baseline,circuit_25,10,5.095850522%
summer,baseline,circuit_25,10,5.095850522%
winter,baseline,circuit_24,10,5.095850522%
summer,baseline,circuit_24,10,5.095850522%
winter,baseline,circuit_23,10,5.095850522%
summer,baseline,circuit_23,10,5.095850522%
winter,baseline,circuit_22,10,5.095850522%
summer,baseline,circuit_22,10,5.095850522%
winter,baseline,circuit_21,10,5.095850522%
summer,baseline,circuit_21,10,5.095850522%
winter,baseline,circuit_20,10,5.095850522%
summer,baseline,circuit_20,10,5.095850522%
winter,baseline,circuit_19,10,5.095850522%
summer,baseline,circuit_19,10,5.095850522%
winter,baseline,circuit_18,10,5.095850522%
summer,baseline,circuit_18,10,5.095850522%
winter,baseline,circuit_17,10,5.095850522%
summer,baseline,circuit_17,10,5.095850522%
winter,baseline,circuit_16,10,5.095850522%
summer,baseline,circuit_16,10,5.095850522%
winter,baseline,circuit_15,10,5.095850522%
summer,baseline,circuit_15,10,5.095850522%
winter,baseline,circuit_14,10,5.095850522%
summer,baseline,circuit_14,10,5.095850522%
winter,baseline,circuit_11,10,5.095850522%
summer,baseline,circuit_11,10,5.095850522%
winter,baseline,circuit_10,10,5.095850522%
summer,baseline,circuit_10,10,5.095850522%
winter,baseline,circuit_9,10,5.095850522%
summer,baseline,circuit_9,10,5.095850522%
winter,baseline,circuit_8,10,5.095850522%
summer,baseline,circuit_8,10,5.095850522%
winter,baseline,circuit_7,10,5.095850522%
summer,baseline,circuit_7,10,5.095850522%
winter,baseline,circuit_6,10,5.095850522%
summer,baseline,circuit_6,10,5.095850522%
winter,baseline,circuit_5,10,5.095850522%
summer,baseline,circuit_5,10,5.095850522%
winter,baseline,circuit_4,10,5.095850522%
summer,baseline,circuit_4,10,5.095850522%
