Season,Feeder,Mix,Difference in Max. P 3ph (kW)
summer,circuit_61,10,-319.868378501
summer,circuit_60,10,-901.923855937
summer,circuit_59,10,-660.442295688
summer,circuit_58,10,-814.319374738
summer,circuit_57,10,14.001085842
summer,circuit_56,10,-1266.503743856
summer,circuit_55,10,-431.318416675
summer,circuit_54,10,-1581.964573641
summer,circuit_53,10,-753.714073607
summer,circuit_52,10,-1174.548001421
summer,circuit_51,10,-299.177472382
summer,circuit_50,10,-845.504917864
summer,circuit_49,10,-823.104100205
summer,circuit_48,10,-1881.125856157
summer,circuit_47,10,-1335.984597991
summer,circuit_46,10,-1013.204062716
summer,circuit_45,10,-727.708417712
summer,circuit_44,10,-675.120048047
summer,circuit_43,10,-1863.105003118
summer,circuit_42,10,-959.286826795
summer,circuit_41,10,-441.135883748
summer,circuit_40,10,-778.541157822
summer,circuit_39,10,-1192.717046803
summer,circuit_38,10,-100.533665119
summer,circuit_37,10,-662.182210361
summer,circuit_35,10,-548.320014992
summer,circuit_34,10,-1411.618777436
summer,circuit_33,10,-1085.662752964
summer,circuit_32,10,-771.458354840
summer,circuit_31,10,-176.431740250
summer,circuit_30,10,-719.028510995
summer,circuit_29,10,-156.683370197
summer,circuit_28,10,-390.544829510
summer,circuit_27,10,-923.977003358
summer,circuit_26,10,-1007.490653280
summer,circuit_25,10,-1658.861997989
summer,circuit_24,10,-1418.940999259
summer,circuit_23,10,-717.320149703
summer,circuit_22,10,-884.608848227
summer,circuit_21,10,-778.289053344
summer,circuit_20,10,-542.870443038
summer,circuit_19,10,-702.801218757
summer,circuit_18,10,-1061.691015737
summer,circuit_17,10,-850.762030960
summer,circuit_16,10,-405.399116831
summer,circuit_15,10,-455.427215657
summer,circuit_14,10,-1389.783239021
summer,circuit_11,10,-803.243115547
summer,circuit_10,10,-574.813404938
summer,circuit_9,10,-956.824261744
summer,circuit_8,10,-271.403327474
summer,circuit_7,10,-857.919187383
summer,circuit_6,10,-201.199866390
summer,circuit_5,10,-994.711523610
summer,circuit_4,10,-736.974879963
summer,circuit_3,10,-149.332077342
summer,circuit_2,10,-1508.013201940
summer,circuit_1,10,-1421.058746018
summer,circuit_61,9,-202.276498835
summer,circuit_60,9,-179.433830438
summer,circuit_59,9,-321.628633461
summer,circuit_58,9,-475.124539166
summer,circuit_57,9,24.460473016
summer,circuit_56,9,-392.481061319
summer,circuit_55,9,-175.646323905
summer,circuit_54,9,-969.665402979
summer,circuit_53,9,-550.990886783
summer,circuit_52,9,106.418261424
summer,circuit_51,9,-133.362039238
