bldg_id,Occurrence_Count,Unique_Source_Files
161632,3,"['com_14478.parquet', 'com_14360.parquet', 'com_12774.parquet']"
162954,6,"['com_14071.parquet', 'com_14217.parquet', 'com_15022.parquet', 'com_15142.parquet', 'com_12774.parquet', 'com_13059.parquet']"
169748,13,"['com_14071.parquet', 'com_14217.parquet', 'com_12845.parquet', 'com_15061.parquet', 'com_14478.parquet', 'com_14855.parquet', 'com_15022.parquet', 'com_15057.parquet', 'com_15142.parquet', 'com_13274.parquet', 'com_15170.parquet', 'com_12774.parquet', 'com_13059.parquet']"
159334,3,"['com_13382.parquet', 'com_15266.parquet', 'com_12775.parquet']"
169634,2,"['com_14010.parquet', 'com_12775.parquet']"
161138,5,"['com_13939.parquet', 'com_15263.parquet', 'com_15135.parquet', 'com_12779.parquet', 'com_15076.parquet']"
165340,3,"['com_12779.parquet', 'com_15135.parquet', 'com_13760.parquet']"
166672,4,"['com_15076.parquet', 'com_13939.parquet', 'com_12779.parquet', 'com_15263.parquet']"
168708,2,"['com_12779.parquet', 'com_15263.parquet']"
158880,2,"['com_12783.parquet', 'com_13663.parquet']"
159293,1,['com_12783.parquet']
161184,1,['com_12783.parquet']
164274,4,"['com_12783.parquet', 'com_14810.parquet', 'com_14033.parquet', 'com_14918.parquet']"
165200,1,['com_12783.parquet']
169154,1,['com_12783.parquet']
169233,1,['com_12783.parquet']
159158,3,"['com_14266.parquet', 'com_12785.parquet', 'com_14455.parquet']"
166117,3,"['com_13815.parquet', 'com_12785.parquet', 'com_14455.parquet']"
168846,4,"['com_14106.parquet', 'com_14826.parquet', 'com_12785.parquet', 'com_13683.parquet']"
168043,7,"['com_13270.parquet', 'com_15082.parquet', 'com_12786.parquet', 'com_13401.parquet', 'com_14660.parquet', 'com_14594.parquet', 'com_13760.parquet']"
167455,12,"['com_13304.parquet', 'com_14295.parquet', 'com_13069.parquet', 'com_13893.parquet', 'com_14841.parquet', 'com_12854.parquet', 'com_13769.parquet', 'com_12789.parquet', 'com_13637.parquet', 'com_13337.parquet', 'com_14534.parquet', 'com_15264.parquet']"
157985,4,"['com_14983.parquet', 'com_15210.parquet', 'com_12942.parquet', 'com_12790.parquet']"
159270,4,"['com_14983.parquet', 'com_13777.parquet', 'com_15210.parquet', 'com_12790.parquet']"
159395,3,"['com_13949.parquet', 'com_15210.parquet', 'com_12790.parquet']"
164239,3,"['com_15210.parquet', 'com_12942.parquet', 'com_12790.parquet']"
169782,4,"['com_13074.parquet', 'com_15210.parquet', 'com_12942.parquet', 'com_12790.parquet']"
158184,15,"['com_14004.parquet', 'com_14289.parquet', 'com_13587.parquet', 'com_13611.parquet', 'com_14719.parquet', 'com_14610.parquet', 'com_12894.parquet', 'com_14766.parquet', 'com_15030.parquet', 'com_12792.parquet', 'com_13495.parquet', 'com_14323.parquet', 'com_14048.parquet', 'com_13747.parquet', 'com_13734.parquet']"
158829,8,"['com_14450.parquet', 'com_13212.parquet', 'com_13221.parquet', 'com_13085.parquet', 'com_12792.parquet', 'com_13618.parquet', 'com_13223.parquet', 'com_14583.parquet']"
