Source_File,State,Matched_Buildings,Tolerance
res_100.parquet,MI,"[1390, 13670, 15193, 44109, 57835, 65311, 73600, 74825, 82653, 85618, 93049, 104568, 108007, 121987, 136293, 136430, 140738, 143077, 150189, 150759, 154942, 168264, 169804, 175004, 176840, 178848, 201781, 205825, 211460, 227999, 255504, 259226, 263372, 273239, 276751, 294609, 301184, 306096, 306813, 315672, 333072, 339739, 350765, 352167, 360032, 365351, 369631, 378338, 378589, 379043, 391878, 408984, 416831, 419373, 427485, 431431, 434078, 435710, 436774, 438940, 443920, 455736, 455974, 458826, 501529, 505818, 507794, 508981, 511301, 514933, 519511, 530429, 531535, 542100, 543355]",15
res_1003.parquet,MI,"[2375, 10005, 46762, 72626, 77267, 86215, 97656, 113646, 140734, 146147, 153588, 159091, 162892, 163628, 169995, 181066, 230388, 259210, 275743, 278844, 283704, 289847, 289938, 303835, 309562, 326637, 336337, 346162, 426357, 446645, 451507, 462308, 473915, 476396, 506925, 507857, 530149, 546138]",10
res_1006.parquet,MI,"[5319, 72106, 88164, 100275, 118243, 137015, 139712, 154581, 180151, 354862, 384882]",50
res_1009.parquet,MI,[277511],35
res_101.parquet,MI,"[2305, 22364, 26631, 34166, 34692, 46148, 50840, 60783, 61271, 65379, 69250, 87608, 93494, 95747, 97647, 100562, 102878, 110982, 127167, 128265, 152166, 158438, 161518, 173597, 174198, 181347, 190074, 191809, 197974, 206690, 207524, 209727, 210283, 223527, 227233, 228292, 236712, 247692, 247994, 248045, 256012, 261528, 265142, 271802, 295037, 298388, 306536, 307631, 320264, 322874, 327451, 347458, 358172, 363546, 365744, 365844, 367507, 372296, 391060, 401617, 403840, 411359, 413028, 413766, 415290, 424454, 425636, 425860, 429247, 432381, 433587, 438591, 441684, 448384, 451739, 455005, 456302, 459997, 471379, 473221, 481224, 481825, 498810, 501536, 513345, 518497, 522078, 526981, 527750, 532471, 533308, 540693, 543347]",5
res_1012.parquet,MI,[277511],65
res_1013.parquet,MI,[274968],10
res_1014.parquet,MI,[277511],80
res_1015.parquet,MI,"[16235, 42984, 71880, 75186, 77953, 91348, 105539, 120739, 135578, 172916, 187222, 200241, 208131, 240642, 259822, 291300, 293001, 304916, 331973, 381973, 397265, 416094, 456904, 467554, 491979, 519366, 525611]",10
res_1019.parquet,MI,"[232, 695, 1197, 2671, 4786, 5306, 5933, 6840, 7901, 9001, 9964, 11596, 12641, 14071, 15946, 16612, 20958, 21429, 27043, 28115, 28290, 29260, 33990, 34849, 35549, 38595, 43361, 44030, 46439, 47883, 48370, 49048, 52604, 53642, 54275, 58527, 59001, 59810, 60282, 62970, 69349, 70525, 70734, 74523, 74879, 78411, 80957, 83529, 88877, 92436, 93633, 94664, 102294, 108101, 108753, 109919, 110028, 112070, 113436, 114431, 114784, 119409, 121458, 124887, 129104, 129365, 130296, 132478, 132533, 134014, 136008, 140480, 141851, 141925, 143462, 145409, 146058, 147088, 153612, 153882, 158060, 163080, 165388, 166430, 167996, 174524, 178145, 178970, 181096, 181840, 183739, 186703, 187457, 194691, 194926, 199124, 202573, 204688, 214127, 215444, 216114, 216176, 216605, 222611, 224813, 227557, 230820, 233401, 233684, 244419, 251015, 251078, 262151, 263197, 264697, 268500, 269063, 272248, 273850, 280534, 282475, 283113, 291896, 293740, 295418, 295987, 298832, 299834, 300087, 303707, 304779, 305094, 308178, 309808, 311309, 314151, 325152, 327970, 330773, 335089, 335156, 335546, 335873, 341556, 342752, 343191, 344801, 348388, 350110, 354636, 355446, 355994, 356723, 359727, 360872, 363339, 363691, 364154, 374947, 376265, 376689, 379996, 380938, 381638, 382560, 386890, 388661, 394670, 395241, 398667, 399613, 404886, 406208, 407684, 408918, 409910, 413146, 417936, 418933, 419613, 422953, 423666, 424185, 431280, 434476, 437184, 441583, 445496, 446994, 449250, 450529, 450853, 451852, 452959, 458438, 460880, 461117, 464525, 465693, 465947, 466258, 466691, 472182, 473383, 479701, 482717, 485727, 487043, 496926, 498123, 509755, 510772, 513105, 515043, 517368, 517454, 518052, 518203, 524703, 526066, 531486, 535767, 536408, 536637, 538250, 542809, 543342, 549841]",25
res_1020.parquet,MI,"[232, 1052, 3386, 3764, 5231, 7845, 7901, 8458, 16555, 16953, 17056, 18347, 18840, 25294, 30779, 33935, 36566, 42221, 43361, 48370, 54275, 54517, 61112, 64159, 66893, 69349, 73137, 74675, 78411, 79414, 84014, 88472, 92980, 93633, 96526, 102294, 103694, 104513, 109919, 110094, 112070, 113662, 118907, 119319, 121288, 132533, 140279, 141662, 142197, 143761, 144387, 145104, 148941, 151852, 153882, 158060, 159011, 163888, 176585, 178400, 189061, 189120, 194925, 196692, 207537, 210423, 219919, 222611, 224482, 233061, 233684, 233785, 235223, 237854, 238726, 239631, 259822, 259927, 260897, 265187, 268500, 273850, 276581, 280194, 281816, 282314, 289729, 289884, 291896, 292113, 294291, 295014, 297971, 298832, 299338, 299476, 300398, 301203, 305094, 311309, 313613, 314343, 320414, 323420, 325144, 330711, 337014, 339907, 346092, 350110, 355031, 363691, 364154, 367700, 367776, 372251, 379659, 379996, 386749, 389176, 391290, 397137, 397445, 419311, 422953, 423231, 423452, 425423, 432165, 433423, 438095, 438628, 443854, 445852, 445889, 450853, 451310, 451750, 454368, 469357, 472432, 473145, 474312, 474740, 483601, 485537, 485564, 487959, 488736, 489048, 500422, 505657, 509036, 510025, 513581, 515043, 517454, 520757, 529949, 530649, 538250, 539831, 542809, 545186, 548362, 548747]",15
res_1023.parquet,MI,"[78412, 179402, 188732, 413721, 426106, 473989, 483794, 491611, 498108, 508784]",5
res_1032.parquet,MI,[108207],15
res_1034.parquet,MI,"[3894, 4786, 5933, 6747, 9964, 12641, 14175, 15309, 15946, 17548, 19705, 23845, 25756, 38409, 39049, 46439, 49431, 58586, 59631, 59810, 70525, 74330, 74879, 77410, 78127, 83529, 84089, 88877, 90727, 94664, 96025, 97184, 101196, 104868, 106125, 108101, 108753, 109236, 110028, 112169, 114431, 129365, 134014, 136008, 139933, 141925, 142046, 146058, 147088, 148652, 152369, 153106, 159712, 160350, 164363, 167404, 167996, 177767, 183038, 183739, 193328, 202489, 202573, 204688, 207213, 214005, 218225, 218723, 219580, 224813, 226004, 226425, 233401, 236684, 271131, 272142, 275199, 276133, 276247, 279270, 282475, 283113, 283568, 283940, 285753, 299675, 299834, 300889, 314919, 320602, 327970, 335089, 335156, 335546, 343511, 344801, 348388, 354250, 354636, 355994, 360066, 363339, 365362, 372425, 380643, 383928, 388661, 394532, 395173, 395249, 398667, 399613, 399673, 400586, 402675, 403643, 404392, 404886, 413146, 416058, 418933, 419613, 423797, 424185, 427180, 427291, 429539, 430965, 433709, 438274, 445496, 445718, 447070, 449250, 450529, 451636, 458438, 459832, 460212, 460880, 464661, 465947, 466258, 466691, 470442, 476781, 480114, 482717, 498012, 498123, 501708, 503727, 518203, 524703, 529847, 531617, 534430, 536435, 538248]",20
res_1036.parquet,MI,"[48924, 73789, 126936, 173237, 173521, 195229, 195480, 252372, 280955, 301511, 313482, 385967, 394042, 436344, 454698, 466844, 515467, 526149, 530276, 542905]",25
res_1037.parquet,MI,"[1390, 57835, 82653, 93049, 108007, 136293, 150189, 168264, 169804, 178848, 205825, 259226, 276751, 301184, 306813, 369631, 378338, 427485, 435710, 455736, 455974, 508981, 514933, 519511]",10
res_104.parquet,MI,"[90485, 91068, 194377, 194725, 231761, 305196, 340913, 432489, 462151, 483378, 548574]",10
res_1040.parquet,MI,"[12064, 215098, 299137, 341763, 356343, 404137]",20
res_1041.parquet,MI,[144380],10
res_1042.parquet,MI,"[109870, 116413, 131485, 303038, 334968, 346222, 384015, 443929, 461063, 475543, 478342, 494108, 515651]",10
res_1043.parquet,MI,"[34117, 35437, 48724, 58228, 66663, 74431, 88332, 97632, 103165, 110815, 138622, 154528, 170826, 178427, 185211, 185574, 202828, 236785, 237783, 265228, 268561, 273531, 285576, 317538, 321349, 336114, 340373, 357327, 369220, 380556, 387641, 402744, 409590, 421637, 433000, 438903, 443294, 449288, 455253, 457999, 467753, 492596, 501213, 515683, 522326, 523472, 546250]",15
res_105.parquet,MI,[129325],20
res_1052.parquet,MI,"[336890, 451774]",15
res_1054.parquet,MI,"[1522, 6655, 18987, 22411, 29447, 30743, 31921, 45426, 49415, 59416, 66129, 69289, 69395, 94516, 101437, 107139, 107823, 111997, 112136, 112170, 119111, 128625, 139258, 147233, 149032, 149907, 153115, 159966, 163502, 165889, 166792, 167248, 168950, 185735, 192894, 193304, 196684, 198579, 200579, 205005, 207370, 216469, 218101, 235801, 245888, 249348, 253843, 255244, 259401, 268224, 275846, 283048, 291975, 292614, 295148, 297600, 298710, 298976, 313313, 317913, 322129, 329560, 330187, 331638, 337413, 345535, 360136, 362997, 367722, 373299, 379310, 384283, 386900, 386921, 388460, 395416, 400912, 412777, 413841, 417412, 421174, 423245, 431180, 433078, 442858, 451590, 452428, 462068, 466837, 471691, 489019, 493220, 495003, 502947, 509393, 515289, 517086, 526065, 533111, 536568, 540134, 540990, 544291, 546965, 549641]",10
res_106.parquet,MI,"[40706, 106520, 116626, 303733, 353696, 359438, 379150, 441477, 499831, 510991]",20
