bldg_id,Occurrence_Count,Unique_Source_Files
1390,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
13670,4,"['res_100.parquet', 'res_1258.parquet', 'res_825.parquet', 'res_377.parquet']"
15193,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
44109,2,"['res_100.parquet', 'res_377.parquet']"
57835,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
65311,1,['res_100.parquet']
73600,1,['res_100.parquet']
74825,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
82653,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
85618,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
93049,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
104568,1,['res_100.parquet']
108007,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
121987,2,"['res_100.parquet', 'res_377.parquet']"
136293,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
136430,2,"['res_100.parquet', 'res_377.parquet']"
140738,4,"['res_520.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
143077,1,['res_100.parquet']
150189,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
150759,1,['res_100.parquet']
154942,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
168264,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
169804,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
175004,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
176840,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
178848,6,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_825.parquet', 'res_520.parquet', 'res_100.parquet']"
201781,1,['res_100.parquet']
205825,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
211460,2,"['res_100.parquet', 'res_377.parquet']"
227999,4,"['res_520.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
255504,2,"['res_100.parquet', 'res_377.parquet']"
259226,6,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_825.parquet', 'res_520.parquet', 'res_100.parquet']"
263372,1,['res_100.parquet']
273239,4,"['res_520.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
276751,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
294609,5,"['res_1258.parquet', 'res_377.parquet', 'res_825.parquet', 'res_520.parquet', 'res_100.parquet']"
301184,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
306096,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
306813,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
315672,4,"['res_520.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
333072,1,['res_100.parquet']
339739,1,['res_100.parquet']
350765,1,['res_100.parquet']
352167,1,['res_100.parquet']
360032,1,['res_100.parquet']
365351,1,['res_100.parquet']
369631,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
378338,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
378589,1,['res_100.parquet']
379043,1,['res_100.parquet']
391878,2,"['res_100.parquet', 'res_377.parquet']"
408984,1,['res_100.parquet']
416831,4,"['res_520.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
419373,1,['res_100.parquet']
427485,5,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_520.parquet', 'res_100.parquet']"
431431,3,"['res_100.parquet', 'res_377.parquet', 'res_825.parquet']"
434078,1,['res_100.parquet']
435710,5,"['res_1037.parquet', 'res_377.parquet', 'res_825.parquet', 'res_520.parquet', 'res_100.parquet']"
436774,1,['res_100.parquet']
438940,1,['res_100.parquet']
443920,4,"['res_520.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
455736,6,"['res_1258.parquet', 'res_1037.parquet', 'res_377.parquet', 'res_825.parquet', 'res_520.parquet', 'res_100.parquet']"
455974,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
458826,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
501529,1,['res_100.parquet']
505818,1,['res_100.parquet']
507794,3,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet']"
508981,4,"['res_520.parquet', 'res_100.parquet', 'res_377.parquet', 'res_1037.parquet']"
511301,1,['res_100.parquet']
514933,2,"['res_100.parquet', 'res_1037.parquet']"
