bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
21,0,3310,82516.0,150%+,,4,Cold,In another census Place,G2600430,,Single-Family Detached,2,Propane,67F,Yes,12F,Night,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,80000-99999,3,200%,85%,Occupied,Propane Standard,Propane,10.1,0.0,47.56,0,40,0.0,589.0728510461666,0.0,0.0,0.0,11801.385853695045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22851.33748346851,0.0,10170.7384192568,34158.898583923365,45960.28443761841,6283.0,64016.99999999999,22928.0,6.2568,7.2243,9.559,49.699,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
28,0,2179,89096.0,150%+,,3,Cold,In another census Place,G2601550,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +2h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,50%,85%,Occupied,Natural Gas Premium,Natural Gas,3.84,0.0,93.12,0,40,0.0,659.1168368173278,0.0,0.0,0.0,7069.4603546943445,0.0,0.0,0.0,0.0,27153.03465145639,0.0,2405.5273439736,30209.179771212323,0.0,0.0,0.0,0.0,37278.64012590667,7177.0,72622.0,4052.0,8.312899999999999,8.7448,5.456,61.571,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
232,0,2179,54023.0,60-80%,,5,Cold,Not in a census Place,G2600990,,Single-Family Detached,1,Other Fuel,70F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,50000-59999,7,100%,85%,Occupied,Electric Standard,Electricity,10.18,0.0,70.51,0,66,0.0,0.0,0.0,0.0,7528.995792724389,21734.44363504217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21734.44363504217,5443.0,98398.0,24643.0,13.0404,12.6806,9.015,52.854,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
522,0,854,4187.0,0-30%,,2,Cold,"MI, Ann Arbor",G2601610,,20 to 49 Unit,2,Natural Gas,65F,Yes,3F,Night -4h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,<10000,2,100%,89%,Occupied,Natural Gas Standard,Natural Gas,6.18,0.0,9.37,0,30,0.0,44.546802666177776,0.0,0.0,0.0,4080.721581078022,0.0,0.0,0.0,0.0,2170.4843456954777,0.0,4191.795516673295,7143.607335447917,0.0,0.0,0.0,0.0,11224.32891652594,5497.0,6072.0,7002.0,10.0352,9.8408,5.645,11.853,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
541,0,2179,74877.0,150%+,,2,Cold,Not in a census Place,G2601570,,Single-Family Detached,1,Natural Gas,72F,No,0F,,"AC, SEER 8",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,50%,85%,Occupied,Natural Gas Premium,Natural Gas,30.28,0.0,103.54,0,30,0.0,1711.2419787356057,0.0,0.0,0.0,7286.332946621788,0.0,0.0,0.0,0.0,67363.2646922958,0.0,2391.7530036755056,69755.31076704146,0.0,0.0,0.0,0.0,77041.64371366324,14993.0,189673.0,4297.0,9.0272,7.4702,26.976,97.444,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
579,0,1228,47457.0,60-80%,,3,Cold,Not in a census Place,G2601250,,Single-Family Detached,1,Natural Gas,72F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,2.89,0.0,39.62,0,40,0.0,314.4652582947944,0.0,0.0,0.0,6170.0252403357945,0.0,0.0,0.0,0.0,14170.572384967289,0.0,7286.626017691961,23520.41873667169,0.0,0.0,0.0,0.0,29690.44397700749,5342.0,45794.0,15151.0,2.3042,2.7531,5.475,38.618,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
597,0,881,55104.0,100-120%,,3,Cold,Not in a census Place,G2600050,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +5h,"AC, SEER 15",60% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,100%,85%,Occupied,Natural Gas Standard,Natural Gas,8.71,0.0,24.24,0,40,0.0,250.86883606742225,0.0,0.0,0.0,6134.270569774783,0.0,0.0,0.0,0.0,11374.381304454117,0.0,4733.976996491905,16108.358300946022,0.0,0.0,0.0,0.0,22242.628870720804,8756.0,36713.0,8437.0,16.631400000000003,14.5407,10.247,29.528,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
695,0,1228,74877.0,120-150%,,3,Cold,"MI, St Clair Shores",G2600990,,Single-Family Detached,1,Natural Gas,67F,Yes,3F,Night -4h,"AC, SEER 15",60% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,50%,85%,Occupied,Electric Standard,Electricity,18.06,0.0,92.64,0,50,0.0,647.3939940104389,0.0,0.0,1380.657811581339,7177.603579587894,0.0,0.0,0.0,0.0,29564.13034576326,0.0,0.0,30214.748121545592,0.0,0.0,0.0,0.0,37392.35170113349,11597.0,95401.0,3593.0,12.6716,12.6753,20.302,82.559,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
809,0,1698,54746.0,60-80%,,3,Cold,Not in a census Place,G2600810,,Single-Family Detached,2,Natural Gas,68F,No,0F,,"Room AC, EER 8.5",<10% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,3,100%,85%,Occupied,Electric Standard,Electricity,2.21,0.0,51.11,0,50,0.0,563.282596871011,0.0,0.0,3911.61957358865,9043.00094123409,0.0,0.0,0.0,0.0,22151.483767897244,0.0,0.0,24286.21344303171,0.0,0.0,0.0,0.0,33329.2143842658,2611.0,62382.0,12159.0,5.9014,6.9489,2.401,46.971,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
832,0,2678,150186.0,150%+,,3,Cold,Not in a census Place,G2600050,,Single-Family Detached,1,Natural Gas,70F,Yes,3F,Night +3h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,140000-159999,1,100%,85%,Occupied,Natural Gas Standard,Natural Gas,3.6,0.0,65.18,0,40,0.0,1143.8563868821834,0.0,0.0,0.0,7313.295485077633,0.0,0.0,0.0,0.0,47365.56021909421,0.0,2868.286563775539,50234.13985393992,0.0,0.0,0.0,0.0,57547.43533901755,1264.0,126637.0,3825.0,9.3892,9.3325,4.229,73.152,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
