bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
21,0,3310,82516.0,150%+,,4,Cold,In another census Place,G2600430,,Single-Family Detached,2,Propane,67F,Yes,12F,Night,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,80000-99999,3,200%,85%,Occupied,Propane Standard,Propane,10.1,0.0,47.56,0,40,0.0,589.0728510461666,0.0,0.0,0.0,11801.385853695045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22851.33748346851,0.0,10170.7384192568,34158.898583923365,45960.28443761841,6283.0,64016.99999999999,22928.0,6.2568,7.2243,9.559,49.699,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
28,0,2179,89096.0,150%+,,3,Cold,In another census Place,G2601550,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +2h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,50%,85%,Occupied,Natural Gas Premium,Natural Gas,3.84,0.0,93.12,0,40,0.0,659.1168368173278,0.0,0.0,0.0,7069.4603546943445,0.0,0.0,0.0,0.0,27153.03465145639,0.0,2405.5273439736,30209.179771212323,0.0,0.0,0.0,0.0,37278.64012590667,7177.0,72622.0,4052.0,8.312899999999999,8.7448,5.456,61.571,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
541,0,2179,74877.0,150%+,,2,Cold,Not in a census Place,G2601570,,Single-Family Detached,1,Natural Gas,72F,No,0F,,"AC, SEER 8",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,50%,85%,Occupied,Natural Gas Premium,Natural Gas,30.28,0.0,103.54,0,30,0.0,1711.2419787356057,0.0,0.0,0.0,7286.332946621788,0.0,0.0,0.0,0.0,67363.2646922958,0.0,2391.7530036755056,69755.31076704146,0.0,0.0,0.0,0.0,77041.64371366324,14993.0,189673.0,4297.0,9.0272,7.4702,26.976,97.444,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
695,0,1228,74877.0,120-150%,,3,Cold,"MI, St Clair Shores",G2600990,,Single-Family Detached,1,Natural Gas,67F,Yes,3F,Night -4h,"AC, SEER 15",60% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,50%,85%,Occupied,Electric Standard,Electricity,18.06,0.0,92.64,0,50,0.0,647.3939940104389,0.0,0.0,1380.657811581339,7177.603579587894,0.0,0.0,0.0,0.0,29564.13034576326,0.0,0.0,30214.748121545592,0.0,0.0,0.0,0.0,37392.35170113349,11597.0,95401.0,3593.0,12.6716,12.6753,20.302,82.559,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
832,0,2678,150186.0,150%+,,3,Cold,Not in a census Place,G2600050,,Single-Family Detached,1,Natural Gas,70F,Yes,3F,Night +3h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,140000-159999,1,100%,85%,Occupied,Natural Gas Standard,Natural Gas,3.6,0.0,65.18,0,40,0.0,1143.8563868821834,0.0,0.0,0.0,7313.295485077633,0.0,0.0,0.0,0.0,47365.56021909421,0.0,2868.286563775539,50234.13985393992,0.0,0.0,0.0,0.0,57547.43533901755,1264.0,126637.0,3825.0,9.3892,9.3325,4.229,73.152,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
1052,0,1698,89096.0,150%+,,3,Cold,In another census Place,G2600650,,Single-Family Detached,2,Natural Gas,70F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,29.1,0.0,102.47,0,40,0.0,1543.6053265970943,0.0,0.0,0.0,10501.615657481238,0.0,0.0,0.0,0.0,60647.24804822915,0.0,7474.191502602183,69097.659285575,0.0,0.0,0.0,0.0,79599.27494305624,25874.0,170804.0,15958.0,13.661700000000002,12.3651,27.43,104.717,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
1128,0,3310,129611.0,150%+,,4,Cold,Not in a census Place,G2601210,,Single-Family Detached,2,Natural Gas,70F,Yes,3F,Night,"AC, SEER 15",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,5,100%,85%,Occupied,Natural Gas Standard,Natural Gas,14.64,0.0,68.21,0,40,0.0,820.30592541205,0.0,0.0,0.0,8824.662993955784,0.0,0.0,0.0,0.0,32428.02084348621,0.0,8367.76519555729,42928.75728775694,0.0,0.0,0.0,0.0,51753.42028171272,29626.0,91248.0,17916.0,2.7545,2.9077,16.962,54.685,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
1177,0,1698,92315.0,120-150%,,3,Cold,Not in a census Place,G2601110,,Single-Family Detached,2,Natural Gas,75F,Yes,3F,Night -3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,3,100%,85%,Occupied,Natural Gas Standard,Natural Gas,18.12,0.0,67.1,0,40,0.0,956.8770441123056,0.0,0.0,0.0,6682.020399926667,0.0,0.0,0.0,0.0,43576.44435283755,0.0,6027.299629161922,50550.94968079609,0.0,0.0,0.0,0.0,57232.97008072276,13320.0,140764.0,12305.0,5.4245,6.2054,14.937,69.149,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
1424,0,1698,128932.0,150%+,,3,Cold,"MI, Sterling Heights",G2600990,,Single-Family Detached,1,Natural Gas,68F,No,0F,,"AC, SEER 15",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,2,100%,85%,Occupied,Natural Gas Standard,Natural Gas,16.19,0.0,74.63,0,40,0.0,750.5550107110611,0.0,0.0,0.0,7177.310508517722,0.0,0.0,0.0,0.0,29724.73329221764,0.0,4573.6671211077,35111.96570412343,0.0,0.0,0.0,0.0,42289.276212641154,10867.0,83692.0,8076.000000000001,7.1015,6.6513,16.612,43.4,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
1746,0,2179,129243.0,150%+,,3,Cold,In another census Place,G2600590,,Single-Family Detached,2,Natural Gas,72F,Yes,3F,Night -1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,3,200%,85%,Occupied,Natural Gas Standard,Natural Gas,32.17,0.0,91.05,0,40,0.0,1261.9640281615889,0.0,0.0,0.0,12595.022311721425,0.0,0.0,0.0,0.0,49347.0137245286,0.0,9858.617729523385,60342.45413525004,0.0,0.0,0.0,0.0,72937.47644697146,41000.0,138969.0,22188.0,9.4862,8.0267,30.582,84.126,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
1990,0,2678,89096.0,150%+,,3,Cold,In another census Place,G2601630,,Single-Family Detached,2,Natural Gas,65F,Yes,3F,Night +4h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,100%,85%,Occupied,Natural Gas Standard,Natural Gas,44.23,0.0,104.95,0,40,0.0,787.481965552761,0.0,0.0,0.0,8550.641543344755,0.0,0.0,0.0,0.0,35900.91302502705,0.0,4638.142756545589,42877.17677940663,0.0,0.0,0.0,0.0,51427.81832275138,12049.0,115929.0,8335.0,16.7553,14.056299999999998,32.546,86.993,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
2754,0,1698,63747.0,120-150%,,3,Cold,"MI, Bay City",G2600170,,Single-Family Detached,1,Natural Gas,60F,Yes,3F,Night -5h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,20.44,0.0,65.56,0,40,0.0,468.03449906503886,0.0,0.0,0.0,10065.525905064973,0.0,0.0,0.0,0.0,19463.435912277622,0.0,7478.880639724938,28488.852589301376,0.0,0.0,0.0,0.0,38554.37849436635,21525.0,51992.0,15541.0,4.8665,3.8483,18.539,59.877,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,High
