bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
232,0,2179,54023.0,60-80%,,5,Cold,Not in a census Place,G2600990,,Single-Family Detached,1,Other Fuel,70F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,50000-59999,7,100%,85%,Occupied,Electric Standard,Electricity,10.18,0.0,70.51,0,66,0.0,0.0,0.0,0.0,7528.995792724389,21734.44363504217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21734.44363504217,5443.0,98398.0,24643.0,13.0404,12.6806,9.015,52.854,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
522,0,854,4187.0,0-30%,,2,Cold,"MI, Ann Arbor",G2601610,,20 to 49 Unit,2,Natural Gas,65F,Yes,3F,Night -4h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,<10000,2,100%,89%,Occupied,Natural Gas Standard,Natural Gas,6.18,0.0,9.37,0,30,0.0,44.546802666177776,0.0,0.0,0.0,4080.721581078022,0.0,0.0,0.0,0.0,2170.4843456954777,0.0,4191.795516673295,7143.607335447917,0.0,0.0,0.0,0.0,11224.32891652594,5497.0,6072.0,7002.0,10.0352,9.8408,5.645,11.853,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
579,0,1228,47457.0,60-80%,,3,Cold,Not in a census Place,G2601250,,Single-Family Detached,1,Natural Gas,72F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,2.89,0.0,39.62,0,40,0.0,314.4652582947944,0.0,0.0,0.0,6170.0252403357945,0.0,0.0,0.0,0.0,14170.572384967289,0.0,7286.626017691961,23520.41873667169,0.0,0.0,0.0,0.0,29690.44397700749,5342.0,45794.0,15151.0,2.3042,2.7531,5.475,38.618,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
809,0,1698,54746.0,60-80%,,3,Cold,Not in a census Place,G2600810,,Single-Family Detached,2,Natural Gas,68F,No,0F,,"Room AC, EER 8.5",<10% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,3,100%,85%,Occupied,Electric Standard,Electricity,2.21,0.0,51.11,0,50,0.0,563.282596871011,0.0,0.0,3911.61957358865,9043.00094123409,0.0,0.0,0.0,0.0,22151.483767897244,0.0,0.0,24286.21344303171,0.0,0.0,0.0,0.0,33329.2143842658,2611.0,62382.0,12159.0,5.9014,6.9489,2.401,46.971,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
1076,0,3310,47457.0,60-80%,,4,Cold,"MI, Detroit",G2601630,,Single-Family Detached,2,Natural Gas,68F,No,0F,,"Room AC, EER 9.8",40% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,2,50%,85%,Occupied,Natural Gas Standard,Natural Gas,22.49,0.0,197.31,0,40,0.0,2118.6107662749946,0.0,0.0,0.0,6622.820043751877,0.0,0.0,0.0,0.0,96582.74345953652,0.0,2856.56372096865,99819.42035851856,0.0,0.0,0.0,0.0,106442.24040227044,11340.0,312050.0,3699.0,5.2025,4.6147,18.064,181.254,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
1079,0,1207,4187.0,0-30%,,2,Cold,"MI, Kalamazoo",G2600770,,Single-Family Attached,2,Natural Gas,72F,Yes,6F,Night -2h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,<10000,2,100%,104%,Occupied,Natural Gas Standard,Natural Gas,10.89,0.0,20.22,0,30,0.0,212.4765258748611,0.0,0.0,0.0,5347.960888502711,0.0,0.0,0.0,0.0,8325.56296145249,0.0,4001.006249991178,12765.589674561656,0.0,0.0,0.0,0.0,18113.550563064367,12912.0,23385.0,6676.0,4.113,3.6247,8.924,23.113,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
1104,0,1228,37492.0,30-60%,,3,Cold,Not in a census Place,G2600990,,Single-Family Detached,1,Natural Gas,72F,Yes,6F,Day and Night -2h,"Room AC, EER 12.0",60% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,35000-39999,2,200%,85%,Occupied,Electric Premium,Electricity,9.77,0.0,71.84,0,50,0.0,630.6889430106222,0.0,0.0,4688.550980615211,13048.40325727785,0.0,0.0,0.0,0.0,24976.688884357467,0.0,0.0,25952.90861910114,0.0,0.0,0.0,0.0,39001.31187637899,4212.0,69853.0,15218.0,14.849,17.0845,9.849,59.864,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
1118,0,1138,32204.0,30-60%,,1,Cold,"MI, Detroit",G2601630,,10 to 19 Unit,2,Electricity,70F,Yes,3F,Night -5h,,,,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,30000-34999,1,50%,89%,Occupied,Electric Standard,Electricity,0.0,0.0,29.53,0,30,13368.436865905916,158.55144896317222,0.0,0.0,980.029658655911,17604.77918524539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17604.77918524539,0.0,44930.0,2139.0,5.59,11.1719,0.0,34.09,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
1197,0,1228,18566.0,0-30%,,2,Cold,Not in a census Place,G2600490,,Single-Family Detached,1,Natural Gas,65F,Yes,3F,Night,,,,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,15000-19999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,74.37,0,30,0.0,578.8153635901389,0.0,0.0,0.0,6775.217000241433,0.0,0.0,0.0,0.0,26275.57986736076,0.0,7614.279474144506,34865.78600517876,0.0,0.0,0.0,0.0,41641.00300542019,0.0,84800.0,16027.000000000002,11.3109,12.6624,0.0,78.131,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
1207,0,3310,4219.0,0-30%,,4,Cold,Not in a census Place,G2600810,,Single-Family Detached,2,Other Fuel,68F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,<10000,4,100%,85%,Occupied,Propane Tankless,Propane,62.8,0.0,108.56,0,0,0.0,0.0,0.0,0.0,0.0,7669.9629774772275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.6943826885222,0.0,0.0,5402.179036484572,5402.179036484572,14277.83639665032,13527.0,188141.0,13900.0,8.4677,5.9277,41.979,108.796,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
