bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
597,0,881,55104.0,100-120%,,3,Cold,Not in a census Place,G2600050,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +5h,"AC, SEER 15",60% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,100%,85%,Occupied,Natural Gas Standard,Natural Gas,8.71,0.0,24.24,0,40,0.0,250.86883606742225,0.0,0.0,0.0,6134.270569774783,0.0,0.0,0.0,0.0,11374.381304454117,0.0,4733.976996491905,16108.358300946022,0.0,0.0,0.0,0.0,22242.628870720804,8756.0,36713.0,8437.0,16.631400000000003,14.5407,10.247,29.528,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
965,0,2152,42184.0,80-100%,,3,Cold,In another census Place,G2601630,,Single-Family Attached,2,Natural Gas,75F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,40000-44999,1,50%,104%,Occupied,Natural Gas Premium,Natural Gas,21.01,0.0,71.4,0,40,0.0,1667.2813182097725,0.0,0.0,0.0,7043.670100519189,0.0,0.0,0.0,0.0,65918.42431634673,0.0,1550.0528901408832,68299.62676149604,0.0,0.0,0.0,0.0,75343.29686201522,4317.0,185621.0,2221.0,5.3643,5.366899999999999,14.957,78.964,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
1113,0,2179,47457.0,80-100%,,2,Very Cold,Not in a census Place,G2601310,,Single-Family Detached,2,Propane,70F,Yes,6F,Night +5h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,45000-49999,2,200%,85%,Occupied,Propane Standard,Propane,17.04,0.0,111.92,0,30,0.0,1841.3655338920723,0.0,0.0,0.0,9448.611302352445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71294.2269565158,0.0,7721.250414757366,79991.69710601684,89440.30840836928,13884.0,200604.0,16503.0,5.963100000000001,6.3856,16.752,115.664,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
1380,0,1228,55104.0,80-100%,,2,Cold,Not in a census Place,G2601630,,Single-Family Detached,3,Natural Gas,68F,Yes,3F,Night +1h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,57.36,0,30,0.0,783.9651127106944,0.0,0.0,0.0,6452.252680911644,0.0,0.0,0.0,0.0,30988.45574680026,0.0,7350.515510989505,39425.67878598837,0.0,0.0,0.0,0.0,45877.931466900016,0.0,87209.0,15710.0,3.5157,4.47,0.0,62.176,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
1566,0,2179,74877.0,100-120%,,3,Cold,Not in a census Place,G2601390,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +4h,"AC, SEER 8",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,200%,85%,Occupied,Electric Premium,Electricity,30.83,0.0,101.66,0,50,0.0,1228.5539261619556,0.0,0.0,4656.899305036612,14416.752083911955,0.0,0.0,0.0,0.0,48570.08231750205,0.0,0.0,50116.61835480086,0.0,0.0,0.0,0.0,64533.37043871282,15973.0,136647.0,15229.0,9.7811,7.501399999999999,27.539,80.761,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
1710,0,1228,74909.0,80-100%,,3,Cold,"MI, Ann Arbor",G2601610,,Single-Family Detached,1,Natural Gas,75F,Yes,6F,Night +3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,3,200%,85%,Occupied,Natural Gas Standard,Natural Gas,9.06,0.0,33.5,0,40,0.0,340.5485835401222,0.0,0.0,0.0,9878.839633365264,0.0,0.0,0.0,0.0,15425.209636374571,0.0,9627.3846551575,25052.59429153208,0.0,0.0,0.0,0.0,34931.43392489734,16653.0,49785.0,21714.0,10.4368,10.096,9.063,34.939,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
1923,0,881,54746.0,80-100%,,3,Cold,Not in a census Place,G2600270,,Mobile Home,1,Natural Gas,75F,Yes,3F,Night +4h,"Room AC, EER 12.0",60% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,3,100%,94%,Occupied,Natural Gas Standard,Natural Gas,9.54,0.0,37.59,0,40,0.0,539.8369112572334,0.0,0.0,0.0,6929.958525292367,0.0,0.0,0.0,0.0,21243.256521433526,0.0,5692.905538095417,28123.39296479661,0.0,0.0,0.0,0.0,35053.351490088986,8173.999999999999,59811.0,11395.0,4.1457,3.482,9.448,39.019,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
1987,0,3310,37492.0,80-100%,,4,Cold,Not in a census Place,G2600670,,Single-Family Detached,2,Natural Gas,75F,No,0F,,"AC, SEER 15",60% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,35000-39999,2,200%,85%,Occupied,Electric Premium,Electricity,37.88,0.0,158.29,0,50,0.0,2932.1760570730835,0.0,0.0,4813.106185438405,16261.341399575922,0.0,0.0,0.0,0.0,115354.82471727788,0.0,0.0,115354.82471727788,0.0,0.0,0.0,0.0,131616.1661168538,2399.0,324872.0,15834.0,15.5079,14.9161,14.452,166.817,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
2067,0,623,64407.0,100-120%,,1,Cold,In another census Place,G2601250,,3 or 4 Unit,2,Electricity,67F,Yes,6F,Night -5h,"Room AC, EER 9.8",60% Conditioned,Room AC,Shared Heating,Ducted Heating,Electricity Shared Heating,,,,60000-69999,1,200%,96%,Occupied,Electric Standard,Electricity,4.62,0.0,17.09,0,30,4993.931035734667,101.40259027958888,0.0,0.0,2806.155496899028,12784.346223052678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12784.346223052678,3599.0,16757.0,8480.0,8.529200000000001,13.4028,6.306,24.783,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
2375,0,872,54023.0,80-100%,,2,Cold,Not in a census Place,G2601390,,Single-Family Attached,2,Natural Gas,70F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,200%,104%,Occupied,Electric Standard,Electricity,10.97,0.0,30.73,0,30,0.0,285.1581512775722,0.0,0.0,2922.211640687228,11191.798027736822,0.0,0.0,0.0,0.0,13016.751581699247,0.0,0.0,13016.751581699247,0.0,0.0,0.0,0.0,24208.54960943607,8431.0,42064.0,8938.0,16.756400000000003,17.6352,9.506,38.358,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid
