bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group,Chosen_Parquet
110028,0,1228,66973.0,80-100%,,3,Cold,Not in a census Place,G2600990,,Mobile Home,1,Natural Gas,70F,Yes,3F,Night +1h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,3,100%,94%,Occupied,Electric Standard,Electricity,20.3,0.0,43.55,0,50,0.0,448.1056662933278,0.0,0.0,3537.6608880488943,11774.4233152392,0.0,0.0,0.0,0.0,19449.9546430497,0.0,0.0,19449.9546430497,0.0,0.0,0.0,0.0,31224.3779582889,6087.0,54560.0,11025.0,11.7032,12.8504,17.432,34.051,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_450.parquet
331207,0,1228,42426.0,80-100%,,3,Cold,Not in a census Place,G2601290,,Mobile Home,1,Natural Gas,65F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,40000-44999,2,100%,94%,Occupied,Natural Gas Standard,Natural Gas,3.36,0.0,61.48,0,40,0.0,880.0924237271834,0.0,0.0,0.0,5303.707156906706,0.0,0.0,0.0,0.0,34170.32835566007,0.0,4792.884281596522,38963.212637256605,0.0,0.0,0.0,0.0,44266.91979416331,2423.0,96273.0,8593.0,8.8437,9.099,4.756,65.28,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_807.parquet
48737,0,881,47457.0,80-100%,,2,Cold,Not in a census Place,G2601590,,Mobile Home,1,Natural Gas,72F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,1,200%,94%,Occupied,Natural Gas Standard,Natural Gas,10.69,0.0,21.43,0,30,0.0,308.31076582117777,0.0,0.0,0.0,6742.393040382144,0.0,0.0,0.0,0.0,12189.70502167324,0.0,4068.998738271133,17008.086486374745,0.0,0.0,0.0,0.0,23750.479526756888,5969.0,34332.0,7252.0,3.6614,4.168399999999999,10.259,30.545,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_996.parquet
46762,0,1228,42184.0,80-100%,,3,Cold,Not in a census Place,G2600790,,Mobile Home,1,Propane,67F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,40000-44999,1,100%,94%,Occupied,Propane Standard,Propane,3.86,0.0,51.01,0,40,0.0,845.2169663766889,0.0,0.0,0.0,5364.9590105727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33433.254614176934,0.0,3192.4231673860168,36625.67778156296,41990.63679213566,2967.0,94146.0,4421.0,17.4748,17.4449,7.989,60.787,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_1003.parquet
113495,0,1228,54023.0,100-120%,,3,Cold,Not in a census Place,G2601450,,Mobile Home,1,Natural Gas,68F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,100%,94%,Occupied,Natural Gas Standard,Natural Gas,9.75,0.0,27.09,0,40,0.0,401.5073661359445,0.0,0.0,0.0,4253.340441409461,0.0,0.0,0.0,0.0,15878.004439790657,0.0,3077.539307878505,19635.46863046872,0.0,0.0,0.0,0.0,23888.80907187818,5395.0,44711.0,4266.0,7.6452,8.110100000000001,8.963,31.653,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_229.parquet
329529,0,2152,54023.0,80-100%,,3,Cold,Not in a census Place,G2600810,,Single-Family Attached,1,Natural Gas,70F,Yes,3F,Day and Night +5h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,100%,104%,Occupied,Electric Standard,Electricity,23.57,0.0,81.18,0,50,0.0,1047.4360047955222,0.0,0.0,1584.6352764212056,6730.084055434911,0.0,0.0,0.0,0.0,41197.00033410928,0.0,0.0,42235.93727786981,0.0,0.0,0.0,0.0,48966.02133330472,8608.0,115861.0,4324.0,6.9371,9.6272,19.267,112.402,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_1200.parquet
206690,0,1207,55104.0,100-120%,,3,Cold,"MI, Midland",G2601110,,Single-Family Attached,2,Natural Gas,67F,No,0F,,"Room AC, EER 12.0",40% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,50%,104%,Occupied,Natural Gas Standard,Natural Gas,6.34,0.0,33.48,0,40,0.0,330.8772382244389,0.0,0.0,0.0,5080.973143575817,0.0,0.0,0.0,0.0,15062.973793641706,0.0,3052.3351958436942,19511.20649671569,0.0,0.0,0.0,0.0,24592.17964029152,3013.0,48668.0,4159.0,9.1992,9.7836,5.773,36.397,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_101.parquet
206690,0,1207,55104.0,100-120%,,3,Cold,"MI, Midland",G2601110,,Single-Family Attached,2,Natural Gas,67F,No,0F,,"Room AC, EER 12.0",40% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,50%,104%,Occupied,Natural Gas Standard,Natural Gas,6.34,0.0,33.48,0,40,0.0,330.8772382244389,0.0,0.0,0.0,5080.973143575817,0.0,0.0,0.0,0.0,15062.973793641706,0.0,3052.3351958436942,19511.20649671569,0.0,0.0,0.0,0.0,24592.17964029152,3013.0,48668.0,4159.0,9.1992,9.7836,5.773,36.397,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_88.parquet
205005,0,2152,55104.0,80-100%,,3,Cold,In another census Place,G2600990,,Single-Family Attached,1,Natural Gas,65F,Yes,6F,Night -4h,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,100%,104%,Occupied,Natural Gas Standard,Natural Gas,8.8,0.0,32.95,0,40,0.0,272.55609526016667,0.0,0.0,0.0,4964.916999787616,0.0,0.0,0.0,0.0,10790.290661600877,0.0,4078.670083586816,16445.390031644078,0.0,0.0,0.0,0.0,21410.307031431694,9155.0,30266.0,6673.0,6.211399999999999,5.4698,9.005,34.594,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_1054.parquet
365825,0,1678,54023.0,80-100%,,2,Cold,Not in a census Place,G2601390,,Single-Family Attached,2,Natural Gas,70F,Yes,3F,Night +4h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,200%,104%,Occupied,Natural Gas Standard,Natural Gas,4.41,0.0,97.15,0,30,0.0,1517.522001351767,0.0,0.0,0.0,9047.983149427017,0.0,0.0,0.0,0.0,60006.00854669233,0.0,4698.515397001067,65538.31113833337,0.0,0.0,0.0,0.0,74586.2942877604,1474.0,168875.0,8625.0,17.6327,19.0948,5.193,114.279,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_537.parquet
