Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,157810-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,157823-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158456-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158460-0.parquet,6
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158603-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158634-0.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158745-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,159485-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,160529-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,160963-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,161214-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,161642-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,161940-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,162590-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163378-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163471-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163559-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163839-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163891-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164079-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164249-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164283-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164928-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,165018-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,165234-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,165799-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,166308-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,166339-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,166911-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,167812-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,168033-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,168193-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,169293-0.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,169446-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,169655-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,169680-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,169748-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,169773-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,10381-0.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,109870-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,113255-0.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,113495-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,11596-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,116219-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,118404-0.parquet,122
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,121458-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,123079-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,129893-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,134138-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,138616-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,141664-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,14251-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,144380-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,145077-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,145104-0.parquet,6
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,15283-0.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,158553-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MI,161034-0.parquet,1
