Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,157810-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,157823-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158456-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158460-1.parquet,6
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158603-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158634-1.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,158745-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,159485-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,160529-1.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,160963-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,161214-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,161642-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,161940-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,162590-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163378-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163471-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163559-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163839-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,163891-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164079-1.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164249-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164283-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,164928-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MI,165018-8.parquet,1
