P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),hour,timestep, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3,circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
,,,0.0,1,900.0,7415.54,-2.36415e-05,7415.54,-120.0,7415.54,120.0,362.181,-8.28208,362.138,-128.496,364.798,111.431,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,2,1800.0,7415.54,-2.27751e-05,7415.54,-120.0,7415.54,120.0,352.909,-8.76377,352.393,-129.109,356.489,110.824,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,3,2700.0,7415.54,-2.21097e-05,7415.54,-120.0,7415.54,120.0,343.485,-8.8711,343.65,-129.074,353.097,111.056,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,4,0.0,7415.54,-2.20103e-05,7415.54,-120.0,7415.54,120.0,342.76,-8.97081,337.077,-129.296,337.947,110.714,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,5,900.0,7415.54,-2.07002e-05,7415.54,-120.0,7415.54,120.0,328.441,-9.73671,324.072,-130.072,337.234,110.176,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,6,1800.0,7415.54,-2.01242e-05,7415.54,-120.0,7415.54,120.0,317.614,-9.51994,312.907,-129.877,319.36,110.06,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,7,2700.0,7415.54,-1.97357e-05,7415.54,-120.0,7415.54,120.0,304.27,-8.54501,301.083,-128.927,310.017,111.213,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,8,0.0,7415.54,-1.89691e-05,7415.54,-120.0,7415.54,120.0,291.677,-8.43104,291.94,-128.916,303.349,111.363,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,9,900.0,7415.54,-1.8547e-05,7415.54,-120.0,7415.54,120.0,283.227,-8.13538,286.199,-128.525,297.519,111.542,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,10,1800.0,7415.54,-1.86017e-05,7415.54,-120.0,7415.54,120.0,289.926,-8.99955,281.161,-129.335,294.552,110.708,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,11,2700.0,7415.54,-1.75329e-05,7415.54,-120.0,7415.54,120.0,272.273,-8.84479,277.684,-128.825,286.299,111.121,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,12,0.0,7415.54,-1.73443e-05,7415.54,-120.0,7415.54,120.0,269.585,-8.88172,277.733,-129.023,283.737,110.899,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,13,900.0,7415.54,-1.72583e-05,7415.54,-120.0,7415.54,120.0,267.753,-8.80403,267.306,-129.024,280.021,110.904,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,14,1800.0,7415.54,-1.72167e-05,7415.54,-120.0,7415.54,120.0,266.389,-8.69077,269.013,-129.068,276.559,110.935,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,3.0,15,2700.0,7415.54,-1.65127e-05,7415.54,-120.0,7415.54,120.0,263.752,-9.99586,263.544,-130.377,273.805,109.643,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,4.0,16,0.0,7415.54,-1.64083e-05,7415.54,-120.0,7415.54,120.0,262.821,-10.1079,262.572,-130.508,272.618,109.577,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
