 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
2685.77,8.28205,2657.7600116658223,386.8749323619813,2685.45,8.49586,2655.9813245020105,396.7428718912873,2705.17,8.56922,2674.971025688268,403.08155580261274,7988.712361856101,1186.6993600558812,8076.371745507355,8076.389999999999,0.0,1,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2617.01,8.76374,2586.456412456532,398.7286879100729,2613.19,9.10904,2580.2346444576497,413.7041885701733,2643.56,9.17617,2609.7295066703027,421.57013131195475,7776.420563584485,1234.003007792201,7873.720861510131,7873.76,0.0,2,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2547.13,8.87108,2516.6607975730653,392.7972337719599,2548.35,9.07387,2516.45952193435,401.89450974844414,2618.4,8.944,2586.562260160172,407.08013254776114,7619.682579667588,1201.7718760681653,7713.871807140568,7713.879999999999,0.0,3,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2541.75,8.97079,2510.659223001042,396.3373922049302,2499.61,9.29553,2466.7859241607557,403.754079189755,2506.06,9.28561,2473.2212727792307,404.36772803016856,7450.666419941028,1204.4591994248538,7547.393726599667,7547.42,1.0,4,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2435.57,9.73668,2400.4865943078726,411.9045222478029,2403.17,10.0725,2366.1305092811635,420.3004424799746,2500.77,9.82429,2464.0978365469473,426.6994783505764,7230.714940135984,1258.9044430783538,7339.487648488016,7339.51,1.0,5,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2355.28,9.51992,2322.843460442703,389.54093068453165,2320.38,9.8771,2285.9872444809102,398.0272132286622,2368.23,9.9396,2332.6834882064054,408.77998574929956,6941.514193130019,1196.3481296624934,7043.853216867345,7043.889999999999,1.0,6,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2256.32,8.54499,2231.2737086252723,335.25748253786037,2232.7,8.9272,2205.653761773246,346.4690075252443,2298.95,8.7866,2271.969830508501,351.17544298992516,6708.89730090702,1032.9019330530298,6787.944416200105,6787.97,1.0,7,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2162.95,8.43102,2139.5752123230664,317.1287014962602,2164.89,8.91625,2138.729356002716,335.5375595551235,2249.5,8.63699,2223.989849801712,337.81562719767544,6502.294418127494,990.4818882490591,6577.3008955772575,6577.34,2.0,8,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2100.28,8.13536,2079.14385787007,297.21523628704426,2122.32,8.52538,2098.8689837206625,314.6286248506224,2206.27,8.45814,2182.2736989165205,324.5131983713579,6360.286540507253,936.3570595090246,6428.841996833498,6428.870000000001,2.0,9,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
2149.96,8.99953,2123.4931835877396,336.3104233537924,2084.96,9.33485,2057.3493725732574,338.1889424159592,2184.26,9.29205,2155.5984243018033,352.6856684748961,6336.440980462799,1027.1850342446478,6419.158308802217,6419.18,2.0,10,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
