substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,summer,0.2,0.0,0.8,35,0,168,203,137,0,1484,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_2,2,summer,1.0,0.0,0.0,203,0,0,203,1621,0,0,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,summer,0.2,0.6,0.2,39,119,45,203,614,802,205,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,summer,0.2,0.0,0.8,58,0,234,292,348,0,1477,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_2,2,summer,1.0,0.0,0.0,292,0,0,292,1825,0,0,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,summer,0.2,0.6,0.2,69,166,57,292,599,890,336,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,summer,0.2,0.0,0.8,18,0,82,100,64,0,236,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_2,2,summer,1.0,0.0,0.0,100,0,0,100,300,0,0,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,summer,0.2,0.6,0.2,27,58,15,100,66,187,47,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,summer,0.2,0.0,0.8,55,0,216,271,239,0,811,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_2,2,summer,1.0,0.0,0.0,271,0,0,271,1050,0,0,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,summer,0.2,0.6,0.2,53,161,57,271,186,468,396,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,summer,0.2,0.0,0.8,51,0,185,236,221,0,1020,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_2,2,summer,1.0,0.0,0.0,236,0,0,236,1241,0,0,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,summer,0.2,0.6,0.2,54,136,46,236,230,546,465,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,summer,0.2,0.0,0.8,36,0,168,204,95,0,491,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_2,2,summer,1.0,0.0,0.0,204,0,0,204,586,0,0,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,summer,0.2,0.6,0.2,41,131,32,204,200,314,72,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,summer,0.2,0.0,0.8,37,0,162,199,141,0,1004,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_2,2,summer,1.0,0.0,0.0,199,0,0,199,1145,0,0,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,summer,0.2,0.6,0.2,35,116,48,199,397,575,173,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,summer,0.2,0.0,0.8,44,0,204,248,505,0,1059,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_2,2,summer,1.0,0.0,0.0,248,0,0,248,1564,0,0,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,summer,0.2,0.6,0.2,46,150,52,248,175,1178,211,1564
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_0,0,summer,0.2,0.0,0.8,48,0,171,219,361,0,1505,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_2,2,summer,1.0,0.0,0.0,219,0,0,219,1866,0,0,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_1,1,summer,0.2,0.6,0.2,45,140,34,219,284,1387,195,1866
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_0,0,summer,0.2,0.0,0.8,45,0,184,229,201,0,718,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_2,2,summer,1.0,0.0,0.0,229,0,0,229,919,0,0,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_1,1,summer,0.2,0.6,0.2,41,135,53,229,111,519,289,919
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_0,0,summer,0.2,0.0,0.8,19,0,100,119,72,0,378,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_2,2,summer,1.0,0.0,0.0,119,0,0,119,450,0,0,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_1,1,summer,0.2,0.6,0.2,22,65,32,119,79,307,64,450
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_0,0,summer,0.2,0.0,0.8,32,0,156,188,96,0,1272,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_2,2,summer,1.0,0.0,0.0,188,0,0,188,1368,0,0,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_1,1,summer,0.2,0.6,0.2,40,113,35,188,211,1026,131,1368
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_0,0,summer,0.2,0.0,0.8,56,0,226,282,193,0,573,766
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_2,2,summer,1.0,0.0,0.0,282,0,0,282,766,0,0,766
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_1,1,summer,0.2,0.6,0.2,61,162,59,282,150,467,149,766
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_0,0,summer,0.2,0.0,0.8,38,0,151,189,313,0,666,979
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_2,2,summer,1.0,0.0,0.0,189,0,0,189,979,0,0,979
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_1,1,summer,0.2,0.6,0.2,41,114,34,189,217,603,159,979
uhs14_1247,uhs14_1247--udt11665,uhs14_1247_circuit_45_0,0,summer,0.2,0.0,0.8,45,0,198,243,165,0,572,737
