hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 3281.1, 12.3348, 3016.78, 11.0868, 3159.34, 11.5194
0, 1800.00000, 3221.39, 13.2959, 2941.37, 11.9256, 3097.57, 12.2045
0, 2700.00000, 3178.8, 13.3125, 2873.14, 12.0241, 3027.8, 12.2643
1, 0.00000, 3140.41, 13.4168, 2803.44, 12.2002, 2957.66, 12.6839
1, 900.00000, 3048.86, 14.0766, 2710.65, 13.0077, 2903.81, 13.2833
1, 1800.00000, 2983.19, 14.3952, 2639.43, 13.2485, 2775.99, 13.6341
1, 2700.00000, 2851.1, 13.5126, 2524.78, 12.4045, 2637.47, 13.0942
2, 0.00000, 2757.4, 13.6116, 2486.55, 12.2463, 2537.21, 13.359
2, 900.00000, 2706.85, 13.7245, 2454.81, 12.1597, 2494.39, 13.0094
2, 1800.00000, 2724.16, 14.5512, 2459.78, 13.0588, 2529.23, 13.8403
2, 2700.00000, 2644.46, 14.3869, 2384.47, 12.8519, 2441.72, 13.7231
3, 0.00000, 2632.52, 14.6435, 2388.02, 12.9867, 2439.04, 14.0974
3, 900.00000, 2607.86, 14.8678, 2363.38, 13.2533, 2383.14, 14.0907
3, 1800.00000, 2566.99, 14.7618, 2385.78, 13.0552, 2383.27, 13.9458
3, 2700.00000, 2561.26, 15.785, 2365.64, 14.1729, 2367.69, 15.1868
4, 0.00000, 2589.21, 15.7915, 2390.71, 14.2258, 2380.12, 15.42
4, 900.00000, 2625.96, 15.4834, 2422.52, 13.7225, 2440.68, 14.9568
4, 1800.00000, 2635.15, 15.3603, 2484.5, 13.5949, 2434.32, 14.6973
4, 2700.00000, 2615.58, 15.0564, 2435.77, 13.4498, 2420.39, 14.4331
5, 0.00000, 2741.96, 15.0498, 2506.59, 13.6966, 2522.85, 14.4277
5, 900.00000, 2738.57, 14.7334, 2508.17, 13.5586, 2545.79, 14.1741
5, 1800.00000, 2762.92, 14.4991, 2527.22, 13.2686, 2534.48, 13.8862
5, 2700.00000, 3078.71, 15.2328, 2816.48, 14.1864, 2834.57, 14.6814
6, 0.00000, 2886.21, 15.6348, 2598.24, 14.49, 2621.6, 15.0357
6, 900.00000, 2832.99, 15.675, 2564.62, 14.5128, 2582.14, 14.8717
6, 1800.00000, 3082.57, 15.4537, 2741.13, 14.1635, 2775.16, 14.8077
6, 2700.00000, 3015.12, 15.2005, 2745.71, 13.9618, 2798.51, 14.8378
7, 0.00000, 3112.68, 14.9418, 2816.11, 13.6703, 2888.55, 14.7742
7, 900.00000, 3250.7, 14.2881, 2949.1, 12.9154, 2946.8, 13.8373
7, 1800.00000, 3491.46, 14.6761, 3177.65, 13.2698, 3158.64, 14.1608
7, 2700.00000, 3796.96, 15.2993, 3446.23, 13.9161, 3471.16, 14.9249
8, 0.00000, 3949.98, 14.8966, 3618.04, 13.5916, 3622.43, 14.6359
8, 900.00000, 4033.76, 15.0514, 3743.17, 13.9652, 3716.37, 14.7454
8, 1800.00000, 4191.07, 15.1513, 3876.62, 14.2151, 3912.43, 15.0831
8, 2700.00000, 4313.51, 14.7022, 4002.47, 13.6768, 4046.18, 14.6753
9, 0.00000, 4551.6, 15.278, 4218.3, 14.3123, 4276.99, 15.3512
9, 900.00000, 4704.35, 15.5189, 4318.51, 14.5284, 4352.03, 15.424
9, 1800.00000, 4839.39, 14.8807, 4474.9, 13.894, 4438.91, 14.5628
9, 2700.00000, 5020.08, 15.5197, 4787.26, 14.9487, 4649.21, 15.4122
10, 0.00000, 5394.84, 16.1272, 5018.48, 15.4957, 4975.47, 16.0432
10, 900.00000, 5315.23, 15.4871, 4941.2, 14.8161, 4898.91, 15.2841
10, 1800.00000, 5404.94, 15.9598, 5045.9, 15.2922, 5038.83, 15.9959
10, 2700.00000, 5449.96, 16.0538, 5107.66, 15.4048, 5057.29, 16.0292
11, 0.00000, 5454.46, 15.4134, 5167.53, 14.7947, 5058.34, 15.4209
11, 900.00000, 5571.48, 16.14, 5231.3, 15.471, 5130.64, 16.0846
11, 1800.00000, 5973.91, 16.5463, 5595.43, 15.9237, 5515.46, 16.6076
11, 2700.00000, 5756.93, 15.8535, 5437.88, 15.1438, 5354.75, 15.8708
12, 0.00000, 5885.39, 16.5578, 5548.98, 15.8563, 5500.46, 16.6506
12, 900.00000, 5988.22, 16.6814, 5631.76, 15.9943, 5575.86, 16.7119
12, 1800.00000, 5947.13, 16.6344, 5588.15, 15.9156, 5537.79, 16.6175
12, 2700.00000, 6024.96, 16.7782, 5623, 16.0078, 5562.91, 16.7469
13, 0.00000, 6112.81, 16.8761, 5705.14, 16.1383, 5668.87, 16.6966
13, 900.00000, 6149.9, 16.7872, 5796.1, 16.1534, 5732.42, 16.728
13, 1800.00000, 6543.6, 17.2201, 6066.44, 16.4724, 6055.98, 17.1382
13, 2700.00000, 6399.82, 16.6136, 5916.9, 15.8705, 5946.97, 16.4378
14, 0.00000, 6470.35, 17.4588, 5913.81, 16.722, 5995.18, 17.3159
14, 900.00000, 6442.63, 17.4262, 5900.14, 16.769, 5959.31, 17.3484
14, 1800.00000, 6474.54, 16.8426, 5913.38, 16.1486, 5977.78, 16.7115
14, 2700.00000, 6556.11, 17.0415, 5981.67, 16.402, 6038, 16.853
15, 0.00000, 6495.96, 16.6999, 5867.31, 16.1669, 5923.38, 16.6691
15, 900.00000, 6514.57, 16.2947, 5866.87, 15.7674, 5952.84, 16.1734
15, 1800.00000, 6722.9, 16.6621, 6051, 16.2381, 6160.31, 16.6532
15, 2700.00000, 7433.34, 16.6989, 6614.77, 16.4472, 6900.72, 16.8056
16, 0.00000, 7478.21, 16.4863, 6650.43, 16.1841, 6941.92, 16.5812
16, 900.00000, 7645.38, 17.1554, 6815.69, 16.9455, 7132.15, 17.3134
16, 1800.00000, 7078.39, 16.5236, 6348.94, 16.2704, 6572.35, 16.7897
16, 2700.00000, 6730.43, 16.8458, 6073.55, 16.2922, 6199.39, 16.8972
17, 0.00000, 6778.87, 17.363, 6074.89, 16.7232, 6223.35, 17.1511
17, 900.00000, 6748.2, 17.2719, 6081.31, 16.6762, 6215.84, 16.9563
17, 1800.00000, 6439.29, 16.311, 5844.19, 15.8022, 6029.25, 16.2031
17, 2700.00000, 6604.55, 16.4287, 5997.97, 16.2352, 6124.04, 16.5128
18, 0.00000, 6761.12, 16.0855, 6209.19, 15.9894, 6309.53, 16.162
18, 900.00000, 6542.06, 15.5544, 5904, 15.4228, 6051.16, 15.8455
18, 1800.00000, 6092.92, 15.092, 5482.56, 15.0266, 5635.06, 15.4911
18, 2700.00000, 6116.66, 15.2694, 5515.63, 14.8737, 5562.38, 15.5274
19, 0.00000, 6008.48, 14.782, 5474.62, 14.342, 5509.36, 14.8868
19, 900.00000, 5885.23, 14.3893, 5396.74, 14.0866, 5365.49, 14.492
19, 1800.00000, 5984.58, 14.3218, 5484.51, 13.9522, 5437.84, 14.337
19, 2700.00000, 5799.32, 13.9836, 5313.69, 13.502, 5271.03, 13.9264
20, 0.00000, 5662.54, 13.7072, 5218.87, 13.0876, 5236.89, 13.5612
20, 900.00000, 5533.97, 13.7194, 5101.1, 13.0406, 5152.82, 13.6398
20, 1800.00000, 5538.22, 13.0418, 5152.56, 12.344, 5149.47, 12.7086
20, 2700.00000, 5523.74, 13.2179, 5067.81, 12.5, 5078.98, 12.8828
21, 0.00000, 5318.08, 13.1267, 4944.11, 12.6426, 4888.29, 13.1169
21, 900.00000, 5327.15, 12.4811, 4917.93, 12.0592, 4881.89, 12.454
21, 1800.00000, 4905.7, 11.9517, 4554.72, 11.6467, 4538.21, 12.1128
21, 2700.00000, 4755.45, 11.7487, 4422.1, 11.5915, 4421.16, 12.118
22, 0.00000, 4801.07, 13.2504, 4435.37, 12.6174, 4526.71, 13.2249
22, 900.00000, 4508.47, 13.0168, 4189.7, 12.1355, 4261.71, 12.8721
22, 1800.00000, 4117.82, 13.1039, 3972.47, 12.0561, 3954.7, 12.5629
22, 2700.00000, 3967.23, 11.9995, 3892.49, 11.1073, 3805.45, 11.7765
23, 0.00000, 3758.61, 12.0556, 3679.55, 10.9289, 3754.75, 11.3027
23, 900.00000, 3684.09, 12.1115, 3565.63, 11.1407, 3595.88, 11.5648
23, 1800.00000, 3631.8, 12.6124, 3509.39, 11.8141, 3544.52, 12.0793
23, 2700.00000, 3649.92, 13.477, 3468.75, 12.4136, 3634.61, 12.8717
24, 0.00000, 3461.11, 12.4517, 3218.71, 11.2935, 3297.42, 11.9492
