hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.54, -1.95975E-005, 7415.54, -120, 7415.54, 120, 361.408, -15.2149, 328.42, -133.76, 334.214, 105.449
0, 1800.00000, 7415.54, -1.91458E-005, 7415.54, -120, 7415.54, 120, 362.332, -16.0483, 326.665, -134.45, 330.581, 104.775
0, 2700.00000, 7415.54, -1.88457E-005, 7415.54, -120, 7415.54, 120, 357.418, -16.1155, 322.232, -134.529, 325.759, 104.772
1, 0.00000, 7415.54, -1.8518E-005, 7415.54, -120, 7415.54, 120, 352.711, -16.25, 316.98, -134.644, 323.047, 104.464
1, 900.00000, 7415.54, -1.79314E-005, 7415.54, -120, 7415.54, 120, 347.912, -16.8233, 312.79, -135.338, 319.432, 103.809
1, 1800.00000, 7415.54, -1.76644E-005, 7415.54, -120, 7415.54, 120, 344.565, -16.986, 309.966, -135.446, 313.347, 103.802
1, 2700.00000, 7415.54, -1.77176E-005, 7415.54, -120, 7415.54, 120, 332.57, -15.7847, 301.966, -134.208, 306.899, 104.914
2, 0.00000, 7415.54, -1.76102E-005, 7415.54, -120, 7415.54, 120, 328.669, -15.6006, 298.409, -134.018, 304.49, 105.009
2, 900.00000, 7415.54, -1.78095E-005, 7415.54, -120, 7415.54, 120, 330.309, -15.3975, 299.423, -133.693, 300.602, 105.46
2, 1800.00000, 7415.54, -1.77374E-005, 7415.54, -120, 7415.54, 120, 335.258, -16.006, 304.528, -134.28, 306.905, 104.844
2, 2700.00000, 7415.54, -1.76113E-005, 7415.54, -120, 7415.54, 120, 329.31, -15.6614, 298.994, -133.92, 301.05, 105.151
3, 0.00000, 7415.54, -1.76952E-005, 7415.54, -120, 7415.54, 120, 332.213, -15.7909, 301.352, -134.042, 304.103, 104.926
3, 900.00000, 7415.54, -1.7431E-005, 7415.54, -120, 7415.54, 120, 329.294, -15.9888, 299.453, -134.247, 297.349, 104.948
3, 1800.00000, 7415.54, -1.73474E-005, 7415.54, -120, 7415.54, 120, 326.075, -15.8286, 297.874, -134.125, 296.057, 105.06
3, 2700.00000, 7415.54, -1.6991E-005, 7415.54, -120, 7415.54, 120, 328.688, -16.7301, 299.902, -135.141, 299.444, 103.985
4, 0.00000, 7415.54, -1.71683E-005, 7415.54, -120, 7415.54, 120, 331.93, -16.7131, 303.853, -135.187, 303.699, 103.888
4, 900.00000, 7415.54, -1.80723E-005, 7415.54, -120, 7415.54, 120, 343.014, -16.1385, 310.717, -134.559, 314.411, 104.482
4, 1800.00000, 7415.54, -1.83338E-005, 7415.54, -120, 7415.54, 120, 346.051, -15.9631, 315.6, -134.447, 314.435, 104.76
4, 2700.00000, 7415.54, -1.83149E-005, 7415.54, -120, 7415.54, 120, 342.508, -15.6668, 314.195, -134.198, 312.514, 105.066
5, 0.00000, 7415.54, -1.93777E-005, 7415.54, -120, 7415.54, 120, 361.145, -15.5581, 330.147, -134.184, 328.633, 105.21
5, 900.00000, 7415.54, -1.93925E-005, 7415.54, -120, 7415.54, 120, 358.096, -15.2574, 328.762, -134.034, 330.878, 105.53
5, 1800.00000, 7415.54, -1.9697E-005, 7415.54, -120, 7415.54, 120, 360.821, -14.9947, 331.292, -133.739, 329.295, 105.808
5, 2700.00000, 7415.54, -2.15554E-005, 7415.54, -120, 7415.54, 120, 403.807, -15.7275, 371.333, -134.681, 370.315, 104.986
6, 0.00000, 7415.54, -1.99317E-005, 7415.54, -120, 7415.54, 120, 379.351, -16.2286, 341.965, -135.061, 342.277, 104.535
6, 900.00000, 7415.54, -1.97527E-005, 7415.54, -120, 7415.54, 120, 377.385, -16.3484, 340.361, -135.211, 340.767, 104.616
6, 1800.00000, 7415.54, -2.09659E-005, 7415.54, -120, 7415.54, 120, 392.074, -15.6701, 352.347, -134.461, 355.762, 105.092
6, 2700.00000, 7415.54, -2.088E-005, 7415.54, -120, 7415.54, 120, 391.485, -15.7537, 355.334, -134.649, 365.566, 104.812
7, 0.00000, 7415.54, -2.16702E-005, 7415.54, -120, 7415.54, 120, 402.813, -15.4765, 365.399, -134.279, 377.51, 104.887
7, 900.00000, 7415.54, -2.32277E-005, 7415.54, -120, 7415.54, 120, 424.005, -14.8831, 383.725, -133.588, 387.748, 105.801
7, 1800.00000, 7415.54, -2.45842E-005, 7415.54, -120, 7415.54, 120, 454.837, -15.327, 409.901, -134.061, 415.891, 105.385
7, 2700.00000, 7415.54, -2.63154E-005, 7415.54, -120, 7415.54, 120, 497.596, -16.0303, 444.907, -134.832, 457.809, 104.503
8, 0.00000, 7415.54, -2.75899E-005, 7415.54, -120, 7415.54, 120, 516.521, -15.7131, 468.362, -134.497, 476.979, 104.711
8, 900.00000, 7415.54, -2.79036E-005, 7415.54, -120, 7415.54, 120, 526.031, -15.9353, 484.569, -134.908, 486.279, 104.478
8, 1800.00000, 7415.54, -2.87646E-005, 7415.54, -120, 7415.54, 120, 545.506, -16.1251, 502.43, -135.189, 509.835, 104.073
8, 2700.00000, 7415.54, -2.99064E-005, 7415.54, -120, 7415.54, 120, 559.685, -15.7031, 516.582, -134.698, 527.312, 104.472
9, 0.00000, 7415.54, -3.0778E-005, 7415.54, -120, 7415.54, 120, 588.24, -16.3706, 543.317, -135.41, 557.432, 103.763
9, 900.00000, 7415.54, -3.15366E-005, 7415.54, -120, 7415.54, 120, 607.958, -16.6393, 555.81, -135.657, 565.929, 103.623
9, 1800.00000, 7415.54, -3.27157E-005, 7415.54, -120, 7415.54, 120, 616.685, -15.9353, 569.112, -134.978, 570.676, 104.504
9, 2700.00000, 7415.54, -3.34164E-005, 7415.54, -120, 7415.54, 120, 646.03, -16.7281, 609.955, -136.214, 600.994, 103.51
10, 0.00000, 7415.54, -3.55527E-005, 7415.54, -120, 7415.54, 120, 701.678, -17.3574, 649.033, -136.702, 650.273, 102.927
10, 900.00000, 7415.54, -3.57437E-005, 7415.54, -120, 7415.54, 120, 687.666, -16.5787, 637.384, -135.905, 636.397, 103.736
10, 1800.00000, 7415.54, -3.5562E-005, 7415.54, -120, 7415.54, 120, 693.752, -17.0061, 646.537, -136.363, 654.212, 103.074
10, 2700.00000, 7415.54, -3.58921E-005, 7415.54, -120, 7415.54, 120, 704.638, -17.1982, 657.644, -136.563, 661.141, 102.994
11, 0.00000, 7415.54, -3.68594E-005, 7415.54, -120, 7415.54, 120, 706.838, -16.4786, 666.475, -135.879, 662.763, 103.679
11, 900.00000, 7415.54, -3.68021E-005, 7415.54, -120, 7415.54, 120, 722.48, -17.1976, 674.125, -136.578, 671.446, 103.008
11, 1800.00000, 7415.53, -3.90979E-005, 7415.54, -120, 7415.54, 120, 776.311, -17.539, 720.343, -137.023, 722.981, 102.539
11, 2700.00000, 7415.54, -3.80663E-005, 7415.54, -120, 7415.54, 120, 741.82, -16.9748, 691.921, -136.338, 695.295, 103.141
12, 0.00000, 7415.54, -3.80583E-005, 7415.54, -120, 7415.54, 120, 759.655, -17.6947, 707.574, -137.107, 714.297, 102.335
12, 900.00000, 7415.53, -3.85214E-005, 7415.54, -120, 7415.54, 120, 771.97, -17.8125, 719.367, -137.205, 723.831, 102.302
12, 1800.00000, 7415.54, -3.83751E-005, 7415.54, -120, 7415.54, 120, 767.496, -17.7533, 713.119, -137.15, 717.225, 102.351
12, 2700.00000, 7415.53, -3.88528E-005, 7415.54, -120, 7415.54, 120, 779.634, -17.8512, 718.655, -137.221, 723.165, 102.286
13, 0.00000, 7415.53, -3.91883E-005, 7415.54, -120, 7415.54, 120, 789.631, -17.9728, 728.821, -137.353, 731.616, 102.249
13, 900.00000, 7415.53, -3.94108E-005, 7415.54, -120, 7415.54, 120, 792.539, -17.9148, 733.313, -137.402, 736.533, 102.195
13, 1800.00000, 7415.53, -4.14415E-005, 7415.53, -120, 7415.53, 120, 844.359, -18.2959, 770.441, -137.682, 782.438, 101.879
13, 2700.00000, 7415.53, -4.11975E-005, 7415.54, -120, 7415.54, 120, 822.726, -17.7106, 752.433, -137.04, 763.611, 102.529
14, 0.00000, 7415.53, -4.02404E-005, 7415.54, -120, 7415.53, 120, 828.84, -18.6064, 752.811, -137.929, 767.517, 101.578
14, 900.00000, 7415.53, -3.99867E-005, 7415.54, -120, 7415.54, 120, 823.815, -18.6133, 747.828, -138.056, 761.66, 101.492
14, 1800.00000, 7415.53, -4.09296E-005, 7415.54, -120, 7415.54, 120, 826.049, -18.0205, 749.155, -137.379, 764.592, 102.2
14, 2700.00000, 7415.53, -4.09262E-005, 7415.54, -120, 7415.53, 120, 833.544, -18.2848, 755.158, -137.647, 770.138, 101.987
15, 0.00000, 7415.53, -4.06195E-005, 7415.54, -120, 7415.54, 120, 819.869, -18.0232, 740.841, -137.458, 755.236, 102.159
15, 900.00000, 7415.53, -4.1595E-005, 7415.54, -120, 7415.54, 120, 825.326, -17.5194, 747.298, -136.919, 762.591, 102.793
15, 1800.00000, 7415.53, -4.21445E-005, 7415.54, -120, 7415.53, 120, 847.646, -17.9203, 767.115, -137.452, 786.824, 102.301
15, 2700.00000, 7415.53, -4.65466E-005, 7415.53, -120, 7415.53, 120, 937.154, -17.9519, 837.487, -137.672, 882.102, 102.177
16, 0.00000, 7415.53, -4.7171E-005, 7415.53, -120, 7415.53, 120, 941.967, -17.7108, 841.535, -137.384, 885.937, 102.403
16, 900.00000, 7415.53, -4.71449E-005, 7415.53, -120, 7415.53, 120, 963.614, -18.3887, 862.9, -138.148, 911.666, 101.646
16, 1800.00000, 7415.53, -4.42981E-005, 7415.53, -120, 7415.53, 120, 890.088, -17.8922, 794.917, -137.65, 835.536, 102.038
16, 2700.00000, 7415.53, -4.1225E-005, 7415.54, -120, 7415.53, 120, 839.978, -18.2969, 755.105, -137.731, 784.626, 101.911
17, 0.00000, 7415.53, -4.0675E-005, 7415.54, -120, 7415.53, 120, 845.077, -18.8515, 750.35, -138.255, 781.266, 101.511
17, 900.00000, 7415.53, -3.99577E-005, 7415.54, -120, 7415.54, 120, 829.349, -18.8232, 739.948, -138.315, 764.915, 101.561
17, 1800.00000, 7415.53, -3.83636E-005, 7415.54, -120, 7415.54, 120, 775.962, -18.0835, 697.007, -137.613, 727.247, 102.132
17, 2700.00000, 7415.53, -3.82978E-005, 7415.54, -120, 7415.54, 120, 784.226, -18.4388, 708.624, -138.15, 737.275, 101.763
18, 0.00000, 7415.53, -3.94723E-005, 7415.54, -120, 7415.54, 120, 800.913, -18.1756, 729.877, -137.939, 756.964, 102.032
18, 900.00000, 7415.54, -3.79824E-005, 7415.54, -120, 7415.54, 120, 761.272, -17.8163, 686.36, -137.451, 720.546, 102.282
18, 1800.00000, 7415.54, -3.48417E-005, 7415.54, -120, 7415.54, 120, 692.645, -17.5734, 624.203, -137.319, 657.068, 102.423
18, 2700.00000, 7415.54, -3.44147E-005, 7415.54, -120, 7415.54, 120, 692.288, -17.922, 618.092, -137.41, 650.248, 102.308
19, 0.00000, 7415.54, -3.41848E-005, 7415.54, -120, 7415.54, 120, 675.775, -17.4053, 609.639, -136.925, 634.146, 102.803
19, 900.00000, 7415.54, -3.35944E-005, 7415.54, -120, 7415.54, 120, 659.348, -17.1888, 591.821, -136.789, 616.272, 103.088
19, 1800.00000, 7415.54, -3.43632E-005, 7415.54, -120, 7415.54, 120, 671.33, -17.0492, 602.912, -136.577, 626.873, 103.356
19, 2700.00000, 7415.54, -3.34528E-005, 7415.54, -120, 7415.54, 120, 646.006, -16.6934, 575.496, -136.158, 599.016, 103.66
20, 0.00000, 7415.54, -3.30749E-005, 7415.54, -120, 7415.54, 120, 632.179, -16.374, 567.858, -135.759, 587.008, 103.909
20, 900.00000, 7415.54, -3.212E-005, 7415.54, -120, 7415.54, 120, 615.482, -16.4523, 549.113, -135.78, 572.72, 103.715
20, 1800.00000, 7415.54, -3.30571E-005, 7415.54, -120, 7415.54, 120, 616.891, -15.6134, 552.598, -134.982, 568.487, 104.771
20, 2700.00000, 7415.54, -3.23624E-005, 7415.54, -120, 7415.54, 120, 609.051, -15.8842, 546.13, -135.089, 562.903, 104.668
21, 0.00000, 7415.54, -3.07025E-005, 7415.54, -120, 7415.54, 120, 579.478, -15.9748, 528.748, -135.427, 540.387, 104.294
21, 900.00000, 7415.54, -3.13329E-005, 7415.54, -120, 7415.54, 120, 578.421, -15.2606, 527.05, -134.692, 542.489, 105.141
21, 1800.00000, 7415.54, -2.79768E-005, 7415.54, -120, 7415.54, 120, 514.411, -15.1274, 471.84, -134.534, 489, 105.131
21, 2700.00000, 7415.54, -2.72796E-005, 7415.54, -120, 7415.54, 120, 497.663, -14.8667, 462.868, -134.367, 477.65, 105.154
22, 0.00000, 7415.54, -2.70114E-005, 7415.54, -120, 7415.54, 120, 516.899, -16.407, 465.96, -135.583, 490.646, 103.825
22, 900.00000, 7415.54, -2.59089E-005, 7415.54, -120, 7415.54, 120, 489.885, -16.0283, 438.16, -135.166, 461.53, 104.216
22, 1800.00000, 7415.54, -2.40603E-005, 7415.54, -120, 7415.54, 120, 454.147, -15.9716, 416.332, -135.028, 424.169, 104.446
22, 2700.00000, 7415.54, -2.32025E-005, 7415.54, -120, 7415.54, 120, 425.634, -15.0459, 395.439, -134.231, 403.033, 105.194
23, 0.00000, 7415.54, -2.24565E-005, 7415.54, -120, 7415.54, 120, 410.482, -14.927, 376.203, -133.928, 385.61, 105.455
23, 900.00000, 7415.54, -2.18643E-005, 7415.54, -120, 7415.54, 120, 400.78, -15.0191, 369.981, -134.086, 375.612, 105.317
23, 1800.00000, 7415.54, -2.09911E-005, 7415.54, -120, 7415.54, 120, 393.448, -15.7441, 368.198, -134.904, 369.273, 104.605
23, 2700.00000, 7415.54, -2.10125E-005, 7415.54, -120, 7415.54, 120, 403.304, -16.4937, 370.946, -135.522, 382.606, 103.747
24, 0.00000, 7415.54, -2.04592E-005, 7415.54, -120, 7415.54, 120, 379.098, -15.3717, 346.165, -134.084, 353.564, 105.145
