hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0476555, 0.00704558, 0.0476426, -0.00222465, 0.0476523, -0.00447859, 0, 0
0, 1800.00000, 0.0476552, 0.00586611, 0.047643, -0.00204282, 0.0476517, -0.00382316, 0, 0
0, 2700.00000, 0.047654, 0.00450722, 0.0476444, -0.0021489, 0.0476516, -0.00235644, 0, 0
1, 0.00000, 0.047654, 0.00343445, 0.0476452, -0.00142725, 0.0476508, -0.0020062, 0, 0
1, 900.00000, 0.0476555, 0.00492199, 0.0476438, -0.000980255, 0.0476507, -0.00394229, 0, 0
1, 1800.00000, 0.0476543, 0.00414691, 0.0476446, -0.00169783, 0.0476511, -0.00244834, 0, 0
1, 2700.00000, 0.0476561, 0.00590908, 0.047643, -0.00112225, 0.047651, -0.00463146, 0, 0
2, 0.00000, 0.0476563, 0.00499937, 0.0476435, -0.000282572, 0.0476503, -0.00465913, 0, 0
2, 900.00000, 0.047653, 0.00208012, 0.0476464, -0.0017208, 0.0476507, -0.000331895, 0, 0
2, 1800.00000, 0.0476607, 0.00700182, 0.0476407, 0.002112, 0.0476486, -0.00911958, 0, 0
2, 2700.00000, 0.0476579, 0.00460123, 0.0476432, 0.000986804, 0.047649, -0.00547989, 0, 0
3, 0.00000, 0.0476595, 0.00316481, 0.0476436, 0.00369431, 0.0476468, -0.00686093, 0, 0
3, 900.00000, 0.0476574, 0.00248818, 0.0476448, 0.00206105, 0.0476478, -0.0044961, 0, 0
3, 1800.00000, 0.0476567, 0.00214772, 0.0476453, 0.00174972, 0.0476479, -0.00387632, 0, 0
3, 2700.00000, 0.0476559, -0.000555771, 0.0476474, 0.00288983, 0.0476466, -0.00247209, 0, 0
4, 0.00000, 0.0476548, -0.00235689, 0.0476491, 0.00325101, 0.0476461, -0.00089679, 0, 0
4, 900.00000, 0.0476568, -0.00470873, 0.0476502, 0.00712727, 0.047643, -0.00242062, 0, 0
4, 1800.00000, 0.0476532, -0.00514276, 0.0476513, 0.0037627, 0.0476455, 0.00134099, 0, 0
4, 2700.00000, 0.0476502, -0.00601209, 0.0476529, 0.0013449, 0.0476469, 0.00466452, 0, 0
5, 0.00000, 0.047653, -0.00641068, 0.0476525, 0.00462319, 0.0476445, 0.00178036, 0, 0
5, 900.00000, 0.047653, -0.00413041, 0.0476506, 0.00321897, 0.0476464, 0.000909431, 0, 0
5, 1800.00000, 0.0476484, -0.00632574, 0.0476538, -0.000151955, 0.0476479, 0.0064721, 0, 0
5, 2700.00000, 0.0476446, -0.00705786, 0.0476548, -0.00350538, 0.0476507, 0.0105417, 0, 0
6, 0.00000, 0.0476447, -0.0148041, 0.0476607, 0.00320845, 0.0476446, 0.0116006, 0, 0
6, 900.00000, 0.0476471, -0.00804765, 0.0476552, 0.00148095, 0.0476476, 0.00653988, 0, 0
6, 1800.00000, 0.0476491, -0.00459336, 0.0476521, 0.000659147, 0.0476488, 0.00392664, 0, 0
6, 2700.00000, 0.0476533, -0.0079504, 0.0476541, 0.00804094, 0.0476425, -9.4058E-005, 0, 0
7, 0.00000, 0.0476529, -0.00873111, 0.0476552, 0.0082948, 0.0476418, 0.000430658, 0, 0
7, 900.00000, 0.0476462, -0.011816, 0.0476591, 0.00320591, 0.0476447, 0.00860255, 0, 0
7, 1800.00000, 0.04765, -0.0115432, 0.047658, 0.00681492, 0.047642, 0.00471287, 0, 0
7, 2700.00000, 0.0476499, -0.0115569, 0.0476579, 0.00679819, 0.0476421, 0.00473736, 0, 0
8, 0.00000, 0.0476481, -0.00728579, 0.0476551, 0.000927922, 0.0476468, 0.00634358, 0, 0
8, 900.00000, 0.0476488, -0.000282618, 0.0476495, -0.00380574, 0.0476516, 0.00405821, 0, 0
8, 1800.00000, 0.0476517, 0.00144775, 0.0476471, -0.00223486, 0.0476512, 0.000770946, 0, 0
8, 2700.00000, 0.0476556, -0.00106476, 0.0476482, 0.00378762, 0.0476461, -0.00273092, 0, 0
9, 0.00000, 0.0476568, -0.00399419, 0.0476504, 0.00730087, 0.0476428, -0.0033255, 0, 0
9, 900.00000, 0.0476533, -0.00477118, 0.0476516, 0.0041817, 0.0476451, 0.000577628, 0, 0
9, 1800.00000, 0.047649, -0.00317642, 0.0476515, -0.00184862, 0.0476495, 0.005009, 0, 0
9, 2700.00000, 0.0476502, 0.00375336, 0.0476454, -0.0062201, 0.0476543, 0.0024432, 0, 0
10, 0.00000, 0.0476622, 0.00409401, 0.0476422, 0.00600118, 0.0476455, -0.0101272, 0, 0
10, 900.00000, 0.0476533, -0.0018455, 0.047649, 0.0011577, 0.0476478, 0.000692048, 0, 0
10, 1800.00000, 0.0476563, -0.00194176, 0.0476486, 0.00447868, 0.0476451, -0.00254313, 0, 0
10, 2700.00000, 0.0476558, 0.000637061, 0.0476467, 0.00201552, 0.0476476, -0.00266021, 0, 0
11, 0.00000, 0.0476507, -3.95384E-005, 0.0476485, -0.00329306, 0.0476507, 0.00332797, 0, 0
11, 900.00000, 0.0476498, -0.00308537, 0.0476511, -0.00159845, 0.0476491, 0.00467726, 0, 0
11, 1800.00000, 0.047666, 0.00671008, 0.047639, 0.00762238, 0.0476449, -0.0143723, 0, 0
11, 2700.00000, 0.0476546, -0.000935844, 0.047648, 0.00164734, 0.0476473, -0.000693718, 0, 0
12, 0.00000, 0.0476546, -0.00234317, 0.0476491, 0.00257738, 0.0476462, -0.00024288, 0, 0
