P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),hour,timestep, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3,circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
,,,0.0,1,900.0,7415.53,-5.21969e-05,7415.53,-120.0,7415.53,120.0,1093.07,-19.0759,1045.2,-138.154,1089.59,101.447,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,2,1800.0,7415.53,-5.09912e-05,7415.53,-120.0,7415.53,120.0,1074.19,-19.2407,1042.95,-138.504,1071.69,101.45,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,3,2700.0,7415.53,-5.10891e-05,7415.53,-120.0,7415.53,120.0,1076.26,-19.2407,1038.82,-138.44,1062.07,101.349,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,4,0.0,7415.53,-5.19341e-05,7415.53,-120.0,7415.53,120.0,1078.86,-18.8506,1043.37,-137.989,1076.62,101.474,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,5,900.0,7415.53,-5.19203e-05,7415.53,-120.0,7415.53,120.0,1088.2,-19.0994,1048.29,-138.254,1085.28,101.299,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,6,1800.0,7415.53,-4.87996e-05,7415.53,-120.0,7415.53,120.0,1047.97,-19.7653,986.452,-138.506,1037.75,100.714,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,7,2700.0,7415.53,-4.25427e-05,7415.53,-120.0,7415.53,120.0,1086.71,-23.9957,1028.15,-143.115,1090.98,96.1306,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,8,0.0,7415.53,-4.16468e-05,7415.53,-120.0,7415.53,120.0,1092.15,-24.5649,1022.64,-143.786,1087.77,95.8781,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,9,900.0,7415.53,-4.00919e-05,7415.53,-120.0,7415.53,120.0,1101.86,-25.5396,1032.46,-144.711,1096.86,94.9389,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,10,1800.0,7415.53,-4.03391e-05,7415.53,-120.0,7415.53,120.0,1119.8,-25.7411,1047.59,-144.902,1109.17,94.7591,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,11,2700.0,7415.53,-3.98667e-05,7415.53,-120.0,7415.53,120.0,1118.74,-25.9566,1051.41,-145.041,1111.43,94.6051,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
