 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
8105.73,19.0758,7660.620330465792,2649.104562933327,7750.69,18.1537,7364.892702877023,2414.8604413524135,8079.87,18.5527,7659.97047537028,2570.8270135027756,22685.483508713096,7634.792017788517,23935.772625486337,23936.289999999997,0.0,1,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7965.72,19.2406,7520.779551012086,2624.989535879799,7734.0,18.504,7334.163807583685,2454.546239843439,7947.17,18.5496,7534.303508134191,2528.1973135451312,22389.24686672996,7607.733089268369,23646.479188600704,23646.89,0.0,2,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7981.02,19.2406,7535.224940396911,2630.031432895883,7703.43,18.4395,7307.921853742311,2436.618957591758,7875.78,18.6509,7462.180903660805,2518.683538962372,22305.32769780003,7585.333929450013,23559.816097064737,23560.23,0.0,3,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
8000.3,18.8506,7571.19820017908,2584.9096509559204,7737.17,17.9889,7358.9490041441,2389.4914026433644,7983.7,18.5255,7570.003363904732,2536.634534273914,22500.150568227913,7511.035587873199,23720.71734149759,23721.170000000002,1.0,4,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
8069.6,19.0994,7625.387392563505,2640.4377048765123,7773.63,18.2538,7382.4481453604485,2434.909188853677,8047.91,18.7008,7623.027038343185,2580.3709308525254,22630.86257626714,7655.7178245827145,23890.708577928828,23891.14,1.0,5,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7771.26,19.7652,7313.42660102834,2627.9789456864114,7315.07,18.5059,6936.814869175957,2321.8200997664176,7695.44,19.2862,7263.57598882519,2541.7042802344586,21513.817459029488,7491.5033256872875,22780.846422800572,22781.77,1.0,6,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
8058.53,23.9957,7362.079444626725,3277.1469316929697,7624.28,23.1148,7012.203735833608,2993.099444649505,8090.23,23.8694,7398.274238933512,3273.7378848088574,21772.557419393845,9543.984261151332,23772.502858510845,23773.04,1.0,7,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
8098.86,24.5649,7365.839927385398,3366.8880978932266,7583.41,23.7858,6939.272523954837,3058.5297229854514,8066.4,24.1219,7362.026106244306,3296.5710322966356,21667.13855758454,9721.988853175313,23748.304371782666,23748.67,2.0,8,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
8170.85,25.5396,7372.455990033898,3522.737912123651,7656.27,24.7105,6955.197484631416,3200.5778013785,8133.8,25.0611,7368.056358568911,3445.3516419884127,21695.709833234225,10168.667355490565,23960.501266762258,23960.920000000002,2.0,9,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
8303.91,25.7411,7479.877409408051,3606.4324793800183,7768.41,24.9019,7046.181324054514,3271.012484941838,8225.05,25.2409,7439.745945484336,3507.3676410022067,21965.8046789469,10384.812605324063,24296.932070558683,24297.37,2.0,10,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
