circuit_folder,substation,feeder,scenario,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
uhs0_1247_circuit_1_0,uhs0,circuit_1,0,6389,3210,1,1,1000.0
uhs0_1247_circuit_1_1,uhs0,circuit_1,1,6387,3208,31,15,1000.0
uhs0_1247_circuit_2_0,uhs0,circuit_2,0,7177,3614,1,1,1000.0
uhs0_1247_circuit_2_1,uhs0,circuit_2,1,7175,3612,43,21,1000.0
uhs0_1247_circuit_3_0,uhs0,circuit_3,0,1167,594,1,1,500.0
uhs0_1247_circuit_3_1,uhs0,circuit_3,1,1167,594,13,7,500.0
uhs10_1247_circuit_33_0,uhs10,circuit_33,0,4100,2080,1,1,1000.0
uhs10_1247_circuit_33_1,uhs10,circuit_33,1,4098,2078,39,19,1000.0
uhs10_1247_circuit_34_0,uhs10,circuit_34,0,4874,2458,1,1,1000.0
uhs10_1247_circuit_34_1,uhs10,circuit_34,1,4872,2456,32,16,1000.0
uhs10_1247_circuit_35_0,uhs10,circuit_35,0,2235,1160,1,1,1500.0
uhs10_1247_circuit_35_1,uhs10,circuit_35,1,2235,1160,48,23,1500.0
uhs11_1247_circuit_37_0,uhs11,circuit_37,0,4487,2268,1,1,1000.0
uhs11_1247_circuit_37_1,uhs11,circuit_37,1,4485,2266,35,17,1000.0
uhs11_1247_circuit_38_0,uhs11,circuit_38,0,6163,3096,1,1,1000.0
uhs11_1247_circuit_38_1,uhs11,circuit_38,1,6163,3096,30,15,1000.0
uhs12_1247_circuit_39_0,uhs12,circuit_39,0,7379,3694,1,1,1000.0
uhs12_1247_circuit_39_1,uhs12,circuit_39,1,7379,3694,23,11,1000.0
uhs12_1247_circuit_40_0,uhs12,circuit_40,0,3586,1820,1,1,300.0
uhs12_1247_circuit_40_1,uhs12,circuit_40,1,3586,1820,35,17,300.0
uhs12_1247_circuit_41_0,uhs12,circuit_41,0,1773,892,1,1,500.0
uhs12_1247_circuit_41_1,uhs12,circuit_41,1,1771,890,9,5,500.0
uhs12_1247_circuit_42_0,uhs12,circuit_42,0,5369,2708,1,1,300.0
uhs12_1247_circuit_42_1,uhs12,circuit_42,1,5369,2708,37,18,300.0
uhs13_1247_circuit_43_0,uhs13,circuit_43,0,2921,1516,1,1,1000.0
uhs13_1247_circuit_43_1,uhs13,circuit_43,1,2921,1516,62,31,1000.0
uhs13_1247_circuit_44_0,uhs13,circuit_44,0,3864,1938,1,1,1000.0
uhs13_1247_circuit_44_1,uhs13,circuit_44,1,3864,1938,16,8,1000.0
uhs14_1247_circuit_45_0,uhs14,circuit_45,0,2799,1460,1,1,500.0
uhs14_1247_circuit_45_1,uhs14,circuit_45,1,2797,1458,66,33,500.0
uhs14_1247_circuit_46_0,uhs14,circuit_46,0,5497,2766,1,1,1000.0
uhs14_1247_circuit_46_1,uhs14,circuit_46,1,5497,2766,31,15,1000.0
uhs14_1247_circuit_47_0,uhs14,circuit_47,0,3853,1938,1,1,1000.0
uhs14_1247_circuit_47_1,uhs14,circuit_47,1,3853,1938,21,10,1000.0
uhs15_1247_circuit_48_0,uhs15,circuit_48,0,7357,3730,1,1,1000.0
uhs15_1247_circuit_48_1,uhs15,circuit_48,1,7357,3730,69,34,1000.0
uhs15_1247_circuit_49_0,uhs15,circuit_49,0,1728,960,2,2,500.0
uhs15_1247_circuit_49_1,uhs15,circuit_49,1,1728,960,99,49,500.0
uhs16_1247_circuit_50_0,uhs16,circuit_50,0,4919,2492,1,1,1000.0
uhs16_1247_circuit_50_1,uhs16,circuit_50,1,4919,2492,45,22,1000.0
uhs16_1247_circuit_51_0,uhs16,circuit_51,0,6784,3400,1,1,1000.0
uhs16_1247_circuit_51_1,uhs16,circuit_51,1,6784,3400,25,12,1000.0
uhs17_1247_circuit_52_0,uhs17,circuit_52,0,8740,4384,1,1,500.0
uhs17_1247_circuit_52_1,uhs17,circuit_52,1,8738,4382,35,17,500.0
uhs17_1247_circuit_53_0,uhs17,circuit_53,0,3228,1652,1,1,1000.0
uhs17_1247_circuit_53_1,uhs17,circuit_53,1,3228,1652,45,22,1000.0
uhs18_1247_circuit_54_0,uhs18,circuit_54,0,7169,3648,2,2,1000.0
uhs18_1247_circuit_54_1,uhs18,circuit_54,1,7167,3646,80,39,1000.0
uhs18_1247_circuit_55_0,uhs18,circuit_55,0,2162,1112,1,1,1000.0
uhs18_1247_circuit_55_1,uhs18,circuit_55,1,2162,1112,36,18,1000.0
uhs18_1247_circuit_56_0,uhs18,circuit_56,0,4928,2542,2,2,1000.0
uhs18_1247_circuit_56_1,uhs18,circuit_56,1,4928,2542,90,44,1000.0
uhs19_1247_circuit_57_0,uhs19,circuit_57,0,28,16,1,1,300.0
uhs19_1247_circuit_57_1,uhs19,circuit_57,1,28,16,2,1,300.0
uhs19_1247_circuit_58_0,uhs19,circuit_58,0,2751,1434,1,1,1000.0
uhs19_1247_circuit_58_1,uhs19,circuit_58,1,2751,1434,64,32,1000.0
uhs1_1247_circuit_4_0,uhs1,circuit_4,0,4369,2190,1,1,300.0
uhs1_1247_circuit_4_1,uhs1,circuit_4,1,4369,2190,16,8,300.0
uhs1_1247_circuit_5_0,uhs1,circuit_5,0,8655,4344,1,1,300.0
uhs1_1247_circuit_5_1,uhs1,circuit_5,1,8655,4344,38,19,300.0
uhs20_1247_circuit_59_0,uhs20,circuit_59,0,3411,1722,1,1,1000.0
uhs20_1247_circuit_59_1,uhs20,circuit_59,1,3411,1722,25,12,1000.0
uhs20_1247_circuit_60_0,uhs20,circuit_60,0,4339,2166,1,1,300.0
uhs20_1247_circuit_60_1,uhs20,circuit_60,1,4339,2166,7,4,300.0
uhs20_1247_circuit_61_0,uhs20,circuit_61,0,1556,822,1,1,500.0
uhs20_1247_circuit_61_1,uhs20,circuit_61,1,1556,822,47,23,500.0
uhs2_1247_circuit_6_0,uhs2,circuit_6,0,2760,1378,1,1,300.0
uhs2_1247_circuit_6_1,uhs2,circuit_6,1,2760,1378,5,2,300.0
uhs2_1247_circuit_7_0,uhs2,circuit_7,0,4390,2216,1,1,1000.0
uhs2_1247_circuit_7_1,uhs2,circuit_7,1,4390,2216,31,15,1000.0
uhs2_1247_circuit_8_0,uhs2,circuit_8,0,3050,1518,1,1,100.0
uhs2_1247_circuit_8_1,uhs2,circuit_8,1,3050,1518,1,1,100.0
uhs3_1247_circuit_10_0,uhs3,circuit_10,0,1807,952,1,1,1000.0
uhs3_1247_circuit_10_1,uhs3,circuit_10,1,1807,952,53,26,1000.0
uhs3_1247_circuit_11_0,uhs3,circuit_11,0,1104,586,1,1,1000.0
uhs3_1247_circuit_9_0,uhs3,circuit_9,0,3173,1646,1,1,1000.0
uhs3_1247_circuit_9_1,uhs3,circuit_9,1,3173,1646,66,33,1000.0
uhs4_1247_circuit_14_0,uhs4,circuit_14,0,1947,1026,1,1,1000.0
uhs4_1247_circuit_14_1,uhs4,circuit_14,1,1947,1026,57,28,1000.0
uhs4_1247_circuit_15_0,uhs4,circuit_15,0,992,522,1,1,1000.0
uhs4_1247_circuit_15_1,uhs4,circuit_15,1,992,522,29,14,1000.0
uhs5_1247_circuit_16_0,uhs5,circuit_16,0,3161,1576,1,1,75.0
uhs5_1247_circuit_16_1,uhs5,circuit_16,1,3161,1576,3,2,75.0
