substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,winter,0.2,0.0,0.8,39,0,164,203,439,0,1182,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_2,2,winter,1.0,0.0,0.0,203,0,0,203,1621,0,0,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,winter,0.2,0.6,0.2,34,125,44,203,188,1098,335,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,winter,0.2,0.0,0.8,56,0,236,292,454,0,1371,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_2,2,winter,1.0,0.0,0.0,292,0,0,292,1825,0,0,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,winter,0.2,0.6,0.2,53,172,67,292,300,1273,252,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,winter,0.2,0.0,0.8,23,0,77,100,79,0,221,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_2,2,winter,1.0,0.0,0.0,100,0,0,100,300,0,0,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,winter,0.2,0.6,0.2,27,57,16,100,60,213,27,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,winter,0.2,0.0,0.8,51,0,220,271,121,0,929,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_2,2,winter,1.0,0.0,0.0,271,0,0,271,1050,0,0,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,winter,0.2,0.6,0.2,58,156,57,271,198,661,191,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,winter,0.2,0.0,0.8,51,0,185,236,193,0,1048,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_2,2,winter,1.0,0.0,0.0,236,0,0,236,1241,0,0,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,winter,0.2,0.6,0.2,53,143,40,236,511,626,104,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,winter,0.2,0.0,0.8,34,0,170,204,49,0,537,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_2,2,winter,1.0,0.0,0.0,204,0,0,204,586,0,0,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,winter,0.2,0.6,0.2,41,123,40,204,169,325,92,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,winter,0.2,0.0,0.8,35,0,164,199,168,0,977,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_2,2,winter,1.0,0.0,0.0,199,0,0,199,1145,0,0,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,winter,0.2,0.6,0.2,35,132,32,199,384,620,141,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,winter,0.2,0.0,0.8,54,0,194,248,349,0,1215,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_2,2,winter,1.0,0.0,0.0,248,0,0,248,1564,0,0,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,winter,0.2,0.6,0.2,57,141,50,248,191,1126,247,1564
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_0,0,winter,0.2,0.0,0.8,46,0,173,219,445,0,1421,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_2,2,winter,1.0,0.0,0.0,219,0,0,219,1866,0,0,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_1,1,winter,0.2,0.6,0.2,44,139,36,219,287,1463,116,1866
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_0,0,winter,0.2,0.0,0.8,45,0,184,229,128,0,791,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_2,2,winter,1.0,0.0,0.0,229,0,0,229,919,0,0,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_1,1,winter,0.2,0.6,0.2,42,136,51,229,281,460,178,919
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_0,0,winter,0.2,0.0,0.8,17,0,102,119,116,0,334,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_2,2,winter,1.0,0.0,0.0,119,0,0,119,450,0,0,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_1,1,winter,0.2,0.6,0.2,26,70,23,119,109,219,122,450
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_0,0,winter,0.2,0.0,0.8,44,0,144,188,116,0,1252,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_2,2,winter,1.0,0.0,0.0,188,0,0,188,1368,0,0,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_1,1,winter,0.2,0.6,0.2,38,106,44,188,436,768,164,1368
