hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 8105.73, 19.0758, 7750.69, 18.1537, 8079.87, 18.5527
0, 1800.00000, 7965.72, 19.2406, 7734, 18.504, 7947.17, 18.5496
0, 2700.00000, 7981.02, 19.2406, 7703.43, 18.4395, 7875.78, 18.6509
1, 0.00000, 8000.3, 18.8506, 7737.17, 17.9889, 7983.7, 18.5255
1, 900.00000, 8069.6, 19.0994, 7773.63, 18.2538, 8047.91, 18.7008
1, 1800.00000, 7771.26, 19.7652, 7315.07, 18.5059, 7695.44, 19.2862
1, 2700.00000, 8058.53, 23.9957, 7624.28, 23.1148, 8090.23, 23.8694
2, 0.00000, 8098.86, 24.5649, 7583.41, 23.7858, 8066.4, 24.1219
2, 900.00000, 8170.85, 25.5396, 7656.27, 24.7105, 8133.8, 25.0611
2, 1800.00000, 8303.91, 25.7411, 7768.41, 24.9019, 8225.05, 25.2409
2, 2700.00000, 8296.07, 25.9566, 7796.78, 25.0413, 8241.83, 25.3948
3, 0.00000, 8368.85, 25.9295, 7851.54, 25.1029, 8282.37, 25.47
3, 900.00000, 8436.52, 25.9832, 7908.26, 25.142, 8396.04, 25.5282
3, 1800.00000, 9027.43, 26.7564, 8251.48, 25.5783, 8797.17, 25.9483
3, 2700.00000, 9109.97, 26.8101, 8313.93, 25.5825, 8894.07, 26.0319
4, 0.00000, 9204.54, 26.8979, 8427.48, 25.6546, 9011.17, 26.0783
4, 900.00000, 9250.99, 26.7521, 8504.85, 25.5185, 9061.18, 26.212
4, 1800.00000, 9381.26, 27.0499, 8634.93, 25.8607, 9283.29, 26.6468
4, 2700.00000, 9364.78, 27.29, 8668.24, 26.1857, 9310.09, 26.8121
5, 0.00000, 9074.44, 24.2113, 8360.83, 22.7029, 8984.03, 23.4251
5, 900.00000, 8871.74, 21.5321, 8193.48, 19.7666, 8775.5, 20.481
5, 1800.00000, 9191.68, 21.3577, 8558.89, 19.6742, 9098.82, 20.3719
5, 2700.00000, 9307.23, 22.1488, 8652.27, 20.5232, 9169.71, 21.1062
6, 0.00000, 9861.41, 26.8841, 9149.56, 25.78, 9746.74, 26.4672
6, 900.00000, 11104.6, 26.4, 10121.6, 25.9735, 8310.23, 23.2452
6, 1800.00000, 10496.5, 25.9061, 9619.25, 25.4963, 7789.79, 22.8536
6, 2700.00000, 10827.3, 25.3535, 9866.18, 24.887, 8127.62, 22.3534
7, 0.00000, 10815.5, 25.0187, 9893.24, 24.6464, 8107.81, 21.8554
7, 900.00000, 10800.6, 24.9355, 9856.96, 24.3836, 8100.64, 21.5862
7, 1800.00000, 12625.9, 24.5894, 11459.2, 23.9598, 9397.97, 21.971
7, 2700.00000, 12415.4, 24.2775, 11495.2, 23.8421, 9372.78, 21.8784
8, 0.00000, 12540, 24.3686, 11492.5, 23.7956, 9478.32, 21.7953
8, 900.00000, 12886, 23.6754, 11692.9, 22.6423, 9848.92, 21.0207
8, 1800.00000, 13099.6, 25.1492, 11859.2, 24.2438, 10001.9, 22.4206
8, 2700.00000, 12834, 27.4505, 11671.2, 27.2521, 9714.18, 24.7399
9, 0.00000, 12331, 27.732, 11420.2, 27.582, 9490.09, 25.3048
9, 900.00000, 12266.6, 25.3501, 11232.7, 24.7896, 9410.54, 22.646
9, 1800.00000, 12502.9, 25.6578, 11267.7, 25.0102, 9474.41, 22.8118
9, 2700.00000, 12405.6, 25.5548, 11129.7, 24.7846, 9454.28, 22.6957
10, 0.00000, 12181.3, 25.0914, 10903.4, 24.2781, 9263.49, 22.2261
10, 900.00000, 11495, 23.736, 10557.7, 23.5595, 8890.2, 21.1821
10, 1800.00000, 11926.1, 24.294, 11109.9, 24.4146, 9056.78, 21.6614
10, 2700.00000, 11890.4, 25.0298, 10810.9, 24.4584, 8937.75, 22.1055
11, 0.00000, 11631.1, 24.9914, 10682.7, 24.425, 8781.83, 22.018
11, 900.00000, 11315.6, 24.7504, 10627.2, 24.7855, 8635.37, 22.2029
11, 1800.00000, 10697.7, 24.4171, 9997.83, 24.3851, 8158.14, 21.8438
11, 2700.00000, 10255.8, 23.8476, 9756.28, 23.9313, 7969.38, 21.5415
12, 0.00000, 10340.7, 24.0286, 9784.03, 23.9555, 8050.57, 21.6702
12, 900.00000, 10040.8, 23.6144, 9685.39, 23.7921, 7902.87, 21.544
12, 1800.00000, 9957.4, 23.8826, 9525.07, 24.0287, 7819.37, 21.7923
12, 2700.00000, 9880.15, 23.8102, 9403.74, 23.8547, 7767, 21.6285
13, 0.00000, 9528.43, 22.9314, 9171.16, 23.2181, 7550.76, 20.873
13, 900.00000, 9289.23, 22.6073, 8941.23, 22.8009, 7357.93, 20.5179
13, 1800.00000, 9229.04, 22.6514, 8849.55, 22.7892, 7272.03, 20.3843
13, 2700.00000, 8846.25, 22.4187, 8561.37, 22.6759, 7102.38, 20.3512
14, 0.00000, 8677.05, 22.4944, 8401.89, 22.5233, 6964.21, 20.3073
14, 900.00000, 8873.11, 22.7206, 8394.32, 22.4916, 7026.83, 20.438
14, 1800.00000, 8828.71, 22.7525, 8375.35, 22.7311, 7027.15, 20.7434
14, 2700.00000, 8732.49, 22.9597, 8371.1, 22.8623, 7003.05, 21.0601
15, 0.00000, 8656.11, 22.7101, 8317.16, 22.6772, 6937.65, 20.8798
15, 900.00000, 8702.22, 22.6305, 8386.76, 22.702, 6987.65, 20.7914
15, 1800.00000, 8905.92, 22.5417, 8561.35, 22.4684, 7139.4, 20.6114
15, 2700.00000, 9265.87, 23.0453, 8740.39, 22.8416, 7316.43, 20.883
16, 0.00000, 9393.82, 23.7932, 8953.92, 23.8424, 7400.22, 21.7832
16, 900.00000, 9537.5, 23.8557, 9119.9, 24.0135, 7500.41, 21.8638
16, 1800.00000, 9877.16, 23.637, 9332.19, 23.7464, 7708.16, 21.693
16, 2700.00000, 9857.74, 23.4735, 9375.5, 23.4671, 7730.78, 21.4397
17, 0.00000, 9950.23, 23.1514, 9552.11, 23.2921, 7915.44, 21.7863
17, 900.00000, 10296.9, 23.1739, 9817.08, 23.3662, 8127.1, 21.3932
17, 1800.00000, 10255.4, 21.6841, 9775.31, 21.962, 8049.78, 19.7399
17, 2700.00000, 10353.5, 20.0471, 9777.88, 20.0952, 8031.01, 17.985
18, 0.00000, 10299.2, 17.7997, 9707.91, 17.5652, 7926.85, 15.4716
18, 900.00000, 10437.4, 18.4727, 9863.74, 18.36, 8043.6, 16.3077
18, 1800.00000, 10574.8, 19.8381, 10108.5, 20.1586, 8189.93, 18.1118
18, 2700.00000, 11152, 20.5649, 10578.9, 20.9743, 8502.58, 18.5016
