hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.53, -5.78064E-005, 7415.53, -120, 7415.53, 120, 1460.1, -23.7496, 1212.83, -142.097, 1230.01, 97.3904
0, 1800.00000, 7415.52, -5.73673E-005, 7415.53, -120, 7415.53, 120, 1497.31, -24.4665, 1239.78, -142.861, 1261.94, 96.6211
0, 2700.00000, 7415.52, -5.67656E-005, 7415.53, -120, 7415.53, 120, 1487.06, -24.5451, 1219.53, -142.97, 1259.67, 96.6906
1, 0.00000, 7415.52, -5.67833E-005, 7415.53, -120, 7415.53, 120, 1489.19, -24.569, 1223.47, -142.817, 1255.19, 96.6302
1, 900.00000, 7415.52, -5.66567E-005, 7415.53, -120, 7415.53, 120, 1503.32, -24.8167, 1217.56, -143.277, 1273.18, 96.4514
1, 1800.00000, 7415.52, -5.45216E-005, 7415.53, -120, 7415.53, 120, 1465.78, -25.0907, 1188.54, -143.533, 1246.33, 96.2551
1, 2700.00000, 7415.52, -5.45059E-005, 7415.53, -120, 7415.53, 120, 1466.47, -25.1065, 1186.52, -143.662, 1247.46, 96.2097
2, 0.00000, 7415.52, -5.3473E-005, 7415.53, -120, 7415.53, 120, 1467.96, -25.5193, 1194.21, -144.128, 1254.56, 95.8393
2, 900.00000, 7415.53, -5.34191E-005, 7415.53, -120, 7415.53, 120, 1458.39, -25.4069, 1190.83, -143.809, 1245.9, 95.9852
2, 1800.00000, 7415.53, -5.31209E-005, 7415.53, -120, 7415.53, 120, 1455.98, -25.4871, 1195.85, -143.976, 1248.28, 95.8759
2, 2700.00000, 7415.52, -5.25256E-005, 7415.53, -120, 7415.53, 120, 1469.3, -25.896, 1202.9, -144.513, 1255.97, 95.4076
3, 0.00000, 7415.52, -5.2623E-005, 7415.53, -120, 7415.53, 120, 1476.87, -25.9611, 1198.78, -144.707, 1255.93, 95.2276
3, 900.00000, 7415.52, -5.26725E-005, 7415.53, -120, 7415.53, 120, 1483.67, -26.0333, 1200.21, -144.741, 1257.56, 95.1011
3, 1800.00000, 7415.52, -5.35724E-005, 7415.53, -120, 7415.53, 120, 1530.86, -26.314, 1249.79, -145.114, 1303.64, 94.8421
3, 2700.00000, 7415.52, -5.36248E-005, 7415.53, -120, 7415.53, 120, 1541.47, -26.4286, 1252.23, -145.143, 1306.78, 94.7672
4, 0.00000, 7415.52, -5.40059E-005, 7415.53, -120, 7415.53, 120, 1555.86, -26.4711, 1264.52, -145.138, 1317.02, 94.751
4, 900.00000, 7415.52, -5.44269E-005, 7415.53, -120, 7415.53, 120, 1577.23, -26.5837, 1279.43, -145.177, 1331.84, 94.6927
4, 1800.00000, 7415.52, -5.45752E-005, 7415.53, -120, 7415.53, 120, 1593.2, -26.7233, 1286.56, -145.3, 1345.63, 94.6297
4, 2700.00000, 7415.52, -5.49775E-005, 7415.53, -120, 7415.53, 120, 1609.59, -26.778, 1297.31, -145.501, 1358.26, 94.5313
5, 0.00000, 7415.52, -5.47494E-005, 7415.53, -120, 7415.53, 120, 1598.27, -26.7232, 1287.52, -145.493, 1345.37, 94.5995
5, 900.00000, 7415.52, -5.53731E-005, 7415.53, -120, 7415.53, 120, 1598.47, -26.51, 1289.39, -145.248, 1348.45, 94.8175
5, 1800.00000, 7415.52, -5.70128E-005, 7415.53, -120, 7415.53, 120, 1643.04, -26.4779, 1325.08, -145.129, 1380.19, 94.9041
5, 2700.00000, 7415.52, -5.7453E-005, 7415.53, -120, 7415.53, 120, 1664.44, -26.5785, 1338.41, -145.183, 1390.44, 94.8913
6, 0.00000, 7415.52, -5.92104E-005, 7415.53, -120, 7415.53, 120, 1682.76, -26.2086, 1352.66, -144.655, 1404.62, 95.3071
6, 900.00000, 7415.52, -6.50104E-005, 7415.52, -120, 7415.52, 120, 1822.26, -25.9379, 1486.46, -144.518, 1536.33, 95.6668
6, 1800.00000, 7415.52, -6.61767E-005, 7415.53, -120, 7415.52, 120, 1779.14, -25.0922, 1243.95, -141.929, 1510.57, 96.732
6, 2700.00000, 7415.52, -6.77909E-005, 7415.53, -120, 7415.52, 120, 1849.45, -25.394, 1318.13, -142.592, 1579.2, 96.4582
7, 0.00000, 7415.52, -6.68046E-005, 7415.53, -120, 7415.52, 120, 1841.54, -25.6044, 1318.97, -143.201, 1578.78, 96.2381
