hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0401414, -0.090788, 0.0404209, -0.118044, 0.0403681, 0.208477, 0, 0
0, 1800.00000, 0.0401674, -0.0837738, 0.0404065, -0.0910363, 0.0403565, 0.174531, 0, 0
0, 2700.00000, 0.0401634, -0.100211, 0.0404198, -0.0803199, 0.0403471, 0.18022, 0, 0
1, 0.00000, 0.04015, -0.0989222, 0.0404253, -0.0989764, 0.0403551, 0.197557, 0, 0
1, 900.00000, 0.040149, -0.126192, 0.0404413, -0.0758176, 0.0403401, 0.201605, 0, 0
1, 1800.00000, 0.0401634, -0.127054, 0.0404378, -0.0534338, 0.0403291, 0.180113, 0, 0
1, 2700.00000, 0.0401635, -0.141715, 0.040446, -0.0440095, 0.0403208, 0.185309, 0, 0
2, 0.00000, 0.0401626, -0.139732, 0.0404449, -0.0484575, 0.0403228, 0.187781, 0, 0
2, 900.00000, 0.0401566, -0.118147, 0.0404341, -0.0715292, 0.0403397, 0.189313, 0, 0
2, 1800.00000, 0.040154, -0.107467, 0.0404268, -0.0820752, 0.0403495, 0.189175, 0, 0
2, 2700.00000, 0.040155, -0.122746, 0.0404367, -0.0683605, 0.0403385, 0.190705, 0, 0
3, 0.00000, 0.0401471, -0.133236, 0.0404446, -0.0715233, 0.0403387, 0.204313, 0, 0
3, 900.00000, 0.0401481, -0.148629, 0.0404543, -0.0619218, 0.040328, 0.210074, 0, 0
3, 1800.00000, 0.0401428, -0.128789, 0.0404415, -0.0804369, 0.040346, 0.20876, 0, 0
3, 2700.00000, 0.0401358, -0.142706, 0.0404533, -0.0778032, 0.0403413, 0.21999, 0, 0
4, 0.00000, 0.0401326, -0.136735, 0.0404513, -0.0861975, 0.0403466, 0.222428, 0, 0
4, 900.00000, 0.0401262, -0.142628, 0.0404572, -0.0871615, 0.0403471, 0.229244, 0, 0
4, 1800.00000, 0.0401276, -0.148966, 0.0404622, -0.0789988, 0.0403407, 0.227394, 0, 0
4, 2700.00000, 0.0401298, -0.148138, 0.0404588, -0.0787269, 0.0403418, 0.226305, 0, 0
5, 0.00000, 0.0401244, -0.169969, 0.0404736, -0.0667882, 0.0403325, 0.23613, 0, 0
5, 900.00000, 0.0401226, -0.175412, 0.040477, -0.0667612, 0.0403309, 0.241509, 0, 0
5, 1800.00000, 0.0400974, -0.204786, 0.0405073, -0.0740797, 0.0403261, 0.278036, 0, 0
5, 2700.00000, 0.0400855, -0.213329, 0.0405167, -0.0793407, 0.0403286, 0.291753, 0, 0
6, 0.00000, 0.0400702, -0.213346, 0.040523, -0.0941854, 0.0403377, 0.306549, 0, 0
6, 900.00000, 0.0400824, -0.216003, 0.040519, -0.0758081, 0.0403293, 0.290762, 0, 0
6, 1800.00000, 0.0401609, -0.561802, 0.0407445, 0.281228, 0.0400276, 0.277414, 0, 0
6, 2700.00000, 0.0401512, -0.579211, 0.0407596, 0.281624, 0.0400222, 0.294249, 0, 0
7, 0.00000, 0.0401543, -0.568322, 0.0407501, 0.27314, 0.0400285, 0.292036, 0, 0
7, 900.00000, 0.0401809, -0.570056, 0.0407375, 0.300987, 0.0400147, 0.266003, 0, 0
7, 1800.00000, 0.0401317, -0.662231, 0.0408222, 0.319644, 0.0399801, 0.338355, 0, 0
7, 2700.00000, 0.0400997, -0.666074, 0.0408407, 0.291445, 0.0399937, 0.370205, 0, 0
8, 0.00000, 0.0400774, -0.669172, 0.0408494, 0.265107, 0.0400073, 0.399642, 0, 0
8, 900.00000, 0.0400559, -0.654569, 0.0408275, 0.226559, 0.0400506, 0.423693, 0, 0
8, 1800.00000, 0.0400502, -0.654039, 0.0408319, 0.22006, 0.0400519, 0.429652, 0, 0
8, 2700.00000, 0.0401238, -0.576025, 0.0407582, 0.246719, 0.0400511, 0.326016, 0, 0
9, 0.00000, 0.0401229, -0.549611, 0.0407387, 0.222851, 0.0400711, 0.32376, 0, 0
9, 900.00000, 0.0401137, -0.552147, 0.0407418, 0.215604, 0.0400773, 0.333458, 0, 0
9, 1800.00000, 0.0401227, -0.603914, 0.0407823, 0.263711, 0.0400284, 0.336653, 0, 0
9, 2700.00000, 0.0401334, -0.605588, 0.0407839, 0.282472, 0.0400161, 0.319466, 0, 0
10, 0.00000, 0.0401233, -0.608146, 0.0407878, 0.274222, 0.0400223, 0.330206, 0, 0
10, 900.00000, 0.0401384, -0.577991, 0.0407611, 0.268632, 0.0400336, 0.305982, 0, 0
10, 1800.00000, 0.0401375, -0.576161, 0.0407631, 0.267279, 0.0400324, 0.305509, 0, 0
10, 2700.00000, 0.0401311, -0.569224, 0.0407594, 0.252324, 0.0400425, 0.313637, 0, 0
11, 0.00000, 0.0401432, -0.559485, 0.0407484, 0.254961, 0.0400413, 0.301439, 0, 0
11, 900.00000, 0.0401666, -0.535541, 0.0407262, 0.262817, 0.0400399, 0.26991, 0, 0
11, 1800.00000, 0.0401723, -0.507976, 0.0407059, 0.249858, 0.0400542, 0.255546, 0, 0
11, 2700.00000, 0.0401978, -0.486468, 0.0406833, 0.263086, 0.0400511, 0.22101, 0, 0
12, 0.00000, 0.0402032, -0.473186, 0.0406738, 0.258762, 0.0400551, 0.21217, 0, 0
12, 900.00000, 0.040193, -0.472679, 0.0406772, 0.24812, 0.0400619, 0.222295, 0, 0
12, 1800.00000, 0.0402028, -0.477197, 0.0406778, 0.262783, 0.0400514, 0.212126, 0, 0
12, 2700.00000, 0.0401972, -0.460717, 0.0406669, 0.24033, 0.0400679, 0.218301, 0, 0
13, 0.00000, 0.04021, -0.448342, 0.0406536, 0.246974, 0.0400682, 0.199346, 0, 0
13, 900.00000, 0.0402191, -0.440721, 0.0406447, 0.251336, 0.040068, 0.187428, 0, 0
13, 1800.00000, 0.0402172, -0.428104, 0.0406377, 0.2392, 0.0400769, 0.187094, 0, 0
13, 2700.00000, 0.0402232, -0.413359, 0.0406252, 0.235999, 0.0400832, 0.17562, 0, 0
14, 0.00000, 0.0402269, -0.403574, 0.040616, 0.234092, 0.0400887, 0.167799, 0, 0
14, 900.00000, 0.0402284, -0.406596, 0.040618, 0.236264, 0.0400851, 0.168655, 0, 0
14, 1800.00000, 0.0402351, -0.403372, 0.040615, 0.240619, 0.0400814, 0.161095, 0, 0
14, 2700.00000, 0.0402282, -0.398322, 0.0406125, 0.228894, 0.0400907, 0.16781, 0, 0
15, 0.00000, 0.0402314, -0.410425, 0.0406202, 0.241914, 0.04008, 0.166792, 0, 0
15, 900.00000, 0.04023, -0.375021, 0.0405951, 0.215047, 0.0401062, 0.158503, 0, 0
15, 1800.00000, 0.0402172, -0.385077, 0.0406041, 0.20848, 0.04011, 0.175051, 0, 0
15, 2700.00000, 0.0402198, -0.375759, 0.0405989, 0.2034, 0.0401126, 0.170889, 0, 0
16, 0.00000, 0.0402161, -0.392328, 0.0406117, 0.211174, 0.0401036, 0.179571, 0, 0
16, 900.00000, 0.0402131, -0.388722, 0.0406078, 0.204294, 0.0401104, 0.182862, 0, 0
16, 1800.00000, 0.0402218, -0.426843, 0.0406263, 0.239992, 0.0400836, 0.185069, 0, 0
16, 2700.00000, 0.0402377, -0.479271, 0.0406547, 0.294908, 0.0400398, 0.182199, 0, 0
17, 0.00000, 0.0402208, -0.505822, 0.0406886, 0.305037, 0.040023, 0.198203, 0, 0
17, 900.00000, 0.0401897, -0.537024, 0.0407162, 0.291561, 0.0400268, 0.242618, 0, 0
17, 1800.00000, 0.0401896, -0.554375, 0.0407237, 0.305099, 0.0400195, 0.246257, 0, 0
17, 2700.00000, 0.0401985, -0.51926, 0.0406981, 0.291104, 0.0400359, 0.22544, 0, 0
18, 0.00000, 0.0401938, -0.515819, 0.0406963, 0.282023, 0.0400423, 0.231135, 0, 0
18, 900.00000, 0.0401921, -0.496451, 0.0406848, 0.273006, 0.0400554, 0.220845, 0, 0
18, 1800.00000, 0.0401921, -0.510858, 0.0406899, 0.283994, 0.0400504, 0.224131, 0, 0
18, 2700.00000, 0.0401972, -0.539443, 0.0407102, 0.310285, 0.0400254, 0.226158, 0, 0
19, 0.00000, 0.0402021, -0.501989, 0.0406836, 0.290028, 0.0400466, 0.209293, 0, 0
19, 900.00000, 0.0402135, -0.509699, 0.0406833, 0.305184, 0.0400357, 0.201857, 0, 0
19, 1800.00000, 0.0401964, -0.524473, 0.0406935, 0.295646, 0.0400427, 0.226045, 0, 0
19, 2700.00000, 0.0401983, -0.514907, 0.0406901, 0.296131, 0.0400441, 0.215971, 0, 0
20, 0.00000, 0.0401896, -0.516266, 0.0406921, 0.281934, 0.0400508, 0.2316, 0, 0
20, 900.00000, 0.0401873, -0.545628, 0.0407109, 0.29613, 0.0400346, 0.246572, 0, 0
20, 1800.00000, 0.0402009, -0.544489, 0.0407099, 0.316191, 0.040022, 0.225274, 0, 0
20, 2700.00000, 0.0401954, -0.518784, 0.0406967, 0.287246, 0.0400404, 0.228832, 0, 0
21, 0.00000, 0.0401914, -0.516442, 0.0406967, 0.279618, 0.0400444, 0.234157, 0, 0
21, 900.00000, 0.0401863, -0.516355, 0.0406999, 0.273683, 0.0400462, 0.239976, 0, 0
21, 1800.00000, 0.0401882, -0.497518, 0.0406907, 0.264208, 0.0400533, 0.230775, 0, 0
21, 2700.00000, 0.040196, -0.489202, 0.040678, 0.266849, 0.0400583, 0.219928, 0, 0
22, 0.00000, 0.040197, -0.500692, 0.0406894, 0.277891, 0.0400459, 0.220193, 0, 0
