Source_File,State,Matched_Buildings,Tolerance
com_12774.parquet,MT,"[184278, 184365]",25.0
com_12775.parquet,MT,"[184444, 184472, 184617, 184925]",20.0
com_12779.parquet,MT,"[184167, 184561, 184608, 184656, 184689, 184788]",20.0
com_12783.parquet,MT,[184934],15.0
com_12785.parquet,MT,"[184310, 184364, 184872, 184973]",30.0
com_12786.parquet,MT,"[184608, 184654, 184946, 185028]",20.0
com_12789.parquet,MT,"[184180, 184206, 184432, 184767]",50.0
com_12790.parquet,MT,"[184234, 184291]",15.0
com_12792.parquet,MT,"[184297, 184313, 184571]",25.0
com_12794.parquet,MT,[184596],30.0
com_12795.parquet,MT,"[184546, 184996]",25.0
com_12797.parquet,MT,[184896],30.0
com_12801.parquet,MT,"[184372, 184483]",25.0
com_12805.parquet,MT,"[184382, 184436, 184617, 184750, 184863, 184925, 184930, 185004]",25.0
com_12806.parquet,MT,[184766],15.0
com_12809.parquet,MT,"[184115, 184199]",25.0
com_12812.parquet,MT,[184181],10.0
com_12813.parquet,MT,"[184422, 184445, 184776]",30.0
com_12814.parquet,MT,"[184445, 184636, 184776]",35.0
com_12815.parquet,MT,"[184475, 184860]",30.0
com_12816.parquet,MT,"[184255, 184388, 184636, 184824, 184951, 184978]",30.0
com_12817.parquet,MT,"[184313, 184579, 184581, 184694, 184838, 184840, 184885]",25.0
com_12819.parquet,MT,[184221],20.0
com_12821.parquet,MT,"[184838, 184885]",20.0
com_12824.parquet,MT,"[184116, 184706, 184744]",20.0
com_12826.parquet,MT,"[184157, 184735]",30.0
com_12831.parquet,MT,[184258],10.0
com_12832.parquet,MT,[184537],10.0
com_12841.parquet,MT,"[184120, 184476, 184974]",35.0
com_12842.parquet,MT,"[184508, 184587]",15.0
com_12843.parquet,MT,"[184508, 184583, 184587]",15.0
com_12845.parquet,MT,"[184207, 184223]",20.0
com_12846.parquet,MT,"[184332, 184451, 184772]",45.0
com_12847.parquet,MT,"[184616, 184888]",15.0
com_12848.parquet,MT,"[184154, 184737]",20.0
com_12852.parquet,MT,"[184313, 184579, 184581, 184840]",25.0
com_12854.parquet,MT,"[184223, 184897]",40.0
com_12855.parquet,MT,[184539],25.0
com_12857.parquet,MT,"[184196, 184554, 184799, 184857, 184953]",20.0
com_12863.parquet,MT,"[184300, 184394]",20.0
com_12866.parquet,MT,[184128],15.0
com_12871.parquet,MT,"[184608, 184656]",20.0
com_12878.parquet,MT,"[184377, 184587]",35.0
com_12884.parquet,MT,"[184828, 184857]",20.0
com_12885.parquet,MT,"[184142, 184484, 184755, 184934]",20.0
com_12891.parquet,MT,[184267],15.0
com_12893.parquet,MT,"[184154, 184732, 184737, 184898]",20.0
com_12894.parquet,MT,"[184297, 184313]",20.0
com_12896.parquet,MT,"[184301, 184619, 185010]",30.0
com_12903.parquet,MT,"[184154, 184732]",15.0
com_12907.parquet,MT,"[184213, 184300, 184656]",20.0
