Source_File,State,Matched_Buildings,Tolerance
res_100.parquet,MT,"[66997, 144067, 185745, 208086, 275870, 278604]",15
res_1003.parquet,MT,"[87822, 202373, 241842, 297012, 315589, 338150, 358788, 400382, 401970, 475383]",10
res_1006.parquet,MT,"[154367, 326339, 341674]",50
res_1009.parquet,MT,[424723],45
res_101.parquet,MT,"[35354, 89355, 104836, 108731, 108930, 126858, 133911, 216068, 262962, 435745, 458883, 487211]",5
res_1012.parquet,MT,[424723],70
res_1013.parquet,MT,"[40240, 403956, 459725, 476793]",15
res_1014.parquet,MT,"[93871, 424723]",85
res_1015.parquet,MT,"[16610, 109092, 142544, 235082]",10
res_1019.parquet,MT,"[4953, 19356, 21716, 35515, 36708, 41728, 61828, 63604, 68202, 77673, 80129, 107144, 124863, 129560, 136303, 138494, 182480, 183427, 188202, 201877, 203519, 210280, 244015, 249167, 269841, 285884, 299007, 310544, 359999, 361320, 370278, 385265, 387143, 408127, 434908, 445571, 454967, 467217, 474523, 490150, 493524, 517613, 544168]",25
res_1020.parquet,MT,"[12002, 16356, 32107, 41077, 93514, 116394, 123404, 129171, 174711, 177757, 195946, 203519, 222349, 269841, 310544, 355424, 370072, 434908, 436719, 454507, 459725, 467217, 467499, 476793, 544168]",15
res_1023.parquet,MT,"[73931, 151271, 153454, 194222, 211030, 216907, 217886, 225795, 255145, 276587, 278296, 336356, 339121, 369981, 468648, 547866]",10
res_1032.parquet,MT,[457540],20
res_1034.parquet,MT,"[11666, 13151, 80129, 92999, 119035, 136424, 176595, 188202, 192296, 229622, 244015, 296733, 299007, 302120, 359999, 396510, 405347, 433796, 445571, 503397, 522631]",20
res_1036.parquet,MT,[402646],25
res_1037.parquet,MT,"[185745, 275870, 278604]",10
res_104.parquet,MT,"[283213, 314390]",10
res_1040.parquet,MT,"[58700, 295508, 445835]",20
res_1041.parquet,MT,"[59584, 504363]",20
res_1042.parquet,MT,"[9318, 26375, 136309, 279107]",15
res_1043.parquet,MT,"[52939, 65095, 96374, 114857, 157494, 188799, 199784, 245761, 254592, 277862, 360585, 435248, 452497, 493999, 512644]",15
res_105.parquet,MT,[424723],25
res_1052.parquet,MT,"[89631, 166040, 403942, 423877]",20
res_1054.parquet,MT,"[22022, 27882, 58786, 78267, 116343, 145700, 150255, 486410]",10
res_106.parquet,MT,"[3498, 116645, 304771, 449002, 475702]",20
res_1066.parquet,MT,"[58320, 59985, 68202, 119560, 182480, 200799, 223931, 227700, 245664, 286322, 327264, 329677, 362007, 395250, 416319, 433628]",10
res_1067.parquet,MT,[42104],10
res_1069.parquet,MT,[93871],25
res_1070.parquet,MT,"[3078, 42387, 46091, 63157, 69298, 78622, 81904, 109635, 112691, 127904, 128855, 144246, 248776, 273713, 300851, 343725, 344448, 369750, 369795, 389674, 407052, 421731, 437064]",15
res_1074.parquet,MT,[424723],10
res_1075.parquet,MT,"[225795, 276587, 438998]",10
res_1077.parquet,MT,[424723],25
res_1078.parquet,MT,[424723],25
res_1079.parquet,MT,"[31500, 34599, 37490, 44088, 59118, 62548, 66977, 73994, 92195, 111252, 111769, 130936, 140947, 142033, 143709, 208538, 212024, 216000, 217379, 242925, 267760, 277210, 280693, 283213, 314390, 315317, 327595, 327686, 331303, 331937, 399269, 416336, 421586, 427310, 451931, 453058, 454505, 455963, 477816, 490055, 524525, 546357]",20
res_1080.parquet,MT,[211030],10
res_1081.parquet,MT,"[19356, 182480, 359999, 370278]",15
res_1083.parquet,MT,"[224432, 311190]",5
res_1084.parquet,MT,"[153454, 278296, 339121]",15
res_1088.parquet,MT,[424723],45
