bldg_id,Occurrence_Count,Unique_Source_Files
66997,2,"['res_100.parquet', 'res_377.parquet']"
144067,2,"['res_332.parquet', 'res_100.parquet']"
185745,7,"['res_1258.parquet', 'res_825.parquet', 'res_523.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_100.parquet', 'res_520.parquet']"
208086,4,"['res_100.parquet', 'res_523.parquet', 'res_377.parquet', 'res_520.parquet']"
275870,2,"['res_100.parquet', 'res_1037.parquet']"
278604,6,"['res_1258.parquet', 'res_523.parquet', 'res_377.parquet', 'res_1037.parquet', 'res_100.parquet', 'res_520.parquet']"
87822,2,"['res_1003.parquet', 'res_119.parquet']"
202373,3,"['res_357.parquet', 'res_1003.parquet', 'res_46.parquet']"
241842,5,"['res_303.parquet', 'res_881.parquet', 'res_1003.parquet', 'res_742.parquet', 'res_119.parquet']"
297012,5,"['res_303.parquet', 'res_881.parquet', 'res_1003.parquet', 'res_742.parquet', 'res_119.parquet']"
315589,6,"['res_303.parquet', 'res_881.parquet', 'res_1003.parquet', 'res_1231.parquet', 'res_742.parquet', 'res_119.parquet']"
338150,3,"['res_357.parquet', 'res_1003.parquet', 'res_46.parquet']"
358788,3,"['res_357.parquet', 'res_1003.parquet', 'res_46.parquet']"
400382,4,"['res_1003.parquet', 'res_46.parquet', 'res_742.parquet', 'res_119.parquet']"
401970,6,"['res_303.parquet', 'res_881.parquet', 'res_1003.parquet', 'res_1231.parquet', 'res_742.parquet', 'res_119.parquet']"
475383,5,"['res_303.parquet', 'res_46.parquet', 'res_319.parquet', 'res_1003.parquet', 'res_357.parquet']"
154367,5,"['res_401.parquet', 'res_1006.parquet', 'res_560.parquet', 'res_798.parquet', 'res_257.parquet']"
326339,5,"['res_188.parquet', 'res_1006.parquet', 'res_1226.parquet', 'res_394.parquet', 'res_798.parquet']"
341674,5,"['res_188.parquet', 'res_1006.parquet', 'res_1226.parquet', 'res_394.parquet', 'res_798.parquet']"
