bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
301,0,2179,280058.0,150%+,,3,Cold,Not in a census Place,G3000950,,Single-Family Detached,2,Natural Gas,75F,Yes,3F,Night -1h,"AC, SEER 13",60% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,200000+,2,200%,91%,Occupied,Natural Gas Tankless,Natural Gas,10.93,0.0,56.0,0,0,0.0,634.7919379930333,0.0,0.0,0.0,10279.17471522052,0.0,0.0,0.0,0.0,25907.482603224445,0.0,6180.868869932167,33064.571207900284,0.0,0.0,0.0,0.0,43343.745923120805,5169.0,83775.0,15904.0,13.7756,13.9013,10.916,64.702,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
997,0,5587,129611.0,150%+,,3,Cold,Not in a census Place,G3000630,,Single-Family Detached,2,Fuel Oil,70F,No,0F,,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,120000-139999,5,200%,91%,Occupied,Electric Standard,Electricity,22.85,0.0,93.44,0,50,0.0,1386.226161914611,0.0,0.0,11446.769858786656,35178.49283705252,49508.4958841935,0.0,0.0,49508.4958841935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84686.98872124602,18018.0,139862.0,37767.0,15.334700000000002,16.771,29.294,61.677,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
1092,0,1228,110733.0,150%+,,5,Cold,In another census Place,G3000630,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,4,100%,91%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,64.71,0,50,0.0,808.8761536753333,0.0,0.0,0.0,5314.550786503078,0.0,0.0,0.0,0.0,28884.205462963702,0.0,7217.461245131316,37183.39202810069,0.0,0.0,0.0,0.0,42497.94281460377,0.0,81482.0,15257.0,3.7042,3.9633,0.0,48.117,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
1403,0,1228,74877.0,120-150%,,3,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,2,Propane,72F,Yes,3F,Night -4h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,70000-79999,2,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,35.35,0,50,0.0,634.2057958526889,0.0,0.0,2920.7462853363663,7276.661601306106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.7825483429777,20924.68826815632,0.0,0.0,20924.68826815632,28921.13241780541,0.0,59176.0,8952.0,8.662799999999999,9.2193,0.0,40.943,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
1853,0,2179,149501.0,150%+,,3,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,1,Electricity,78F,Yes,3F,Night +3h,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,140000-159999,3,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,71.33,0,50,50084.966679222256,0.0,0.0,0.0,4289.681254110817,58884.42556114323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.2309052676724,0.0,0.0,0.0,0.0,60071.6564664109,0.0,170886.0,13707.0,10.5753,23.388900000000003,0.0,71.334,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
2498,0,1228,64407.0,120-150%,,3,Cold,"MT, Great Falls",G3000130,,Single-Family Detached,1,Other Fuel,70F,Yes,3F,Night -3h,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,60000-69999,1,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,25.67,0,50,0.0,0.0,0.0,0.0,1473.5613408259333,7907.6436153869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.6318117293833,8587.275427116283,0.0,38838.0,4005.0,9.1819,11.1355,0.0,36.222,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
3760,0,2179,280058.0,150%+,,3,Cold,Not in a census Place,G3001110,,Single-Family Detached,2,Propane,72F,Yes,3F,Night -5h,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,200000+,2,50%,91%,Occupied,Electric Standard,Electricity,22.82,0.0,94.51,0,50,0.0,1498.4723817905724,0.0,0.0,1638.8534244030666,9906.388313961455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53053.19047792653,0.0,0.0,53703.80825370886,63610.19656767032,16969.0,149802.0,4551.0,9.6354,9.3466,22.571,89.837,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
4605,0,1228,74877.0,120-150%,,3,Cold,In another census Place,G3000290,,Single-Family Detached,1,Other Fuel,70F,Yes,3F,Night -2h,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,70000-79999,2,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,55.61,0,50,0.0,0.0,0.0,0.0,2976.722859739261,7962.447905509106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7962.447905509106,0.0,100704.0,9102.0,8.6607,11.2196,0.0,55.381,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
4953,0,5587,190811.0,150%+,,5,Cold,"MT, Missoula",G3000630,,Single-Family Detached,2,Other Fuel,70F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,180000-199999,10+,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,51.84,0,66,0.0,0.0,0.0,0.0,11526.192118803328,25925.94608064529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.9151049252328,27942.861185570524,0.0,74410.0,38089.0,11.14,12.3031,0.0,44.835,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
7486,0,1698,128932.0,150%+,,3,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,2,Natural Gas,72F,Yes,6F,Night,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,2,200%,91%,Occupied,Electric Standard,Electricity,17.94,0.0,60.81,0,50,0.0,749.0896553602,0.0,0.0,5632.53289763994,14331.175331421666,0.0,0.0,0.0,0.0,28490.904086792583,0.0,0.0,28490.904086792583,0.0,0.0,0.0,0.0,42822.07941821425,10311.0,92200.0,18135.0,13.5277,14.3659,17.266,61.243,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
