bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
107,0,322,13633.0,0-30%,,2,Cold,Not in a census Place,G3000810,,10 to 19 Unit,2,Electricity,60F,No,0F,,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,10000-14999,1,100%,105%,Occupied,Electric Standard,Electricity,0.0,0.0,7.25,0,30,1033.0755223570834,0.0,0.0,0.0,1700.1052780690611,5577.142465377389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5577.142465377389,0.0,3525.0,4733.0,7.2073,11.2252,0.0,7.246,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
1623,0,1228,47457.0,60-80%,,3,Cold,"MT, Bozeman",G3000310,,Single-Family Detached,1,Propane,72F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,45000-49999,4,100%,91%,Occupied,Electric Premium,Electricity,0.0,0.0,55.01,0,50,0.0,0.0,0.0,0.0,5141.052712961123,10874.988200880647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44993.14990605007,0.0,0.0,44993.14990605007,55868.13810693072,0.0,92108.0,16940.0,10.1534,11.7509,0.0,53.555,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
3078,0,854,64828.0,60-80%,,2,Cold,"MT, Billings",G3001110,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,Shared Heating,Ducted Heating,Natural Gas Shared Heating,,,,60000-69999,4,100%,96%,Occupied,Natural Gas Standard,Natural Gas,3.93,0.0,23.62,0,30,0.0,134.81269227922223,0.0,0.0,0.0,4930.920755647639,0.0,0.0,0.0,0.0,11780.284736642643,0.0,6077.7078532315445,17857.99258987419,0.0,0.0,0.0,0.0,22788.91334552183,5116.0,30610.0,12304.0,4.9171000000000005,5.0975,4.814,23.42,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
3209,0,2678,4849.0,0-30%,,3,Cold,In another census Place,G3000130,,Single-Family Detached,2,Natural Gas,70F,Yes,3F,Night -1h,"Room AC, EER 12.0",<10% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Natural Gas Fuel Wall/Floor Furnace,,,,<10000,1,100%,91%,Occupied,Natural Gas Standard,Natural Gas,1.57,0.0,49.47,0,40,0.0,0.0,0.0,0.0,0.0,7141.555837956711,0.0,0.0,0.0,0.0,25411.31328142287,0.0,3272.431569543033,28683.744850965908,0.0,0.0,0.0,0.0,35825.300688922616,2358.0,58909.0,4432.0,11.2321,11.6121,2.8,52.514,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
3498,0,1228,37492.0,60-80%,,3,Cold,"MT, Missoula",G3000630,,Single-Family Detached,1,Electricity,75F,Yes,3F,Night +5h,"AC, SEER 15",100% Conditioned,Central AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,35000-39999,2,100%,91%,Occupied,Electric Standard,Electricity,20.39,0.0,45.32,0,50,24209.135751576418,0.0,0.0,0.0,2709.442043742194,32162.205382840013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32162.205382840013,9791.0,82598.0,8225.0,7.3957,16.0353,19.096,43.175,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
3675,0,1228,54746.0,60-80%,,2,Cold,Not in a census Place,G3001110,,Mobile Home,1,Electricity,70F,No,0F,,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,50000-59999,3,100%,95%,Occupied,Electric Standard,Electricity,0.0,0.0,48.76,0,30,21334.69469532726,0.0,0.0,0.0,3605.6533763288494,29664.946793902505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29664.946793902505,0.0,72788.0,11295.0,9.2639,21.0469,0.0,48.76,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
3726,0,2179,32204.0,0-30%,,4,Cold,"MT, Missoula",G3000630,,Single-Family Detached,2,Propane,67F,No,0F,,,,,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Propane Fuel Boiler,,,,30000-34999,6,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,86.19,0,50,0.0,116.64228592854444,0.0,0.0,6851.415478486211,16398.20558934635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47128.46572332488,0.0,0.0,47128.46572332488,63526.67131267123,0.0,123764.0,22315.0,12.9436,14.3286,0.0,58.636,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
6067,0,322,18566.0,0-30%,,1,Cold,In another census Place,G3000090,,20 to 49 Unit,2,Electricity,68F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,15000-19999,2,200%,105%,Occupied,Electric Standard,Electricity,0.0,0.0,17.18,0,30,4674.483569246944,92.61045817442222,0.0,0.0,4175.3835367436495,12734.817212193571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.2412824107666,0.0,0.0,0.0,0.0,13672.05849460434,0.0,15375.0,13280.0,3.5925,7.359199999999999,0.0,15.393,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
8792,0,1138,16639.0,0-30%,,2,Cold,"MT, Billings",G3001110,,50 or more Unit,4,Electricity,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,15000-19999,1,100%,105%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,4.44,0,30,504.3753117663945,44.83987373635,0.0,0.0,0.0,3458.8247701725663,0.0,0.0,0.0,0.0,0.0,0.0,2701.2360537773725,3396.1075611557108,0.0,0.0,0.0,0.0,6854.932331328277,0.0,1882.0,4342.0,3.4378,6.102399999999999,0.0,9.348,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
9222,0,1678,55819.0,60-80%,,3,Cold,"MT, Billings",G3001110,,Single-Family Attached,3,Natural Gas,72F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,6,200%,79%,Occupied,Natural Gas Standard,Natural Gas,11.02,0.0,42.21,0,40,0.0,605.4848309758111,0.0,0.0,0.0,10316.98088327274,0.0,0.0,0.0,0.0,21449.2854837646,0.0,13491.819786448425,36292.162903706965,0.0,0.0,0.0,0.0,46609.14378697971,16050.999999999998,60598.0,31870.0,9.7039,9.8363,11.131,43.949,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
9275,0,634,22328.0,0-30%,,3,Cold,Not in a census Place,G3000130,,Mobile Home,1,Other Fuel,68F,Yes,12F,Night +5h,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,20000-24999,5,200%,95%,Occupied,Electric Premium,Electricity,0.0,0.0,43.01,0,50,0.0,0.0,0.0,0.0,11090.981579597576,19732.475154695723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19732.475154695723,0.0,45965.0,37174.0,13.9491,13.8945,0.0,45.049,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
9342,0,1698,31921.0,30-60%,,4,Cold,In another census Place,G3000650,,Single-Family Detached,2,Propane,70F,No,0F,,,,,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,30000-34999,2,100%,91%,Occupied,Propane Premium,Propane,0.0,0.0,80.79,0,40,0.0,0.0,0.0,0.0,0.0,5032.6164169974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51009.60590561562,0.0,3507.474567821156,54517.37354450695,59549.98996150435,0.0,118341.0,7413.0,4.6835,6.9933000000000005,0.0,72.154,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Low
