bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
9318,0,1228,0.0,Not Available,,3,Cold,"MT, Billings",G3001110,,Single-Family Detached,1,Natural Gas,55F,Yes,6F,Night,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,19.57,0.0,65.04,0,50,0.0,341.4277967506389,0.0,0.0,373.6656144695833,5238.645379328472,0.0,0.0,0.0,0.0,12090.060857814684,0.0,0.0,12090.060857814684,0.0,0.0,0.0,0.0,17328.706237143157,32784.0,34014.0,0.0,3.974,2.3041,20.645,48.147,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
12172,0,881,0.0,Not Available,,2,Cold,Not in a census Place,G3000530,,Single-Family Detached,2,Propane,55F,Yes,6F,Night +4h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Propane Fuel Furnace,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,11.42,0.0,21.06,0,30,0.0,97.00652422700556,0.0,0.0,366.63190878545,1783.3374619979722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4895.4591561568,0.0,0.0,4895.4591561568,6678.796618154773,3470.0,15735.0,0.0,1.6807,1.1806,7.577,17.504,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
20381,0,1698,0.0,Not Available,,3,Cold,Not in a census Place,G3000830,,Single-Family Detached,1,Propane,55F,Yes,6F,Night,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,Not Available,0,100%,91%,Vacant,Electric Standard,Electricity,13.64,0.0,29.06,0,50,0.0,0.0,0.0,0.0,428.1768335216167,3441.533577032405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14999.377371414334,0.0,0.0,14999.377371414334,18440.91094844674,9158.0,34614.0,0.0,3.1333,2.0776,13.805,28.865,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
25591,0,1698,0.0,Not Available,,3,Cold,"MT, Bozeman",G3000310,,Single-Family Detached,2,Natural Gas,55F,Yes,6F,Night -3h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,200%,91%,Vacant,Natural Gas Tankless,Natural Gas,26.13,0.0,119.87,0,0,0.0,631.8612272913111,0.0,0.0,0.0,2812.896131512989,0.0,0.0,0.0,0.0,25178.32178063596,0.0,0.0,25178.32178063596,0.0,0.0,0.0,0.0,27991.217912148943,11554.0,81198.0,0.0,2.9774000000000003,0.9448,26.282,97.039,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
26375,0,2179,0.0,Not Available,,4,Cold,In another census Place,G3000430,,Single-Family Detached,1,Other Fuel,55F,Yes,12F,Night -1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,Not Available,0,100%,91%,Vacant,Electric Standard,Electricity,24.29,0.0,35.92,0,50,0.0,0.0,0.0,0.0,407.66185860956114,3234.332330420644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3234.332330420644,9255.0,23425.0,0.0,4.3975,2.0764,22.934,35.478,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
39446,0,1698,0.0,Not Available,,3,Cold,"MT, Bozeman",G3000310,,Single-Family Detached,2,Propane,55F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,18.36,0.0,98.91,0,50,0.0,813.8583618682611,0.0,0.0,358.7189898908,2758.677983531128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28109.61862449852,0.0,0.0,28109.61862449852,30868.29660802965,8576.0,79502.0,0.0,3.1688,2.3857,18.499,74.744,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
47761,0,634,0.0,Not Available,,2,Cold,Not in a census Place,G3000990,,Single-Family Detached,1,Natural Gas,55F,Yes,3F,Night +2h,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,100%,91%,Vacant,Electric Standard,Electricity,5.81,0.0,64.13,0,30,0.0,382.45774657475,0.0,0.0,368.9764773468277,1782.7513198576278,0.0,0.0,0.0,0.0,13512.334761360478,0.0,0.0,13512.334761360478,0.0,0.0,0.0,0.0,15295.086081218104,2986.0,38148.0,0.0,1.6165999999999998,1.4484,5.872,44.107,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
59584,0,2179,0.0,Not Available,,3,Cold,Not in a census Place,G3000890,,Single-Family Detached,1,Natural Gas,55F,Yes,12F,Night +2h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,50%,91%,Vacant,Electric Tankless,Electricity,22.19,0.0,93.41,0,0,0.0,586.1421403444444,0.0,0.0,0.0,3938.5821120444944,0.0,0.0,0.0,0.0,21044.554335856763,0.0,0.0,21044.554335856763,0.0,0.0,0.0,0.0,24983.13644790125,22096.0,58585.0,0.0,2.3393,1.1029,23.394,90.466,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
96946,0,2179,0.0,Not Available,,5,Cold,"MT, Bozeman",G3000310,,Single-Family Detached,1,Electricity,55F,Yes,3F,Night -3h,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,0.0,0.0,80.97,0,66,16813.780366850562,0.0,0.0,0.0,390.3706654694,17980.203226136004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17980.203226136004,0.0,57367.0,0.0,2.1937,19.9517,0.0,67.86,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
113262,0,881,0.0,Not Available,,3,Cold,In another census Place,G3000470,,Mobile Home,1,Natural Gas,55F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,100%,95%,Vacant,Natural Gas Premium,Natural Gas,1.92,0.0,21.98,0,40,0.0,144.48403759490554,0.0,0.0,0.0,1668.746673560633,0.0,0.0,0.0,0.0,5155.706266469733,0.0,919.9500892706056,6075.65635574034,0.0,0.0,0.0,0.0,7744.403029300973,603.0,14564.0,0.0,0.3958,0.2462,1.445,11.002,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
