Month,Monthly_Average,Monthly_Peak,Monthly_Valley,Monthly_75th_Percentile,Monthly_25th_Percentile,Source_File,Type
1,18.952812,39.38475,3.609038,25.007956504821777,13.951249837875366,com_12774.parquet,com
2,14.553057,34.026394,3.609038,18.686768054962158,8.953024625778198,com_12774.parquet,com
3,15.456347,31.510878,3.609038,20.997855186462402,10.304628610610962,com_12774.parquet,com
4,12.66305,27.868118,3.609038,15.47847843170166,7.985810279846191,com_12774.parquet,com
5,12.987869,20.907764,3.609038,16.404259204864502,9.468803644180298,com_12774.parquet,com
6,14.084237,20.515331,3.609038,17.682502269744873,10.565788507461548,com_12774.parquet,com
7,14.146763,20.383205,3.8957386,17.692984580993652,10.758878707885742,com_12774.parquet,com
8,14.085934,20.225544,3.7469845,17.660794734954834,10.42683219909668,com_12774.parquet,com
9,13.388208,19.94085,3.609038,16.99324941635132,9.534067153930664,com_12774.parquet,com
10,12.720062,26.125648,3.609038,16.027034282684326,8.03285527229309,com_12774.parquet,com
11,15.068264,32.60512,3.609038,19.869214057922363,10.30371379852295,com_12774.parquet,com
12,16.319172,32.8086,3.609038,20.99579095840454,12.582381010055542,com_12774.parquet,com
1,9.3769,18.162136,2.7171097,14.828625917434692,4.883625507354736,com_12775.parquet,com
2,9.151268,21.708017,2.162344,14.716921329498291,4.638338565826416,com_12775.parquet,com
3,8.930127,20.17849,1.7925001,14.724797487258911,4.5260597467422485,com_12775.parquet,com
4,9.291895,21.895565,1.7925001,14.96023440361023,4.685425758361816,com_12775.parquet,com
5,12.869809,28.71411,1.7925001,19.639742851257324,7.520153522491455,com_12775.parquet,com
6,15.3319435,32.159233,1.7925001,21.608128547668457,9.765815734863281,com_12775.parquet,com
7,15.966871,32.861134,1.7925001,22.693148612976074,10.266077041625977,com_12775.parquet,com
8,15.898805,31.629969,1.7925001,22.913772583007812,10.23860764503479,com_12775.parquet,com
9,13.704366,30.3552,1.7925001,19.697335720062256,8.513729572296143,com_12775.parquet,com
10,10.747668,28.424694,1.9157814,15.916173934936523,4.8466877937316895,com_12775.parquet,com
11,9.16353,19.672237,1.977422,14.717089653015137,4.604885578155518,com_12775.parquet,com
12,8.921093,16.859848,2.3472657,14.566380262374878,4.548681259155273,com_12775.parquet,com
1,22.416328,39.746418,5.4933763,34.01797103881836,11.873371124267578,com_12779.parquet,com
2,22.191269,47.24994,5.681097,34.060970306396484,11.321680068969727,com_12779.parquet,com
3,21.592169,45.489807,4.0950003,33.885114669799805,11.152082443237305,com_12779.parquet,com
4,22.93684,47.391712,4.0950003,35.19862937927246,12.111867189407349,com_12779.parquet,com
5,30.54375,57.258617,4.0950003,44.39728355407715,19.353384017944336,com_12779.parquet,com
6,33.643177,62.900726,4.0950003,47.382965087890625,22.624418258666992,com_12779.parquet,com
7,34.768814,62.821228,4.0950003,48.94076156616211,23.4238338470459,com_12779.parquet,com
8,34.901573,60.79131,4.0950003,49.441853523254395,23.338655471801758,com_12779.parquet,com
9,31.462748,59.09665,4.0950003,45.79947471618652,20.56717586517334,com_12779.parquet,com
10,26.34786,57.075455,4.0950003,38.15668296813965,14.018894672393799,com_12779.parquet,com
11,22.256937,43.264,4.3607817,34.06218338012695,11.462516784667969,com_12779.parquet,com
12,21.296066,39.60859,5.5454125,33.726935386657715,11.050954341888428,com_12779.parquet,com
1,49.529243,87.23647,14.949584,78.54911422729492,27.268821716308594,com_12783.parquet,com
2,47.4671,86.59073,12.155607,76.03276824951172,24.927663803100586,com_12783.parquet,com
3,47.10413,86.98854,10.318622,75.87996864318848,25.26168966293335,com_12783.parquet,com
4,45.889866,86.83726,10.318622,72.55504417419434,23.866235733032227,com_12783.parquet,com
5,46.929348,87.184105,10.312501,76.37771797180176,23.934869289398193,com_12783.parquet,com
6,46.48148,87.46363,10.312501,73.17981719970703,24.2800612449646,com_12783.parquet,com
7,47.004772,87.53553,10.3264885,73.30059814453125,24.946289539337158,com_12783.parquet,com
8,47.618164,87.4566,10.312501,76.36916160583496,24.857802867889404,com_12783.parquet,com
9,46.055256,87.45865,10.312501,72.61284446716309,24.241622924804688,com_12783.parquet,com
10,47.67002,87.30062,11.3946,77.98384094238281,24.146965980529785,com_12783.parquet,com
11,48.295536,87.84391,12.66621,77.18238067626953,25.59043598175049,com_12783.parquet,com
12,47.41317,86.74759,15.051862,73.1575927734375,25.398369789123535,com_12783.parquet,com
1,73.82877,156.65059,22.49326,94.99639892578125,42.92605018615723,com_12785.parquet,com
2,61.606445,105.38997,22.49326,85.80110359191895,37.420223236083984,com_12785.parquet,com
3,61.47531,115.95123,22.49326,87.06980323791504,38.53449630737305,com_12785.parquet,com
4,60.154324,100.035194,22.49326,88.16449546813965,38.75020503997803,com_12785.parquet,com
5,65.11942,100.56255,22.49326,92.43152236938477,43.15915107727051,com_12785.parquet,com
6,66.73897,106.037895,25.943459,95.00325775146484,45.99982833862305,com_12785.parquet,com
7,68.97602,111.65278,22.534803,97.142822265625,47.35036849975586,com_12785.parquet,com
8,72.932556,113.65296,25.028036,101.05501556396484,49.150577545166016,com_12785.parquet,com
9,65.13478,109.53462,22.49326,94.00684547424316,43.17241954803467,com_12785.parquet,com
10,63.952927,106.44159,22.49326,90.64692115783691,39.94606876373291,com_12785.parquet,com
11,62.591557,116.04342,22.49326,86.98594665527344,37.907063484191895,com_12785.parquet,com
12,61.63834,116.43385,22.49326,86.01705551147461,37.4140510559082,com_12785.parquet,com
1,19.91575,37.614952,6.0005407,31.699572563171387,11.579499006271362,com_12786.parquet,com
2,19.531635,44.45233,5.274096,31.308122634887695,11.154667854309082,com_12786.parquet,com
3,18.992817,41.393055,4.1825004,31.308122634887695,11.101492881774902,com_12786.parquet,com
4,19.959053,44.428116,4.1825004,31.701014041900635,11.461410760879517,com_12786.parquet,com
5,26.255356,57.436916,4.1825004,39.57096481323242,16.732656478881836,com_12786.parquet,com
6,30.821552,64.13326,4.1825004,43.31673336029053,19.88916778564453,com_12786.parquet,com
7,32.23607,65.7853,4.3263283,45.461565017700195,21.548059463500977,com_12786.parquet,com
8,31.960035,62.541668,4.1825004,46.048133850097656,20.69478988647461,com_12786.parquet,com
9,28.093685,60.556915,4.1825004,40.05319881439209,16.713319778442383,com_12786.parquet,com
10,22.698116,57.42731,4.757813,33.574424743652344,11.67768120765686,com_12786.parquet,com
11,19.568583,39.9765,5.392644,31.65265464782715,11.25701379776001,com_12786.parquet,com
12,19.091148,35.888603,6.0812607,30.78783655166626,11.101492881774902,com_12786.parquet,com
1,12.365736,44.299244,1.843985,15.398899793624878,7.94572389125824,com_12789.parquet,com
2,8.451237,23.66134,1.843985,10.228042840957642,6.338866710662842,com_12789.parquet,com
3,9.061265,22.251852,1.8457973,11.137904405593872,7.041095018386841,com_12789.parquet,com
4,7.2689776,17.844439,1.843985,8.807272672653198,5.898374080657959,com_12789.parquet,com
5,8.593545,15.372637,1.8956666,11.09162449836731,6.203858375549316,com_12789.parquet,com
6,10.79991,17.52204,1.932543,13.551454782485962,8.178183555603027,com_12789.parquet,com
7,10.98197,18.048292,2.3795528,13.697634220123291,8.324921131134033,com_12789.parquet,com
8,10.965662,17.243797,2.5074909,13.599169492721558,8.250823974609375,com_12789.parquet,com
9,9.54933,16.868986,1.843985,12.464097023010254,6.708082675933838,com_12789.parquet,com
10,7.822091,15.669683,1.8440138,9.871314287185669,6.123287200927734,com_12789.parquet,com
11,8.829276,23.86573,1.844037,10.809606552124023,6.811439514160156,com_12789.parquet,com
12,9.553064,28.095766,1.843985,11.413416147232056,7.477338790893555,com_12789.parquet,com
1,62.11763,102.59501,18.490305,88.7947769165039,25.581462860107422,com_12790.parquet,com
2,61.973476,117.52946,11.84659,88.82629776000977,24.056821823120117,com_12790.parquet,com
3,61.208298,106.434746,11.799334,88.79507064819336,24.148197174072266,com_12790.parquet,com
4,61.667862,119.56458,10.036234,89.18301773071289,23.902143955230713,com_12790.parquet,com
5,77.08673,138.11182,7.7369113,108.22104263305664,37.648558616638184,com_12790.parquet,com
6,93.73512,151.65237,16.208475,125.96889114379883,55.919161796569824,com_12790.parquet,com
7,96.1413,154.49971,12.5516,128.70000076293945,59.620845794677734,com_12790.parquet,com
8,97.527824,151.25865,23.170715,129.91768264770508,59.884185791015625,com_12790.parquet,com
9,86.829544,147.51973,9.163507,121.69473266601562,51.30269241333008,com_12790.parquet,com
10,69.18809,138.06096,11.018201,96.34402465820312,32.208170890808105,com_12790.parquet,com
11,61.858204,108.756546,16.049395,88.94818496704102,24.02350664138794,com_12790.parquet,com
12,61.229515,102.5652,15.839011,88.76076316833496,23.88074016571045,com_12790.parquet,com
1,4.3128886,7.8179007,0.7293204,6.4941301345825195,2.648376941680908,com_12792.parquet,com
2,4.197004,9.61617,0.7041949,6.445640563964844,2.36301851272583,com_12792.parquet,com
3,4.0887413,8.77829,0.7020001,6.438072085380554,2.295088768005371,com_12792.parquet,com
4,4.29141,9.571549,0.7020001,6.511369109153748,2.3871676921844482,com_12792.parquet,com
5,6.2031116,12.06468,0.7020001,8.707891702651978,4.261260032653809,com_12792.parquet,com
6,7.102236,13.352838,0.7020001,9.43044662475586,5.195392370223999,com_12792.parquet,com
7,7.34777,13.668978,0.7475626,9.775131225585938,5.376221656799316,com_12792.parquet,com
8,7.249049,12.964039,0.7020001,9.834290027618408,5.251213431358337,com_12792.parquet,com
9,6.484822,12.619043,0.7020001,8.837994575500488,4.522617220878601,com_12792.parquet,com
10,5.134835,12.266255,0.7020001,7.2897340059280396,2.605394184589386,com_12792.parquet,com
11,4.201016,8.275999,0.7020001,6.406736850738525,2.3900586366653442,com_12792.parquet,com
12,4.120139,7.678844,0.8159063,6.36135721206665,2.38698673248291,com_12792.parquet,com
1,3.8780377,9.199956,0.24294002,4.908951997756958,2.986315369606018,com_12794.parquet,com
