bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
107,0,322,13633.0,0-30%,,2,Cold,Not in a census Place,G3000810,,10 to 19 Unit,2,Electricity,60F,No,0F,,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,10000-14999,1,100%,105%,Occupied,Electric Standard,Electricity,0.0,0.0,7.25,0,30,1033.0755223570834,0.0,0.0,0.0,1700.1052780690611,5577.142465377389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5577.142465377389,0.0,3525.0,4733.0,7.2073,11.2252,0.0,7.246,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
301,0,2179,280058.0,150%+,,3,Cold,Not in a census Place,G3000950,,Single-Family Detached,2,Natural Gas,75F,Yes,3F,Night -1h,"AC, SEER 13",60% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,200000+,2,200%,91%,Occupied,Natural Gas Tankless,Natural Gas,10.93,0.0,56.0,0,0,0.0,634.7919379930333,0.0,0.0,0.0,10279.17471522052,0.0,0.0,0.0,0.0,25907.482603224445,0.0,6180.868869932167,33064.571207900284,0.0,0.0,0.0,0.0,43343.745923120805,5169.0,83775.0,15904.0,13.7756,13.9013,10.916,64.702,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
997,0,5587,129611.0,150%+,,3,Cold,Not in a census Place,G3000630,,Single-Family Detached,2,Fuel Oil,70F,No,0F,,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,120000-139999,5,200%,91%,Occupied,Electric Standard,Electricity,22.85,0.0,93.44,0,50,0.0,1386.226161914611,0.0,0.0,11446.769858786656,35178.49283705252,49508.4958841935,0.0,0.0,49508.4958841935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84686.98872124602,18018.0,139862.0,37767.0,15.334700000000002,16.771,29.294,61.677,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
1092,0,1228,110733.0,150%+,,5,Cold,In another census Place,G3000630,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,4,100%,91%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,64.71,0,50,0.0,808.8761536753333,0.0,0.0,0.0,5314.550786503078,0.0,0.0,0.0,0.0,28884.205462963702,0.0,7217.461245131316,37183.39202810069,0.0,0.0,0.0,0.0,42497.94281460377,0.0,81482.0,15257.0,3.7042,3.9633,0.0,48.117,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
1403,0,1228,74877.0,120-150%,,3,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,2,Propane,72F,Yes,3F,Night -4h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,70000-79999,2,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,35.35,0,50,0.0,634.2057958526889,0.0,0.0,2920.7462853363663,7276.661601306106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.7825483429777,20924.68826815632,0.0,0.0,20924.68826815632,28921.13241780541,0.0,59176.0,8952.0,8.662799999999999,9.2193,0.0,40.943,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
1623,0,1228,47457.0,60-80%,,3,Cold,"MT, Bozeman",G3000310,,Single-Family Detached,1,Propane,72F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,45000-49999,4,100%,91%,Occupied,Electric Premium,Electricity,0.0,0.0,55.01,0,50,0.0,0.0,0.0,0.0,5141.052712961123,10874.988200880647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44993.14990605007,0.0,0.0,44993.14990605007,55868.13810693072,0.0,92108.0,16940.0,10.1534,11.7509,0.0,53.555,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
1853,0,2179,149501.0,150%+,,3,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,1,Electricity,78F,Yes,3F,Night +3h,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,140000-159999,3,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,71.33,0,50,50084.966679222256,0.0,0.0,0.0,4289.681254110817,58884.42556114323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.2309052676724,0.0,0.0,0.0,0.0,60071.6564664109,0.0,170886.0,13707.0,10.5753,23.388900000000003,0.0,71.334,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
2498,0,1228,64407.0,120-150%,,3,Cold,"MT, Great Falls",G3000130,,Single-Family Detached,1,Other Fuel,70F,Yes,3F,Night -3h,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,60000-69999,1,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,25.67,0,50,0.0,0.0,0.0,0.0,1473.5613408259333,7907.6436153869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.6318117293833,8587.275427116283,0.0,38838.0,4005.0,9.1819,11.1355,0.0,36.222,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
2684,0,1228,54023.0,100-120%,,3,Cold,In another census Place,G3000890,,Mobile Home,1,Propane,75F,Yes,12F,Night -4h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,50000-59999,1,100%,95%,Occupied,Electric Premium,Electricity,10.71,0.0,32.73,0,50,0.0,622.1898819756278,0.0,0.0,1372.4518216165166,5924.431683531472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22338.17003959695,0.0,0.0,23018.094922396504,28942.52660592797,3814.0,62669.0,4064.0,5.9718,5.7414,10.806,34.137,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
3078,0,854,64828.0,60-80%,,2,Cold,"MT, Billings",G3001110,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,Shared Heating,Ducted Heating,Natural Gas Shared Heating,,,,60000-69999,4,100%,96%,Occupied,Natural Gas Standard,Natural Gas,3.93,0.0,23.62,0,30,0.0,134.81269227922223,0.0,0.0,0.0,4930.920755647639,0.0,0.0,0.0,0.0,11780.284736642643,0.0,6077.7078532315445,17857.99258987419,0.0,0.0,0.0,0.0,22788.91334552183,5116.0,30610.0,12304.0,4.9171000000000005,5.0975,4.814,23.42,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
