bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group,Chosen_Parquet
472451,0,881,63747.0,80-100%,,2,Cold,In another census Place,G3000310,,Mobile Home,1,Natural Gas,75F,Yes,6F,Night -3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,2,50%,95%,Occupied,Natural Gas Premium,Natural Gas,16.91,0.0,59.73,0,30,0.0,1137.9949654787388,0.0,0.0,0.0,5111.7456059439,0.0,0.0,0.0,0.0,41376.94597119502,0.0,2617.710798778289,43994.36369890314,0.0,0.0,0.0,0.0,49106.10930484704,10864.0,110956.0,5000.0,9.8971,10.0658,16.972,63.724,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_929.parquet
386807,0,1228,55104.0,80-100%,,4,Cold,"MT, Missoula",G3000630,,Mobile Home,1,Propane,70F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,50000-59999,2,100%,95%,Occupied,Electric Standard,Electricity,5.11,0.0,41.97,0,50,0.0,732.9707465007277,0.0,0.0,2913.712579652233,8468.874714766705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26175.9357035022,0.0,0.0,26175.9357035022,34644.810418268906,3856.0,73948.0,8852.0,11.0997,12.0534,8.36,42.237,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_967.parquet
386807,0,1228,55104.0,80-100%,,4,Cold,"MT, Missoula",G3000630,,Mobile Home,1,Propane,70F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,50000-59999,2,100%,95%,Occupied,Electric Standard,Electricity,5.11,0.0,41.97,0,50,0.0,732.9707465007277,0.0,0.0,2913.712579652233,8468.874714766705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26175.9357035022,0.0,0.0,26175.9357035022,34644.810418268906,3856.0,73948.0,8852.0,11.0997,12.0534,8.36,42.237,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_1103.parquet
16610,0,1698,89642.0,100-120%,,3,Cold,Not in a census Place,G3001110,,Mobile Home,1,Propane,70F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,80000-99999,4,100%,95%,Occupied,Electric Premium,Electricity,31.35,0.0,56.8,0,50,0.0,745.2797314479611,0.0,0.0,4454.680266617777,15347.838873849105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32513.01145383616,0.0,0.0,32513.01145383616,47860.850327685264,34920.0,91283.0,14557.0,12.4932,10.657,30.862,57.602,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_1015.parquet
114857,0,1698,55104.0,100-120%,,3,Cold,"MT, Great Falls",G3000130,,Mobile Home,1,Propane,68F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,50000-59999,2,200%,95%,Occupied,Electric Standard,Electricity,12.97,0.0,68.29,0,50,0.0,1058.5727054620668,0.0,0.0,5038.770909471017,13044.007191225268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.8609361231113,37405.24682822107,0.0,0.0,37405.24682822107,52020.11495556945,4547.0,105705.0,16109.000000000002,9.2988,10.417,13.217,71.543,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_1043.parquet
343012,0,1138,55104.0,80-100%,,2,Cold,"MT, Missoula",G3000630,,3 or 4 Unit,2,Natural Gas,75F,No,0F,,Shared Cooling,100% Conditioned,Central AC,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Natural Gas Fuel Boiler,,,,50000-59999,2,100%,96%,Occupied,Electric Standard,Electricity,9.51,0.0,15.63,0,30,0.0,88.21439212183888,0.0,0.0,2459.1593498151165,8310.909407943878,0.0,0.0,0.0,0.0,6456.355675894056,0.0,0.0,6456.355675894056,0.0,0.0,0.0,0.0,14767.265083837934,14124.0,17123.0,7275.0,8.5153,8.5334,10.189,27.71,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_1142.parquet
343012,0,1138,55104.0,80-100%,,2,Cold,"MT, Missoula",G3000630,,3 or 4 Unit,2,Natural Gas,75F,No,0F,,Shared Cooling,100% Conditioned,Central AC,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Natural Gas Fuel Boiler,,,,50000-59999,2,100%,96%,Occupied,Electric Standard,Electricity,9.51,0.0,15.63,0,30,0.0,88.21439212183888,0.0,0.0,2459.1593498151165,8310.909407943878,0.0,0.0,0.0,0.0,6456.355675894056,0.0,0.0,6456.355675894056,0.0,0.0,0.0,0.0,14767.265083837934,14124.0,17123.0,7275.0,8.5153,8.5334,10.189,27.71,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_491.parquet
492040,0,623,42184.0,80-100%,,1,Cold,Not in a census Place,G3000630,,3 or 4 Unit,2,Natural Gas,68F,Yes,6F,Night +5h,Shared Cooling,100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,40000-44999,1,200%,96%,Occupied,Natural Gas Standard,Natural Gas,8.75,0.0,9.24,0,30,0.0,49.52901085910556,0.0,0.0,0.0,5605.863430254267,0.0,0.0,0.0,0.0,2032.447871644361,0.0,5003.60238105035,7036.050252694711,0.0,0.0,0.0,0.0,12641.913682948978,8750.0,6551.0,9255.0,10.9459,11.3309,9.577,11.612,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_553.parquet
310402,0,854,61887.0,80-100%,,2,Cold,Not in a census Place,G3001110,,3 or 4 Unit,2,Electricity,67F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,60000-69999,3,200%,96%,Occupied,Electric Standard,Electricity,1.35,0.0,17.65,0,30,4061.671961516828,107.55708275320556,0.0,0.0,5621.103125903223,15403.522377181827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15403.522377181827,2653.0,14224.0,18031.0,6.1122,10.521,2.232,18.801,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_137.parquet
343688,0,1138,63747.0,80-100%,,3,Cold,"MT, Billings",G3001110,,3 or 4 Unit,2,Natural Gas,67F,No,0F,,"Room AC, EER 10.7",60% Conditioned,Room AC,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,60000-69999,2,200%,96%,Occupied,Natural Gas Standard,Natural Gas,5.82,0.0,22.27,0,40,0.0,113.71157522682222,0.0,0.0,0.0,5995.941024653494,0.0,0.0,0.0,0.0,9361.276123441125,0.0,6959.265632309589,16320.541755750712,0.0,0.0,0.0,0.0,22316.482780404207,3369.0,24152.0,14146.0,14.3156,15.0189,8.327,37.012,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Mid,res_798.parquet
