Feeder,Phases,Yearly_Type,Yearly_Number,Count of Load_Name,REAL_LOAD_COUNT,Parquet_Name,bldg_id,upgrade,in.sqft,in.building_america_climate_zone,in.state,in.state_name,in.building_subtype,in.comstock_building_type,in.comstock_building_type_group,in.floor_area_category,in.heating_fuel,in.hvac_category,in.hvac_combined_type,in.hvac_cool_type,in.hvac_heat_type,in.hvac_night_variability,in.hvac_system_type,in.hvac_vent_type,in.interior_lighting_generation,in.number_of_stories,in.number_stories,in.year_built,out.district_cooling.cooling.energy_consumption,out.district_cooling.total.energy_consumption,out.district_heating.cooling.energy_consumption,out.district_heating.heating.energy_consumption,out.district_heating.total.energy_consumption,out.district_heating.water_systems.energy_consumption,out.electricity.cooling.energy_consumption,out.electricity.exterior_lighting.energy_consumption,out.electricity.fans.energy_consumption,out.electricity.heat_recovery.energy_consumption,out.electricity.heat_rejection.energy_consumption,out.electricity.heating.energy_consumption,out.electricity.interior_equipment.energy_consumption,out.electricity.interior_lighting.energy_consumption,out.electricity.pumps.energy_consumption,out.electricity.refrigeration.energy_consumption,out.electricity.total.apr.energy_consumption..kwh,out.electricity.total.aug.energy_consumption..kwh,out.electricity.total.dec.energy_consumption..kwh,out.electricity.total.energy_consumption,out.electricity.total.feb.energy_consumption..kwh,out.electricity.total.jan.energy_consumption..kwh,out.electricity.total.jul.energy_consumption..kwh,out.electricity.total.jun.energy_consumption..kwh,out.electricity.total.mar.energy_consumption..kwh,out.electricity.total.may.energy_consumption..kwh,out.electricity.total.nov.energy_consumption..kwh,out.electricity.total.oct.energy_consumption..kwh,out.electricity.total.sep.energy_consumption..kwh,out.electricity.water_systems.energy_consumption,out.natural_gas.heating.energy_consumption,out.natural_gas.interior_equipment.energy_consumption,out.natural_gas.total.energy_consumption,out.natural_gas.water_systems.energy_consumption,out.other_fuel.cooling.energy_consumption,out.other_fuel.heating.energy_consumption,out.other_fuel.total.energy_consumption,out.other_fuel.water_systems.energy_consumption,out.site_energy.total.energy_consumption,out.electricity.total.peak_demand,out.qoi.maximum_daily_peak_apr..kw,out.qoi.maximum_daily_peak_aug..kw,out.qoi.maximum_daily_peak_dec..kw,out.qoi.maximum_daily_peak_feb..kw,out.qoi.maximum_daily_peak_jan..kw,out.qoi.maximum_daily_peak_jul..kw,out.qoi.maximum_daily_peak_jun..kw,out.qoi.maximum_daily_peak_mar..kw,out.qoi.maximum_daily_peak_may..kw,out.qoi.maximum_daily_peak_nov..kw,out.qoi.maximum_daily_peak_oct..kw,out.qoi.maximum_daily_peak_sep..kw,out.qoi.median_daily_peak_apr..kw,out.qoi.median_daily_peak_aug..kw,out.qoi.median_daily_peak_dec..kw,out.qoi.median_daily_peak_feb..kw,out.qoi.median_daily_peak_jan..kw,out.qoi.median_daily_peak_jul..kw,out.qoi.median_daily_peak_jun..kw,out.qoi.median_daily_peak_mar..kw,out.qoi.median_daily_peak_may..kw,out.qoi.median_daily_peak_nov..kw,out.qoi.median_daily_peak_oct..kw,out.qoi.median_daily_peak_sep..kw,out.qoi.minimum_daily_peak_apr..kw,out.qoi.minimum_daily_peak_aug..kw,out.qoi.minimum_daily_peak_dec..kw,out.qoi.minimum_daily_peak_feb..kw,out.qoi.minimum_daily_peak_jan..kw,out.qoi.minimum_daily_peak_jul..kw,out.qoi.minimum_daily_peak_jun..kw,out.qoi.minimum_daily_peak_mar..kw,out.qoi.minimum_daily_peak_may..kw,out.qoi.minimum_daily_peak_nov..kw,out.qoi.minimum_daily_peak_oct..kw,out.qoi.minimum_daily_peak_sep..kw,Folder_File,State,Chosen_Parquet,Parquet_Folder,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,income_group,Parquet_File
uhs0_1247--udt12274,1,com,12824,2,1,com_12824.parquet,184116.0,0.0,7500.0,Cold,MT,Montana,,LargeHotel,Lodging,5001_10000,DistrictHeating,Zone-by-Zone,DOAS+Zone terminal equipment_District_District,District,District,default_nochange,DOAS with fan coil district chilled water with district hot water,DOAS+Zone terminal equipment,gen4_led,9.0,9.0,1900.0,38058.33333333332,38058.33333333332,0.0,164694.44444444444,204855.5555555556,40161.11111111111,0.0,14233.333333333334,25350.0,0.0,0.0,0.0,35588.88888888889,4850.0,3155.555555555556,16783.333333333332,7827.50985917604,8248.711899553226,9286.159085390784,99958.33333333331,8272.91974756236,9116.84550416508,8438.37472941461,7494.62798172682,8541.07207623833,7759.938509300318,8755.042574841164,8435.309700734924,7781.933117168815,0.0,0.0,9119.444444444443,9119.444444444443,0.0,0.0,0.0,0.0,0.0,351991.6666666667,17.76219,15.69589439439627,17.490177023520552,17.003713282748812,17.08844460228085,16.461448374743608,16.126417027002788,14.60783816554471,16.18004491421447,15.158075669631277,16.59115746610566,15.600861999050055,15.600463062112643,14.383891016629567,13.60265169055523,15.549827206705618,15.815005660900948,15.424500623794357,13.892045244582494,13.119557546257337,15.191203395460956,13.067150663477896,15.461816398841243,15.005115660877328,14.35099541875176,12.912574576081722,13.109732995699888,15.229950314959073,15.014958528410126,14.990331968620556,12.744428296877404,12.698436193380852,14.822695496601629,12.699996341157467,14.925665668783472,14.48698070813693,13.900392456511367,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_12824.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184116-0.parquet
uhs0_1247--udt12274,1,com,13018,12,6,com_13018.parquet,184700.0,0.0,1000.0,Cold,MT,Montana,,SmallOffice,Office,_1000,NaturalGas,Small Packaged Unit,Central Single-zone RTU_Furnace_DX,DX,Furnace,night_fanon_vent,PSZ-AC with gas coil,Central Single-zone RTU,gen2_t8_halogen,2.0,2.0,1964.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.3333333333333,2413.888888888889,6483.333333333333,0.0,0.0,0.0,5763.888888888889,1897.2222222222224,0.0,0.0,1461.3597617444318,1736.0484759308608,1559.2152396271606,18688.888888888887,1383.6191675970858,1569.96606421164,1857.858754476515,1487.125458104837,1485.970282352857,1590.4341114724054,1490.819489076148,1543.971143021687,1523.4135314491318,1050.0,22477.777777777777,0.0,22477.777777777777,0.0,0.0,0.0,0.0,0.0,41166.66666666667,4.288,2.9120429048632013,4.233285989714591,3.025482294418344,3.025482294418344,3.025482294418344,4.140494439920413,3.359291456635756,3.025482294418344,3.301176959723977,3.025482294418344,3.025482294418344,3.5295291268306945,2.773492683845707,3.0802042516373342,3.025482294418344,2.9120429048632013,3.025482294418344,3.6339237055736895,2.711039412666137,2.9120429048632013,2.680906757130563,2.9120429048632013,2.9120429048632013,2.9120429048632013,2.067823775559365,2.1171337071493883,1.9784637031360943,1.9784637031360943,1.9784637031360943,2.139045482935148,2.092478741354377,1.9784637031360943,2.084034980713781,1.9784637031360943,2.092478741354377,2.108578149413036,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_13018.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184700-0.parquet
uhs0_1247--udt12274,1,com,13121,2,1,com_13121.parquet,184717.0,0.0,1000.0,Cold,MT,Montana,strip_mall_restaurant0,RetailStripmall,Mercantile,_1000,NaturalGas,Small Packaged Unit,Central Single-zone RTU_Furnace_DX,DX,Furnace,night_fancycle_vent,PSZ-AC with gas coil,Central Single-zone RTU,gen2_t8_halogen,1.0,1.0,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9999999999998,4230.555555555556,4341.666666666667,0.0,0.0,0.0,933.3333333333334,5950.0,0.0,0.0,1241.7498766837743,1522.5557095068082,1456.0452074714185,16605.555555555555,1306.0222878350803,1426.682014331821,1619.5984398009102,1308.4518504981156,1341.1063400475225,1298.106101476858,1360.8401412397986,1351.6125402527582,1373.1762750213493,0.0,35222.22222222221,0.0,41191.66666666666,5969.444444444443,0.0,0.0,0.0,0.0,57797.22222222223,4.975300000000001,3.171598515851543,4.966950072700556,3.315997249001155,3.315997249001155,3.315997249001155,4.801403628075152,4.016455219393604,3.315997249001155,3.517887804538,3.315997249001156,3.462915980682892,4.115507694817918,2.3735465496553267,3.7862187583752833,2.8391349185738823,2.37354654965536,2.791149935922168,4.160646841611059,3.2544484905118605,2.3735465496553267,3.005591685058223,2.791149935922168,2.395004048917136,3.1838693958357966,2.3215651754241504,2.622631749477664,2.791149935922168,2.3215651754241504,2.3735465496553267,2.6426298677819604,2.321565175424151,2.3215651754241504,2.346085860878244,2.358065859623772,2.321565175424151,2.321565175424152,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_13121.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184717-0.parquet
uhs0_1247--udt12274,1,com,13123,4,2,com_13123.parquet,184401.0,0.0,1000.0,Cold,MT,Montana,,FullServiceRestaurant,Food Service,_1000,Propane,Small Packaged Unit,Central Single-zone RTU_Furnace_DX,DX,Furnace,night_fancycle_vent,PSZ-AC with gas coil,Central Single-zone RTU,gen4_led,1.0,1.0,1910.0,0.0,0.0,0.0,0.0,0.0,0.0,4827.777777777778,3516.6666666666665,14413.888888888889,0.0,0.0,0.0,15661.111111111111,2694.4444444444443,0.0,13361.111111111111,4059.642876904546,5460.874706219627,4262.145083088593,54477.777777777774,3849.68226996368,4277.930382310221,5885.33156000376,5037.519503011491,4176.497211061655,4774.6422373475225,4102.875378425638,4213.657093895741,4377.076664327627,0.0,0.0,83261.1111111111,83261.1111111111,0.0,0.0,56697.22222222222,89866.66666666666,33169.444444444445,227608.3333333333,18.56432,11.60161394165606,18.25747090080284,9.258656572098758,9.246815777103008,9.262650472226891,18.476152717274893,16.273377581902494,8.85133166249941,15.040287423275757,9.271014265869038,10.45514164979655,15.272743381368128,8.445244299170145,13.302518507404594,9.178178688744351,9.013296678997932,9.17501036989468,14.29004858447218,12.3996823866256,8.410857791276968,11.54822928262656,9.190944658110196,8.796927210029068,9.413218233252698,8.35740397278559,8.450545571521351,9.155374310085412,8.349795711389563,8.758428809426867,11.820872029769292,8.70784122729495,8.365246263211432,8.403333652155828,8.388677087380428,8.374380480488032,8.38917513647612,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_13123.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184401-0.parquet
uhs0_1247--udt12274,1,com,13303,2,1,com_13303.parquet,184492.0,0.0,3000.0,Cold,MT,Montana,,SmallOffice,Office,1001_5000,NaturalGas,Residential Style Central Systems,Residential forced air_Furnace_DX,DX,Furnace,default_nochange,Residential AC with residential forced air furnace,Residential forced air,gen4_led,2.0,2.0,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,794.4444444444445,3919.444444444445,4058.3333333333335,0.0,0.0,0.0,8627.777777777777,4549.999999999999,0.0,0.0,1898.1409019387104,2103.1765643804674,2077.2480910666304,23961.11111111112,1858.2322735832693,2106.108958195676,2209.3234858864776,1849.120742020307,1949.3071109160169,1981.8984185843176,1969.5622059537493,2020.6913308064911,1937.693109747287,2011.111111111111,21325.0,0.0,21325.0,0.0,0.0,0.0,0.0,0.0,45283.33333333333,6.11611,4.725566730554926,6.110122116570707,4.693893741599904,4.633405092875349,4.693893741599904,5.928119183458633,5.367313753965672,4.633405092875349,5.318482607547376,4.693893741599904,4.633405092875349,5.786233004583759,4.575636451651393,5.018840346157855,4.575636451651393,4.633405092875349,4.633405092875349,5.462701945813261,4.725010566583837,4.633353890634703,4.706379566111549,4.633405092875349,4.618272900525842,4.602456538712607,2.082157114334939,2.118130992592107,2.1114600986337075,2.0988669204044546,2.069104618532147,2.2194171514854304,2.0513989003792013,2.16713822751305,2.056051514147986,2.089607312929831,2.086817228652971,2.0659456094272235,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_13303.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184492-0.parquet
uhs0_1247--udt12274,1,com,14231,2,1,com_14231.parquet,184147.0,0.0,3000.0,Cold,MT,Montana,,RetailStandalone,Mercantile,1001_5000,NaturalGas,Small Packaged Unit,Central Single-zone RTU_Furnace_DX,DX,Furnace,night_fanon_vent,PSZ-AC with gas coil,Central Single-zone RTU,gen2_t8_halogen,1.0,1.0,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,3011.111111111111,4905.555555555556,14819.444444444443,0.0,0.0,0.0,3058.333333333333,11330.555555555557,0.0,0.0,2771.7132120223464,3683.565180181504,3019.3053130975286,37122.22222222222,2674.750950261553,3008.1288098694768,4004.095008755906,3101.8065181573456,2904.312243488429,3012.532318788452,2897.127603767377,2958.5535711933007,3086.676171451384,0.0,63022.22222222221,0.0,63022.22222222221,0.0,0.0,0.0,0.0,0.0,100144.44444444444,12.51298,5.986238993929255,12.174772076686038,5.811140048101628,5.811140048101628,5.811140048101628,12.24498485410636,9.454689893030462,5.811140048101628,7.594683964000019,5.811140048101628,5.8933580117790365,9.178981316843291,5.63414384809705,7.769881111936935,5.811140048101628,5.811140048101628,5.811140048101628,9.05507675587662,6.17999256499713,5.634615938228898,5.67263726731756,5.810905107103718,5.768540991534155,6.068098838613842,4.3595874149165095,4.459682162060861,5.000139159029896,4.8651257077210905,4.898593473212431,6.657695619864907,4.3595874149165095,4.583876835239412,4.35996326439786,4.898593473212431,4.864277768107892,4.864277768107892,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_14231.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184147-0.parquet
uhs0_1247--udt12274,1,com,14280,2,1,com_14280.parquet,184433.0,0.0,1000.0,Cold,MT,Montana,,RetailStandalone,Mercantile,_1000,Electricity,Multizone CAV/VAV,Central Multi-zone VAV RTU_Furnace_DX,DX,Furnace,night_fancycle_novent,PVAV with gas heat with electric reheat,Central Multi-zone VAV RTU,gen2_t8_halogen,1.0,1.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,1530.5555555555554,2555.555555555556,2233.333333333333,0.0,0.0,21125.0,1091.6666666666667,3927.7777777777774,0.0,0.0,3097.2885291555103,1307.1635594481625,4076.909571412233,32466.666666666668,3890.310681829641,3849.125147577585,1145.0657019410585,1768.6584285254207,3601.79497168735,1958.404610303716,3398.624648846286,2590.999235118443,1782.15595460055,0.0,6711.11111111111,0.0,6711.11111111111,0.0,0.0,0.0,0.0,0.0,39177.777777777774,9.48127,7.207916307604984,4.351691056629753,8.302668682085868,8.866212343978779,7.56153860853584,4.39172889537285,5.21544738676756,7.367184255065546,5.440558149544488,6.816838427329749,6.434630021770783,5.278554579889771,5.909661314852487,2.4083832169593293,6.9528747748941,7.269789218547023,6.743559717236143,2.200916266783994,3.8130212382278295,6.659620625419693,3.762227140243545,6.094131763667535,5.190551630847136,3.893837890563895,3.589286811833475,1.7162293341345014,6.219925911324893,6.132170948057557,5.592961460552645,1.7597556660740965,2.543964427488766,5.871923001767443,2.5125387935853944,5.434281743306388,3.396115789448839,2.230823377255593,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_14280.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184433-0.parquet
uhs0_1247--udt12274,1,com,14282,2,1,com_14282.parquet,184858.0,0.0,7500.0,Cold,MT,Montana,,Warehouse,Warehouse and Storage,5001_10000,NaturalGas,Small Packaged Unit,Central Single-zone RTU_Furnace_DX,DX,Furnace,night_fancycle_novent,PSZ-AC with gas coil,Central Single-zone RTU,gen2_t8_halogen,1.0,1.0,1972.0,0.0,0.0,0.0,0.0,0.0,0.0,869.4444444444446,9244.444444444443,4166.666666666667,0.0,0.0,0.0,22613.888888888887,10333.333333333334,0.0,0.0,3751.902494114549,3838.516988632856,4389.591482287045,47227.777777777774,3976.7098264293663,4380.4729675388335,4144.327888457395,3350.026561337694,3994.419010710103,3671.918907049704,4057.044895258141,4036.1765942173897,3637.169187624365,0.0,173558.3333333333,0.0,173558.3333333333,0.0,0.0,0.0,0.0,0.0,220786.11111111112,12.75867,8.667249349561969,12.602990741003888,10.841253839089276,10.940982417911892,10.631982473608517,12.431727599903772,9.513531208979204,10.597515846520686,8.56036891091007,10.696323126905064,10.20835048131172,9.44184254208472,8.280307134427002,8.512315853259569,10.527177436882528,10.45359463843428,10.46065917900532,10.196841397996948,8.277277551076725,8.368008534006472,8.215074725309504,10.234040727117234,8.873574837812901,8.335657187702783,3.7647135110591727,3.7056400682742647,4.378348654431614,4.513966791561841,4.294448297280442,4.039575251020998,3.7056400682742647,4.265732994329019,3.7056400682742647,4.128044963226917,3.98947385117305,3.729429465255834,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_14282.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184858-0.parquet
uhs0_1247--udt12274,1,com,14382,4,2,com_14382.parquet,184518.0,0.0,3000.0,Cold,MT,Montana,,SmallHotel,Lodging,1001_5000,NaturalGas,Zone-by-Zone,Zone terminal equipment_Boiler _DX,DX,Boiler ,default_nochange,PTAC with gas boiler,Zone terminal equipment,gen4_led,2.0,2.0,1972.0,0.0,0.0,0.0,0.0,0.0,0.0,3133.333333333333,9633.333333333334,6711.111111111111,0.0,0.0,0.0,20997.222222222223,3688.888888888889,944.4444444444446,0.0,3398.625674902328,3908.484280070256,4204.486413487493,45105.55555555556,3804.926170323713,4144.128986763386,4196.323071611711,3298.81479189354,3769.731075254627,3324.9351912998754,3860.7071365697375,3655.4615728549966,3539.460340324194,0.0,46258.33333333333,8116.666666666666,75136.1111111111,20761.11111111111,0.0,0.0,0.0,0.0,120241.66666666669,9.59385,7.599371905822734,8.671382803852923,8.001841968684777,8.043532650068896,8.040435448666061,9.378993646548432,7.698973472541888,7.486366139694093,6.945821036362855,7.490614653938479,7.091426586715631,7.69155008990028,6.876064726094658,7.083631992448519,7.291378782297733,7.550748892972546,7.24009652459435,8.119505480556052,6.750719053984673,7.032527868342546,6.556482375338844,7.145531794082496,6.771619900195756,6.624078724551936,6.369661125519569,6.319208392725607,6.921390519500275,6.994299825080747,6.853746470593442,6.194425676923788,6.092870253483121,6.776147705368737,6.1562283558174,6.611810659863661,6.3988143515097375,6.289586139003166,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_14382.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184518-0.parquet
uhs0_1247--udt12274,1,com,14407,2,1,com_14407.parquet,184717.0,0.0,1000.0,Cold,MT,Montana,strip_mall_restaurant0,RetailStripmall,Mercantile,_1000,NaturalGas,Small Packaged Unit,Central Single-zone RTU_Furnace_DX,DX,Furnace,night_fancycle_vent,PSZ-AC with gas coil,Central Single-zone RTU,gen2_t8_halogen,1.0,1.0,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.9999999999998,4230.555555555556,4341.666666666667,0.0,0.0,0.0,933.3333333333334,5950.0,0.0,0.0,1241.7498766837743,1522.5557095068082,1456.0452074714185,16605.555555555555,1306.0222878350803,1426.682014331821,1619.5984398009102,1308.4518504981156,1341.1063400475225,1298.106101476858,1360.8401412397986,1351.6125402527582,1373.1762750213493,0.0,35222.22222222221,0.0,41191.66666666666,5969.444444444443,0.0,0.0,0.0,0.0,57797.22222222223,4.975300000000001,3.171598515851543,4.966950072700556,3.315997249001155,3.315997249001155,3.315997249001155,4.801403628075152,4.016455219393604,3.315997249001155,3.517887804538,3.315997249001156,3.462915980682892,4.115507694817918,2.3735465496553267,3.7862187583752833,2.8391349185738823,2.37354654965536,2.791149935922168,4.160646841611059,3.2544484905118605,2.3735465496553267,3.005591685058223,2.791149935922168,2.395004048917136,3.1838693958357966,2.3215651754241504,2.622631749477664,2.791149935922168,2.3215651754241504,2.3735465496553267,2.6426298677819604,2.321565175424151,2.3215651754241504,2.346085860878244,2.358065859623772,2.321565175424151,2.321565175424152,Metadata_MT_Commercial_MT_baseline_metadata_and_annual_results.csv,MT,com_14407.parquet,parquet_commercial_202512_comm_MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184717-0.parquet
