Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184108-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184116-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184124-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184131-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184147-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184157-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184182-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184207-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184220-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184288-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184315-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184349-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184377-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184394-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184401-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184433-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184492-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184518-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184522-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184529-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184530-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184615-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184617-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184700-0.parquet,6
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184706-0.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184717-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184776-0.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184858-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184863-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184884-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184941-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184968-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,185003-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,185019-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,185028-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,102182-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,102854-0.parquet,64
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,106657-0.parquet,65
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,118797-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,119073-0.parquet,15
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,121985-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,131145-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_MT,136309-0.parquet,29
