folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_MT,184105,76363.9492537146,103137.7914412921,76363.9492537146,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",26773.842187577495,0.0,1,9
parquet_commercial_202512_comm_MT,184107,409302.4797687011,464852.1127215624,409302.4797687011,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",55549.63295286131,0.0,1,9
parquet_commercial_202512_comm_MT,184108,129555.00104190478,129555.00104190478,129555.00104190478,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184115,6295164.262268323,6295164.262268323,6295164.262268323,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184116,399833.8111277922,399833.8111277922,399833.8111277922,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184120,819671.6567709339,798055.086174203,756294.6735251166,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-21616.57059673092,-63376.983245817246,1,2
parquet_commercial_202512_comm_MT,184121,1523774.8350098229,2094083.492461581,1523774.8350098229,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",570308.6574517582,0.0,8,2
parquet_commercial_202512_comm_MT,184123,1726055.6348711958,2039078.5724854511,1726055.6348711958,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",313022.93761425535,0.0,1,9
parquet_commercial_202512_comm_MT,184124,3747097.5545353065,3747097.5545353065,3747097.5545353065,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184128,1324640.8663605454,1324640.8663605454,1324640.8663605454,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
