Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184108-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184116-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184124-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184131-1.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184147-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184157-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184182-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184207-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184220-1.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184288-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184315-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184349-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184377-8.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184394-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184401-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184433-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184492-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184518-8.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184522-1.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184529-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184530-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184615-1.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_MT,184617-1.parquet,1
