 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
4871.47,11.7556,4769.293665143792,992.5008294804074,4775.07,11.8664,4673.025518741053,981.8991832642017,5006.55,11.8136,4900.505368409955,1024.982944582596,14342.8245522948,2999.382957327205,14653.085486088432,14653.09,0.0,1,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4627.53,11.3892,4536.40659845073,913.8101960651791,4499.22,11.2063,4413.436936707882,874.3883657177488,4852.99,11.4085,4757.103850876712,959.9348374103071,13706.947386035325,2748.1333991932347,13979.722594647648,13979.74,0.0,2,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4564.02,11.3416,4474.894420008376,897.5513858147109,4513.43,11.4254,4423.989407268661,894.0738723811827,4865.19,11.3794,4769.550953939268,959.9257439390909,13668.434781216305,2751.5510021349846,13942.637565601195,13942.64,0.0,3,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4528.69,11.4923,4437.89650826028,902.2791685898632,4487.32,11.7945,4392.579277742116,917.2175702364988,4871.01,11.8116,4767.871072538741,997.0676284727529,13598.346858541137,2816.5643672991146,13886.974908896995,13887.019999999999,1.0,4,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4390.92,11.4408,4303.67318987349,870.9624108789886,4295.71,11.4666,4209.970883059598,853.9728144914158,4696.13,11.3815,4603.780341937573,926.7381183965405,13117.42441487066,2651.673343766945,13382.757369163093,13382.760000000002,1.0,5,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4347.24,11.6568,4257.580045561072,878.3551521111341,4275.4,11.5926,4188.187019734097,859.1476286010583,4707.61,11.6423,4610.7581363012905,950.0006950689301,13056.52520159646,2687.5034757811227,13330.248507520746,13330.25,1.0,6,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4281.12,11.7198,4191.870095261838,869.605404105509,4183.81,11.8148,4095.1740312701286,856.630474423346,4642.66,11.6427,4547.137842185144,936.9254611589076,12834.181968717112,2663.161339687763,13107.580063739872,13107.59,1.0,7,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4153.17,11.519,4069.519083566545,829.3584733923609,4049.26,11.4307,3968.943437815383,802.4927009152234,4502.92,11.5762,4411.3247106875515,903.605457750999,12449.787232069479,2535.456632058583,12705.343067263082,12705.35,2.0,8,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4099.54,11.5477,4016.5586972207248,820.6609795649821,4030.52,11.3294,3951.9812237411043,791.7928249218746,4376.67,11.494,4288.898408528085,872.118529917386,12257.438329489914,2484.5723344042426,12506.713960354871,12506.73,2.0,9,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
4092.7,11.6684,4008.1223235215098,827.7371138764596,3987.93,11.4426,3908.6656776982286,791.1499888667439,4288.62,11.5759,4201.388359352661,860.579664119459,12118.176360572399,2479.4667668626626,12369.234161980768,12369.25,2.0,10,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
