hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.54, -3.9332E-005, 7415.54, -120, 7415.54, 120, 656.927, -11.7556, 643.928, -131.866, 675.143, 108.186
0, 1800.00000, 7415.54, -3.77253E-005, 7415.54, -120, 7415.54, 120, 624.031, -11.3893, 606.729, -131.206, 654.436, 108.591
0, 2700.00000, 7415.54, -3.72539E-005, 7415.54, -120, 7415.54, 120, 615.467, -11.3417, 608.645, -131.425, 656.08, 108.621
1, 0.00000, 7415.54, -3.68192E-005, 7415.54, -120, 7415.54, 120, 610.702, -11.4923, 605.124, -131.795, 656.866, 108.188
1, 900.00000, 7415.54, -3.57469E-005, 7415.54, -120, 7415.54, 120, 592.124, -11.4409, 579.285, -131.467, 633.282, 108.618
1, 1800.00000, 7415.54, -3.51896E-005, 7415.54, -120, 7415.54, 120, 586.234, -11.6569, 576.547, -131.593, 634.831, 108.358
1, 2700.00000, 7415.54, -3.45962E-005, 7415.54, -120, 7415.54, 120, 577.318, -11.7199, 564.195, -131.815, 626.072, 108.357
2, 0.00000, 7415.54, -3.37407E-005, 7415.54, -120, 7415.54, 120, 560.063, -11.5191, 546.05, -131.431, 607.227, 108.424
2, 900.00000, 7415.54, -3.32795E-005, 7415.54, -120, 7415.54, 120, 552.831, -11.5477, 543.524, -131.329, 590.202, 108.506
2, 1800.00000, 7415.54, -3.31178E-005, 7415.54, -120, 7415.54, 120, 551.908, -11.6685, 537.781, -131.443, 578.329, 108.424
2, 2700.00000, 7415.54, -3.21003E-005, 7415.54, -120, 7415.54, 120, 534.144, -11.6109, 533.458, -131.269, 565.518, 108.548
3, 0.00000, 7415.54, -3.21661E-005, 7415.54, -120, 7415.54, 120, 534.149, -11.5339, 528.196, -131.29, 558.675, 108.553
3, 900.00000, 7415.54, -3.18534E-005, 7415.54, -120, 7415.54, 120, 528.309, -11.4871, 525.383, -131.201, 555.529, 108.652
3, 1800.00000, 7415.54, -3.15974E-005, 7415.54, -120, 7415.54, 120, 523.498, -11.446, 522.255, -131.102, 552.05, 108.734
3, 2700.00000, 7415.54, -3.15921E-005, 7415.54, -120, 7415.54, 120, 524.427, -11.5196, 517.139, -131.195, 548.801, 108.641
4, 0.00000, 7415.54, -3.14928E-005, 7415.54, -120, 7415.54, 120, 522.547, -11.5027, 517.665, -131.297, 546.342, 108.668
4, 900.00000, 7415.54, -3.10585E-005, 7415.54, -120, 7415.54, 120, 514.199, -11.4182, 507.085, -131.179, 540.342, 108.754
4, 1800.00000, 7415.54, -3.12297E-005, 7415.54, -120, 7415.54, 120, 517.8, -11.4746, 513.344, -131.244, 544.936, 108.622
4, 2700.00000, 7415.54, -3.10583E-005, 7415.54, -120, 7415.54, 120, 516.144, -11.5617, 509.909, -131.35, 539.484, 108.533
5, 0.00000, 7415.54, -3.09641E-005, 7415.54, -120, 7415.54, 120, 511.068, -11.3013, 503.608, -131.266, 536.993, 108.667
5, 900.00000, 7415.54, -3.11206E-005, 7415.54, -120, 7415.54, 120, 512.907, -11.2459, 506.415, -131.214, 541.486, 108.582
5, 1800.00000, 7415.54, -3.10456E-005, 7415.54, -120, 7415.54, 120, 517.399, -11.6688, 507.155, -131.405, 544.426, 108.279
5, 2700.00000, 7415.54, -3.12527E-005, 7415.54, -120, 7415.54, 120, 520.174, -11.6199, 509.421, -131.365, 548.232, 108.299
6, 0.00000, 7415.54, -3.14651E-005, 7415.54, -120, 7415.54, 120, 524.618, -11.6855, 511.644, -131.304, 549.038, 108.381
6, 900.00000, 7415.54, -3.13253E-005, 7415.54, -120, 7415.54, 120, 522.549, -11.7042, 515.869, -131.46, 549.448, 108.383
6, 1800.00000, 7415.54, -3.18112E-005, 7415.54, -120, 7415.54, 120, 531.612, -11.7724, 520.832, -131.603, 555.94, 108.267
6, 2700.00000, 7415.54, -3.17937E-005, 7415.54, -120, 7415.54, 120, 530.889, -11.7418, 527.255, -131.566, 553.984, 108.304
7, 0.00000, 7415.54, -3.17028E-005, 7415.54, -120, 7415.54, 120, 529.515, -11.752, 527.704, -131.699, 554.265, 108.178
7, 900.00000, 7415.54, -3.18501E-005, 7415.54, -120, 7415.54, 120, 533.534, -11.8617, 525.634, -131.716, 555.016, 108.172
7, 1800.00000, 7415.54, -3.21659E-005, 7415.54, -120, 7415.54, 120, 532.946, -11.4485, 528.334, -131.389, 553.687, 108.631
7, 2700.00000, 7415.54, -3.28767E-005, 7415.54, -120, 7415.54, 120, 548.124, -11.6844, 539.411, -131.712, 564.677, 108.32
8, 0.00000, 7415.54, -3.31423E-005, 7415.54, -120, 7415.54, 120, 552.392, -11.6737, 537.764, -131.735, 565.039, 108.349
8, 900.00000, 7415.54, -3.37144E-005, 7415.54, -120, 7415.54, 120, 562.48, -11.7111, 543.218, -131.607, 576.835, 108.363
8, 1800.00000, 7415.54, -3.46238E-005, 7415.54, -120, 7415.54, 120, 587.887, -12.3641, 571.461, -132.211, 593.944, 107.882
8, 2700.00000, 7415.54, -3.51533E-005, 7415.54, -120, 7415.54, 120, 599.755, -12.5403, 579.658, -132.293, 604.429, 107.77
9, 0.00000, 7415.54, -3.54843E-005, 7415.54, -120, 7415.54, 120, 606.445, -12.6032, 603.22, -132.572, 621.509, 107.459
9, 900.00000, 7415.54, -3.579E-005, 7415.54, -120, 7415.54, 120, 608.788, -12.4311, 599.641, -132.336, 613.398, 107.814
9, 1800.00000, 7415.54, -3.5821E-005, 7415.54, -120, 7415.54, 120, 602.446, -12.0128, 595.204, -132.085, 617.77, 107.902
