hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 4871.47, 11.7556, 4775.07, 11.8664, 5006.55, 11.8136
0, 1800.00000, 4627.53, 11.3892, 4499.22, 11.2063, 4852.99, 11.4085
0, 2700.00000, 4564.02, 11.3416, 4513.43, 11.4254, 4865.19, 11.3794
1, 0.00000, 4528.69, 11.4923, 4487.32, 11.7945, 4871.01, 11.8116
1, 900.00000, 4390.92, 11.4408, 4295.71, 11.4666, 4696.13, 11.3815
1, 1800.00000, 4347.24, 11.6568, 4275.4, 11.5926, 4707.61, 11.6423
1, 2700.00000, 4281.12, 11.7198, 4183.81, 11.8148, 4642.66, 11.6427
2, 0.00000, 4153.17, 11.519, 4049.26, 11.4307, 4502.92, 11.5762
2, 900.00000, 4099.54, 11.5477, 4030.52, 11.3294, 4376.67, 11.494
2, 1800.00000, 4092.7, 11.6684, 3987.93, 11.4426, 4288.62, 11.5759
2, 2700.00000, 3960.97, 11.6108, 3955.88, 11.2693, 4193.62, 11.4517
3, 0.00000, 3961.01, 11.5338, 3916.86, 11.2901, 4142.88, 11.4468
3, 900.00000, 3917.69, 11.4871, 3896, 11.2007, 4119.55, 11.3477
3, 1800.00000, 3882.02, 11.446, 3872.8, 11.1016, 4093.75, 11.266
3, 2700.00000, 3888.91, 11.5196, 3834.86, 11.1946, 4069.66, 11.3592
4, 0.00000, 3874.97, 11.5027, 3838.76, 11.297, 4051.42, 11.3321
4, 900.00000, 3813.06, 11.4181, 3760.31, 11.1792, 4006.93, 11.2465
4, 1800.00000, 3839.77, 11.4746, 3806.72, 11.2442, 4040.99, 11.3775
4, 2700.00000, 3827.48, 11.5617, 3781.25, 11.3495, 4000.57, 11.4667
5, 0.00000, 3789.84, 11.3013, 3734.53, 11.266, 3982.09, 11.3333
5, 900.00000, 3803.48, 11.2459, 3755.34, 11.2143, 4015.41, 11.4179
5, 1800.00000, 3836.79, 11.6687, 3760.83, 11.4052, 4037.21, 11.7207
5, 2700.00000, 3857.37, 11.6199, 3777.63, 11.3649, 4065.43, 11.7011
6, 0.00000, 3890.33, 11.6854, 3794.11, 11.304, 4071.41, 11.6189
6, 900.00000, 3874.98, 11.7042, 3825.45, 11.4599, 4074.45, 11.6165
6, 1800.00000, 3942.19, 11.7723, 3862.25, 11.6033, 4122.59, 11.7329
6, 2700.00000, 3936.83, 11.7418, 3909.88, 11.5664, 4108.09, 11.6959
7, 0.00000, 3926.64, 11.752, 3913.21, 11.6994, 4110.17, 11.8222
7, 900.00000, 3956.44, 11.8617, 3897.86, 11.7163, 4115.74, 11.8281
7, 1800.00000, 3952.08, 11.4485, 3917.88, 11.3885, 4105.89, 11.3693
7, 2700.00000, 4064.63, 11.6844, 4000.02, 11.7118, 4187.38, 11.6798
8, 0.00000, 4096.29, 11.6737, 3987.81, 11.7348, 4190.07, 11.6512
8, 900.00000, 4171.09, 11.711, 4028.26, 11.6071, 4277.54, 11.6375
8, 1800.00000, 4359.5, 12.364, 4237.69, 12.2109, 4404.42, 12.1183
8, 2700.00000, 4447.5, 12.5402, 4298.48, 12.2933, 4482.16, 12.2299
9, 0.00000, 4497.11, 12.6031, 4473.2, 12.5721, 4608.83, 12.5411
9, 900.00000, 4514.49, 12.431, 4446.66, 12.3356, 4548.68, 12.1855
9, 1800.00000, 4467.46, 12.0128, 4413.76, 12.0848, 4581.1, 12.0978
9, 2700.00000, 4467.41, 11.7767, 4405.67, 11.7111, 4570.85, 11.8167
10, 0.00000, 4485.42, 11.9946, 4410.59, 11.8122, 4590.35, 12.0268
10, 900.00000, 4593.35, 12.4826, 4437, 12.0624, 4690.74, 12.3755
10, 1800.00000, 4998.07, 13.5521, 4700.39, 12.8479, 4899.57, 12.8653
10, 2700.00000, 5116.21, 13.863, 4854.34, 13.19, 5027.96, 13.1372
11, 0.00000, 5121.41, 13.8162, 4843.67, 13.1431, 5004.21, 13.0036
11, 900.00000, 5212.51, 13.89, 4928.83, 13.2992, 5049.61, 13.0467
11, 1800.00000, 5104.49, 13.485, 4866.67, 13.126, 5020.81, 12.9854
11, 2700.00000, 4869.33, 12.665, 4764.08, 12.5047, 4983.03, 12.6463
12, 0.00000, 4953.95, 12.866, 4819.26, 12.6502, 5005.6, 12.6907
12, 900.00000, 4962.64, 12.8502, 4844.69, 12.6521, 5029.28, 12.7183
12, 1800.00000, 4960, 12.7386, 4806.11, 12.5682, 5029.56, 12.6524
12, 2700.00000, 4989.13, 12.8428, 4870.02, 12.717, 5089.13, 12.8207
13, 0.00000, 4997.86, 12.7043, 4891.28, 12.5149, 5106.65, 12.7445
13, 900.00000, 5077.01, 12.815, 4960.24, 12.7173, 5197.57, 12.9031
13, 1800.00000, 5115.1, 12.9608, 4994.91, 12.8208, 5221.88, 12.9664
13, 2700.00000, 5177.03, 12.9742, 5076.28, 12.9238, 5272.65, 12.9811
14, 0.00000, 5165.19, 13.0134, 5100.59, 12.7586, 5332.12, 13.0013
14, 900.00000, 5225.63, 12.9716, 5088.12, 12.7868, 5309.1, 12.8887
14, 1800.00000, 5238.09, 13.1332, 5145.75, 12.86, 5358.14, 12.9701
14, 2700.00000, 5320.96, 13.3055, 5209.25, 12.978, 5432.44, 13.223
15, 0.00000, 5314.56, 13.1886, 5244.17, 12.9385, 5399.74, 13.0526
15, 900.00000, 5248.75, 13.1959, 5212.21, 12.9288, 5350.93, 13.0636
15, 1800.00000, 5283.62, 13.2351, 5268.55, 13.0956, 5432, 13.1379
15, 2700.00000, 5391.66, 13.3481, 5301.56, 13.1428, 5519.66, 13.308
16, 0.00000, 5538.13, 13.5312, 5433.92, 13.5574, 5589.04, 13.5229
16, 900.00000, 5586.95, 13.2103, 5387.16, 13.017, 5577.93, 13.3516
16, 1800.00000, 5599.39, 13.0436, 5450.93, 12.7882, 5609.51, 13.2462
16, 2700.00000, 5616.49, 13.034, 5476.25, 12.8695, 5621.69, 13.2411
17, 0.00000, 5668.5, 13.3628, 5590.47, 13.2641, 5746.96, 13.6092
17, 900.00000, 6101.95, 14.4257, 5960.18, 14.17, 6171.31, 14.4636
17, 1800.00000, 6339.52, 14.4983, 6138.49, 14.1528, 6308.31, 14.2472
17, 2700.00000, 7027.14, 15.3031, 6816.87, 14.9953, 7050.4, 15.1184
18, 0.00000, 6988.98, 14.751, 6836.18, 14.5678, 7024.83, 14.7193
18, 900.00000, 6871.92, 14.8497, 6753.91, 14.6979, 6931.15, 15.0104
18, 1800.00000, 6885.54, 14.5026, 6761.06, 14.3414, 6968.34, 14.6839
18, 2700.00000, 7191.75, 15.0453, 7081.01, 14.8691, 7298.29, 15.3018
19, 0.00000, 6756.62, 14.1455, 6684.53, 13.9936, 6764.8, 14.2438
19, 900.00000, 6394.79, 13.0923, 6347.5, 12.9888, 6384.67, 13.2153
19, 1800.00000, 6248.37, 12.7774, 6173.89, 12.5913, 6224.18, 12.8038
19, 2700.00000, 6206.54, 12.5746, 6173.99, 12.4443, 6217.98, 12.6046
20, 0.00000, 6135.83, 12.3756, 6096.15, 12.2119, 6204.57, 12.3593
20, 900.00000, 6071.65, 12.2483, 6021.44, 12.0633, 6175.26, 12.3254
20, 1800.00000, 6229.92, 12.4749, 6274.28, 12.3399, 6253.05, 12.4729
20, 2700.00000, 6618.29, 13.0446, 6797.76, 12.999, 6673.33, 13.0871
21, 0.00000, 6358.83, 12.677, 6434.18, 12.6688, 6342.53, 12.8408
21, 900.00000, 5946.43, 11.946, 5907.98, 11.6388, 5840.03, 11.8821
21, 1800.00000, 5893.15, 12.126, 5904.94, 11.9121, 5881.85, 12.1119
21, 2700.00000, 5830.26, 12.0274, 5826.31, 11.8044, 5789.84, 12.0032
22, 0.00000, 5785.53, 12.2251, 5706.25, 11.758, 5713.5, 12.0761
22, 900.00000, 5748.58, 12.2431, 5691.72, 11.9516, 5661.2, 12.1089
22, 1800.00000, 5768.22, 13.019, 5657.62, 12.6267, 5694.17, 12.7066
22, 2700.00000, 5755.1, 12.928, 5761.71, 12.6238, 5659.51, 12.5232
23, 0.00000, 5735.77, 12.9706, 5813.96, 12.9971, 5616.24, 12.9989
23, 900.00000, 5548.6, 12.8049, 5604.03, 12.9819, 5560.88, 12.6851
23, 1800.00000, 5240.54, 12.2625, 5322.25, 12.4027, 5302.56, 11.8622
23, 2700.00000, 5086.89, 11.8576, 5025.82, 11.7714, 5134.48, 11.8915
24, 0.00000, 4945.65, 11.9217, 4871.75, 11.6066, 5012.87, 11.7713
