hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0166744, 0.0273932, 0.0166568, 0.00946109, 0.016669, -0.0364109, 0, 0
0, 1800.00000, 0.0166768, 0.0167116, 0.0166615, 0.0320221, 0.0166617, -0.048767, 0, 0
0, 2700.00000, 0.016676, 0.0313472, 0.0166569, 0.0118605, 0.0166671, -0.043203, 0, 0
1, 0.00000, 0.0166804, 0.0492665, 0.0166513, 0.0117566, 0.0166683, -0.0609976, 0, 0
1, 900.00000, 0.0166762, 0.0169626, 0.0166607, 0.0262534, 0.0166632, -0.0429649, 0, 0
1, 1800.00000, 0.0166833, 0.0106852, 0.0166604, 0.05496, 0.0166563, -0.0656372, 0, 0
1, 2700.00000, 0.0166856, 0.0149454, 0.0166612, 0.0604245, 0.0166533, -0.0752217, 0, 0
2, 0.00000, 0.016681, 0.00255501, 0.0166644, 0.0524474, 0.0166546, -0.0549216, 0, 0
2, 900.00000, 0.0166781, -0.000790725, 0.0166656, 0.0457757, 0.0166564, -0.0449112, 0, 0
2, 1800.00000, 0.0166742, -0.00295242, 0.0166664, 0.0339221, 0.0166594, -0.030911, 0, 0
2, 2700.00000, 0.0166774, 0.00721739, 0.0166636, 0.0362942, 0.016659, -0.0434521, 0, 0
3, 0.00000, 0.016678, 0.00557475, 0.016664, 0.0400764, 0.016658, -0.0456112, 0, 0
3, 900.00000, 0.0166792, 0.0145089, 0.0166619, 0.0375956, 0.0166589, -0.0520934, 0, 0
3, 1800.00000, 0.0166793, 0.0175303, 0.0166613, 0.0350431, 0.0166594, -0.0525548, 0, 0
3, 2700.00000, 0.0166785, 0.016399, 0.016662, 0.0342928, 0.0166594, -0.0507132, 0, 0
4, 0.00000, 0.0166809, 0.0189276, 0.0166607, 0.037756, 0.0166584, -0.0567239, 0, 0
4, 900.00000, 0.0166795, 0.0180661, 0.0166613, 0.0351718, 0.0166592, -0.0532127, 0, 0
4, 1800.00000, 0.0166783, 0.0145862, 0.0166627, 0.0353826, 0.0166589, -0.0500251, 0, 0
4, 2700.00000, 0.0166791, 0.0167821, 0.0166618, 0.0358904, 0.016659, -0.0527469, 0, 0
5, 0.00000, 0.0166794, 0.0162896, 0.0166621, 0.0364121, 0.0166588, -0.0522799, 0, 0
5, 900.00000, 0.0166792, 0.0106299, 0.0166638, 0.0403363, 0.016657, -0.0510283, 0, 0
5, 1800.00000, 0.0166772, 0.00777585, 0.0166653, 0.0377802, 0.0166575, -0.0456271, 0, 0
5, 2700.00000, 0.0166776, 0.00957909, 0.0166646, 0.0372688, 0.0166578, -0.04699, 0, 0
6, 0.00000, 0.0166769, 0.00846032, 0.016665, 0.0364025, 0.0166581, -0.044922, 0, 0
6, 900.00000, 0.0166782, 0.0173761, 0.0166619, 0.0327213, 0.0166598, -0.050254, 0, 0
6, 1800.00000, 0.0166788, 0.0144568, 0.0166626, 0.0364154, 0.0166586, -0.0509333, 0, 0
6, 2700.00000, 0.0166814, 0.0143411, 0.016662, 0.0427074, 0.0166566, -0.0569474, 0, 0
7, 0.00000, 0.0166794, 0.0148986, 0.016662, 0.0360006, 0.0166586, -0.0508197, 0, 0
7, 900.00000, 0.0166801, 0.0133334, 0.0166622, 0.0397821, 0.0166576, -0.0531939, 0, 0
