P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),hour,timestep, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3,circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
,,,0.0,1,900.0,7415.53,-6.14913e-05,7415.53,-120.0,7415.53,120.0,1404.37,-21.3691,1409.77,-141.522,1328.51,99.0655,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,2,1800.0,7415.53,-5.89755e-05,7415.53,-120.0,7415.53,120.0,1349.79,-21.4224,1384.84,-141.891,1274.02,98.6276,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,0.0,3,2700.0,7415.53,-5.89287e-05,7415.53,-120.0,7415.53,120.0,1346.5,-21.381,1356.85,-141.875,1258.0,98.7107,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,4,0.0,7415.53,-5.77422e-05,7415.53,-120.0,7415.53,120.0,1364.35,-22.2039,1380.04,-142.755,1266.68,98.5482,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,5,900.0,7415.53,-5.53623e-05,7415.53,-120.0,7415.53,120.0,1336.42,-22.7128,1358.93,-143.176,1246.73,98.3577,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,6,1800.0,7415.53,-5.4906e-05,7415.53,-120.0,7415.53,120.0,1325.01,-22.7057,1341.6,-143.136,1233.65,98.4296,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,1.0,7,2700.0,7415.53,-5.41498e-05,7415.53,-120.0,7415.53,120.0,1321.56,-22.9683,1352.72,-143.424,1228.74,98.3552,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,8,0.0,7415.53,-5.3158e-05,7415.53,-120.0,7415.53,120.0,1319.41,-23.3553,1360.51,-143.727,1239.2,97.947,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,9,900.0,7415.53,-5.32135e-05,7415.53,-120.0,7415.53,120.0,1339.77,-23.677,1364.13,-143.946,1245.72,97.5878,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
,,,2.0,10,1800.0,7415.53,-5.2816e-05,7415.53,-120.0,7415.53,120.0,1325.77,-23.6096,1361.14,-144.067,1222.57,97.8609,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
