 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
10414.1,21.3691,9698.156253704688,3794.633590839657,10454.2,21.5215,9725.332908763727,3835.1267845688317,9851.59,20.9344,9201.287754518133,3519.961531985067,28624.77691698655,11149.721907393556,30719.60533860189,30719.890000000003,0.0,1,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
10009.4,21.4223,9317.887911368614,3655.82456241689,10269.3,21.8909,9528.837072958924,3828.8100667183253,9447.53,21.3724,8797.837277607767,3442.9467520766543,27644.562261935305,10927.581381211869,29725.979504417108,29726.229999999996,0.0,2,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9984.99,21.3809,9297.797014058016,3640.191751195785,10061.8,21.8748,9337.352540609781,3748.8220513073234,9328.73,21.2892,8692.134500849823,3387.034282678015,27327.284055517623,10776.048085181123,29375.221976779743,29375.52,0.0,3,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
10117.3,22.2038,9367.056914135139,3823.3498476274785,10233.7,22.755,9437.182692222208,3958.3075327242614,9393.12,21.4517,8742.422843312464,3435.2214139889784,27546.662449669813,11216.878794340719,29742.84757724081,29744.120000000003,1.0,4,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9910.29,22.7127,9141.772064602692,3826.467222249508,10077.2,23.1762,9263.958863368474,3965.9836129031987,9245.16,21.6422,8593.423364162469,3409.7006188031514,26999.154292133637,11202.151453955858,29230.848938883104,29232.65,1.0,5,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9825.68,22.7056,9064.193407950981,3792.675220165574,9948.71,23.1363,9148.562571680855,3909.04509262047,9148.17,21.5704,8507.492014810086,3363.2713192430087,26720.247994441925,11064.991632029052,28920.679326415393,28922.559999999998,1.0,6,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9800.08,22.9683,9023.138400460604,3824.204677123496,10031.1,23.424,9204.418875204607,3987.686093435286,9111.78,21.6447,8469.299336091492,3360.8783857914655,26696.856611756702,11172.769156350247,28940.506622548764,28942.96,1.0,7,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9784.15,23.3552,8982.484476284095,3878.732248533693,10088.9,23.7269,9236.12342442206,4059.5476717045844,9189.34,22.0529,8517.025766521721,3450.2524151147413,26735.633667227878,11388.532335353018,29060.157885696182,29062.39,2.0,8,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9935.09,23.6769,9098.799553252547,3989.7192880992598,10115.7,23.9457,9245.046933369307,4105.666047037777,9237.64,22.4121,8539.87982053114,3521.9945230628946,26883.726307152996,11617.379858199933,29286.485875359296,29288.43,2.0,9,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9831.31,23.6096,9008.386464652753,3937.4648721685185,10093.6,24.067,9216.155350556513,4116.216893508962,9066.01,22.139,8397.594193067247,3416.5697839592362,26622.136008276517,11470.251549636716,28988.011250431042,28990.92,2.0,10,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9801.61,23.7177,8973.750127309311,3942.5077355302865,10066.3,24.1379,9186.141736917501,4116.454260557537,8984.14,22.1587,8320.595675159133,3388.5777473924236,26480.487539385944,11447.539743480247,28848.958152802225,28852.05,2.0,11,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9797.7,23.7697,8966.58999927743,3949.0744580037963,10085.4,24.0657,9208.761498812382,4112.663956365839,8914.95,22.3138,8247.38336604174,3384.8192146757306,26422.73486413155,11446.557629045366,28795.565617908076,28798.05,3.0,12,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9843.49,23.7716,9008.36419534596,3967.829369328895,10136.0,24.1768,9246.931158998414,4151.235977482401,8946.59,22.2679,8279.372675957487,3390.200690329195,26534.66803030186,11509.26603714049,28923.20542733808,28926.079999999998,3.0,13,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
9870.28,23.8326,9028.640352184611,3988.242804707828,10076.2,24.0707,9200.002571704566,4109.715211621042,9020.17,22.4572,8336.126667207285,3445.6434837596826,26564.769591096465,11543.601500088553,28964.49065702503,28966.65,3.0,14,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
