substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,winter,0.2,0.0,0.8,42,0,161,203,235,0,1386,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,winter,0.2,0.6,0.2,38,113,52,203,459,845,317,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,winter,0.2,0.0,0.8,53,0,239,292,497,0,1328,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,winter,0.2,0.6,0.2,61,177,54,292,355,930,540,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,winter,0.2,0.0,0.8,24,0,76,100,74,0,226,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,winter,0.2,0.6,0.2,16,71,13,100,55,218,27,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,winter,0.2,0.0,0.8,51,0,220,271,178,0,872,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,winter,0.2,0.6,0.2,44,178,49,271,141,757,152,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,winter,0.2,0.0,0.8,46,0,190,236,152,0,1089,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,winter,0.2,0.6,0.2,46,143,47,236,157,639,445,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,winter,0.2,0.0,0.8,44,0,160,204,92,0,494,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,winter,0.2,0.6,0.2,38,127,39,204,118,384,84,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,winter,0.2,0.0,0.8,43,0,156,199,217,0,928,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,winter,0.2,0.6,0.2,38,123,38,199,194,725,226,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,winter,0.2,0.0,0.8,60,0,188,248,565,0,999,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,winter,0.2,0.6,0.2,55,141,52,248,368,786,410,1564
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_0,0,winter,0.2,0.0,0.8,43,0,176,219,423,0,1443,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_1,1,winter,0.2,0.6,0.2,43,130,46,219,260,948,658,1866
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_0,0,winter,0.2,0.0,0.8,37,0,192,229,192,0,727,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_1,1,winter,0.2,0.6,0.2,44,141,44,229,128,599,192,919
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_0,0,winter,0.2,0.0,0.8,25,0,94,119,121,0,329,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_1,1,winter,0.2,0.6,0.2,31,68,20,119,147,176,127,450
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_0,0,winter,0.2,0.0,0.8,35,0,153,188,227,0,1141,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_1,1,winter,0.2,0.6,0.2,41,111,36,188,395,769,204,1368
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_0,0,winter,0.2,0.0,0.8,54,0,228,282,160,0,606,766
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_1,1,winter,0.2,0.6,0.2,62,164,56,282,231,419,116,766
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_0,0,winter,0.2,0.0,0.8,40,0,149,189,320,0,659,979
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_1,1,winter,0.2,0.6,0.2,44,106,39,189,175,501,303,979
uhs14_1247,uhs14_1247--udt11665,uhs14_1247_circuit_45_0,0,winter,0.2,0.0,0.8,48,0,195,243,173,0,564,737
uhs14_1247,uhs14_1247--udt11665,uhs14_1247_circuit_45_1,1,winter,0.2,0.6,0.2,49,148,46,243,168,448,121,737
uhs14_1247,uhs14_1247--udt12226,uhs14_1247_circuit_46_0,0,winter,0.2,0.0,0.8,44,0,193,237,483,0,914,1397
uhs14_1247,uhs14_1247--udt12226,uhs14_1247_circuit_46_1,1,winter,0.2,0.6,0.2,50,141,46,237,270,873,254,1397
uhs14_1247,uhs14_1247--udt5493,uhs14_1247_circuit_47_0,0,winter,0.2,0.0,0.8,45,0,144,189,218,0,761,979
uhs14_1247,uhs14_1247--udt5493,uhs14_1247_circuit_47_1,1,winter,0.2,0.6,0.2,32,116,41,189,102,556,321,979
uhs15_1247,uhs15_1247--udt19670,uhs15_1247_circuit_48_0,0,winter,0.2,0.0,0.8,54,0,253,307,491,0,1393,1884
uhs15_1247,uhs15_1247--udt19670,uhs15_1247_circuit_48_1,1,winter,0.2,0.6,0.2,55,197,55,307,403,1047,434,1884
uhs15_1247,uhs15_1247--udt20824,uhs15_1247_circuit_49_0,0,winter,0.2,0.0,0.8,39,0,178,217,88,0,397,485
uhs15_1247,uhs15_1247--udt20824,uhs15_1247_circuit_49_1,1,winter,0.2,0.6,0.2,43,139,35,217,89,316,80,485
uhs16_1247,uhs16_1247--udt15512,uhs16_1247_circuit_50_0,0,winter,0.2,0.0,0.8,53,0,205,258,179,0,1080,1259
uhs16_1247,uhs16_1247--udt15512,uhs16_1247_circuit_50_1,1,winter,0.2,0.6,0.2,62,146,50,258,417,591,251,1259
uhs16_1247,uhs16_1247--udt310,uhs16_1247_circuit_51_0,0,winter,0.2,0.0,0.8,42,0,177,219,278,0,1439,1717
uhs16_1247,uhs16_1247--udt310,uhs16_1247_circuit_51_1,1,winter,0.2,0.6,0.2,44,142,33,219,364,1151,202,1717
uhs17_1247,uhs17_1247--udt6592,uhs17_1247_circuit_52_0,0,winter,0.2,0.0,0.8,53,0,225,278,609,0,1605,2214
uhs17_1247,uhs17_1247--udt6592,uhs17_1247_circuit_52_1,1,winter,0.2,0.6,0.2,52,167,59,278,544,1212,458,2214
uhs17_1247,uhs17_1247--udt9551,uhs17_1247_circuit_53_0,0,winter,0.2,0.0,0.8,47,0,184,231,198,0,636,834
uhs17_1247,uhs17_1247--udt9551,uhs17_1247_circuit_53_1,1,winter,0.2,0.6,0.2,42,140,49,231,236,380,218,834
uhs18_1247,uhs18_1247--udt11616,uhs18_1247_circuit_54_0,0,winter,0.2,0.0,0.8,59,0,277,336,296,0,1546,1842
uhs18_1247,uhs18_1247--udt11616,uhs18_1247_circuit_54_1,1,winter,0.2,0.6,0.2,62,213,61,336,252,1332,258,1842
uhs18_1247,uhs18_1247--udt13374,uhs18_1247_circuit_55_0,0,winter,0.2,0.0,0.8,28,0,141,169,184,0,378,562
uhs18_1247,uhs18_1247--udt13374,uhs18_1247_circuit_55_1,1,winter,0.2,0.6,0.2,37,100,32,169,108,387,67,562
uhs18_1247,uhs18_1247--udt17294,uhs18_1247_circuit_56_0,0,winter,0.2,0.0,0.8,73,0,286,359,337,0,947,1284
uhs18_1247,uhs18_1247--udt17294,uhs18_1247_circuit_56_1,1,winter,0.2,0.6,0.2,68,222,69,359,235,811,238,1284
uhs19_1247,uhs19_1247--udt15839,uhs19_1247_circuit_57_0,0,winter,0.2,0.0,0.8,2,0,6,8,2,0,6,8
uhs19_1247,uhs19_1247--udt15839,uhs19_1247_circuit_57_1,1,winter,0.2,0.6,0.2,1,5,2,8,1,5,2,8
uhs19_1247,uhs19_1247--udt19872,uhs19_1247_circuit_58_0,0,winter,0.2,0.0,0.8,39,0,180,219,148,0,576,724
uhs19_1247,uhs19_1247--udt19872,uhs19_1247_circuit_58_1,1,winter,0.2,0.6,0.2,47,132,40,219,142,432,150,724
uhs1_1247,uhs1_1247--udt15926,uhs1_1247_circuit_4_0,0,winter,0.2,0.0,0.8,28,0,145,173,189,0,917,1106
uhs1_1247,uhs1_1247--udt15926,uhs1_1247_circuit_4_1,1,winter,0.2,0.6,0.2,31,110,32,173,122,701,283,1106
uhs1_1247,uhs1_1247--udt20176,uhs1_1247_circuit_5_0,0,winter,0.2,0.0,0.8,53,0,227,280,215,0,1979,2194
uhs1_1247,uhs1_1247--udt20176,uhs1_1247_circuit_5_1,1,winter,0.2,0.6,0.2,55,172,53,280,293,1594,307,2194
uhs20_1247,uhs20_1247--udt5173,uhs20_1247_circuit_59_0,0,winter,0.2,0.0,0.8,31,0,138,169,140,0,730,870
uhs20_1247,uhs20_1247--udt5173,uhs20_1247_circuit_59_1,1,winter,0.2,0.6,0.2,27,109,33,169,247,463,160,870
uhs20_1247,uhs20_1247--udt8894,uhs20_1247_circuit_60_0,0,winter,0.2,0.0,0.8,36,0,115,151,330,0,764,1094
uhs20_1247,uhs20_1247--udt8894,uhs20_1247_circuit_60_1,1,winter,0.2,0.6,0.2,30,79,42,151,162,618,314,1094
uhs20_1247,uhs20_1247--udt9897,uhs20_1247_circuit_61_0,0,winter,0.2,0.0,0.8,31,0,113,144,51,0,364,415
uhs20_1247,uhs20_1247--udt9897,uhs20_1247_circuit_61_1,1,winter,0.2,0.6,0.2,29,85,30,144,63,200,152,415
uhs2_1247,uhs2_1247--udt10746,uhs2_1247_circuit_6_0,0,winter,0.2,0.0,0.8,25,0,134,159,105,0,591,696
uhs2_1247,uhs2_1247--udt10746,uhs2_1247_circuit_6_1,1,winter,0.2,0.6,0.2,30,88,41,159,172,308,216,696
uhs2_1247,uhs2_1247--udt12473,uhs2_1247_circuit_7_0,0,winter,0.2,0.0,0.8,53,0,215,268,274,0,845,1119
uhs2_1247,uhs2_1247--udt12473,uhs2_1247_circuit_7_1,1,winter,0.2,0.6,0.2,43,166,59,268,214,608,297,1119
uhs2_1247,uhs2_1247--udt9312,uhs2_1247_circuit_8_0,0,winter,0.2,0.0,0.8,33,0,123,156,193,0,574,767
uhs2_1247,uhs2_1247--udt9312,uhs2_1247_circuit_8_1,1,winter,0.2,0.6,0.2,31,81,44,156,237,380,150,767
uhs3_1247,uhs3_1247--udt1567,uhs3_1247_circuit_9_0,0,winter,0.2,0.0,0.8,61,0,206,267,183,0,648,831
uhs3_1247,uhs3_1247--udt1567,uhs3_1247_circuit_9_1,1,winter,0.2,0.6,0.2,54,163,50,267,143,573,115,831
uhs3_1247,uhs3_1247--udt1571,uhs3_1247_circuit_10_0,0,winter,0.2,0.0,0.8,48,0,182,230,102,0,379,481
uhs3_1247,uhs3_1247--udt1571,uhs3_1247_circuit_10_1,1,winter,0.2,0.6,0.2,41,142,47,230,65,317,99,481
uhs3_1247,uhs3_1247--udt1582,uhs3_1247_circuit_11_0,0,winter,0.2,0.0,0.8,30,0,119,149,72,0,224,296
uhs3_1247,uhs3_1247--udt1582,uhs3_1247_circuit_11_1,1,winter,0.2,0.6,0.2,31,88,30,149,45,215,36,296
uhs4_1247,uhs4_1247--udt11389,uhs4_1247_circuit_14_0,0,winter,0.2,0.0,0.8,46,0,191,237,153,0,365,518
uhs4_1247,uhs4_1247--udt11389,uhs4_1247_circuit_14_1,1,winter,0.2,0.6,0.2,54,138,45,237,108,307,103,518
