hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 900.00000, 7415.53, -6.14913E-005, 7415.53, -120, 7415.53, 120, 1404.37, -21.3691, 1409.77, -141.522, 1328.51, 99.0655
0, 1800.00000, 7415.53, -5.89755E-005, 7415.53, -120, 7415.53, 120, 1349.79, -21.4224, 1384.84, -141.891, 1274.02, 98.6276
0, 2700.00000, 7415.53, -5.89287E-005, 7415.53, -120, 7415.53, 120, 1346.5, -21.381, 1356.85, -141.875, 1258, 98.7107
1, 0.00000, 7415.53, -5.77422E-005, 7415.53, -120, 7415.53, 120, 1364.35, -22.2039, 1380.04, -142.755, 1266.68, 98.5482
1, 900.00000, 7415.53, -5.53623E-005, 7415.53, -120, 7415.53, 120, 1336.42, -22.7128, 1358.93, -143.176, 1246.73, 98.3577
1, 1800.00000, 7415.53, -5.4906E-005, 7415.53, -120, 7415.53, 120, 1325.01, -22.7057, 1341.6, -143.136, 1233.65, 98.4296
1, 2700.00000, 7415.53, -5.41498E-005, 7415.53, -120, 7415.53, 120, 1321.56, -22.9683, 1352.72, -143.424, 1228.74, 98.3552
2, 0.00000, 7415.53, -5.3158E-005, 7415.53, -120, 7415.53, 120, 1319.41, -23.3553, 1360.51, -143.727, 1239.2, 97.947
2, 900.00000, 7415.53, -5.32135E-005, 7415.53, -120, 7415.53, 120, 1339.77, -23.677, 1364.13, -143.946, 1245.72, 97.5878
2, 1800.00000, 7415.53, -5.2816E-005, 7415.53, -120, 7415.53, 120, 1325.77, -23.6096, 1361.14, -144.067, 1222.57, 97.8609
2, 2700.00000, 7415.53, -5.24026E-005, 7415.53, -120, 7415.53, 120, 1321.77, -23.7177, 1357.46, -144.138, 1211.53, 97.8412
3, 0.00000, 7415.53, -5.22596E-005, 7415.53, -120, 7415.53, 120, 1321.24, -23.7697, 1360.03, -144.066, 1202.2, 97.6861
3, 900.00000, 7415.53, -5.24993E-005, 7415.53, -120, 7415.53, 120, 1327.42, -23.7717, 1366.86, -144.177, 1206.47, 97.7321
3, 1800.00000, 7415.53, -5.24979E-005, 7415.53, -120, 7415.53, 120, 1331.03, -23.8327, 1358.79, -144.071, 1216.39, 97.5427
3, 2700.00000, 7415.53, -5.26285E-005, 7415.53, -120, 7415.53, 120, 1346.71, -24.0363, 1375.11, -144.395, 1216.76, 97.3699
4, 0.00000, 7415.53, -5.26951E-005, 7415.53, -120, 7415.53, 120, 1359.28, -24.2117, 1390.74, -144.556, 1229.37, 97.2778
4, 900.00000, 7415.53, -5.30234E-005, 7415.53, -120, 7415.53, 120, 1376.99, -24.3577, 1401.71, -144.761, 1233.29, 97.1687
4, 1800.00000, 7415.53, -5.3907E-005, 7415.53, -120, 7415.53, 120, 1427.37, -24.7721, 1455.78, -145.151, 1260.85, 96.8522
4, 2700.00000, 7415.53, -5.45827E-005, 7415.52, -120, 7415.53, 120, 1456.96, -24.9416, 1483.02, -145.354, 1284.44, 96.6872
5, 0.00000, 7415.52, -5.45102E-005, 7415.52, -120, 7415.53, 120, 1473.57, -25.2046, 1500.1, -145.627, 1298.92, 96.4373
5, 900.00000, 7415.52, -5.52159E-005, 7415.52, -120, 7415.53, 120, 1507.19, -25.4037, 1539.36, -145.882, 1326.76, 96.1619
5, 1800.00000, 7415.52, -5.79074E-005, 7415.52, -120, 7415.53, 120, 1493.94, -24.2154, 1527.31, -144.194, 1322.37, 97.4425
5, 2700.00000, 7415.52, -5.86299E-005, 7415.52, -120, 7415.53, 120, 1495.09, -23.9609, 1539.59, -144.499, 1336.38, 97.7053
6, 0.00000, 7415.52, -6.01921E-005, 7415.52, -120, 7415.53, 120, 1496.78, -23.3983, 1541.94, -144.222, 1321.21, 98.4844
6, 900.00000, 7415.52, -6.11522E-005, 7415.52, -120, 7415.53, 120, 1507.71, -23.2036, 1550.21, -143.831, 1336.13, 98.5139
6, 1800.00000, 7415.52, -6.28952E-005, 7415.52, -120, 7415.53, 120, 1510.15, -22.5875, 1560.66, -143.168, 1348.27, 99.0875
6, 2700.00000, 7415.52, -5.96465E-005, 7415.52, -120, 7415.53, 120, 1543.37, -24.28, 1597.9, -144.588, 1377.94, 96.9732
7, 0.00000, 7415.52, -6.23585E-005, 7415.52, -120, 7415.53, 120, 1546.1, -23.3319, 1606.42, -143.965, 1385.29, 97.6038
7, 900.00000, 7415.52, -6.18951E-005, 7415.52, -120, 7415.53, 120, 1548.02, -23.5288, 1599.05, -144.125, 1383.18, 97.478
7, 1800.00000, 7415.52, -6.60418E-005, 7415.52, -120, 7415.53, 120, 1530.83, -21.7382, 1581.91, -142.219, 1379.94, 98.0225
7, 2700.00000, 7415.52, -6.76646E-005, 7415.52, -120, 7415.53, 120, 1528.77, -21.0976, 1577.31, -141.826, 1377.59, 98.6696
8, 0.00000, 7415.52, -6.72676E-005, 7415.52, -120, 7415.53, 120, 1530.9, -21.2815, 1583.14, -141.99, 1383.15, 98.4467
8, 900.00000, 7415.52, -7.00577E-005, 7415.52, -120, 7415.53, 120, 1585.86, -21.1462, 1637.21, -141.938, 1428.21, 98.4468
8, 1800.00000, 7415.52, -6.65053E-005, 7415.52, -120, 7415.53, 120, 1610.68, -22.7908, 1659.72, -143.439, 1438.38, 98.0817
8, 2700.00000, 7415.52, -6.35431E-005, 7415.52, -120, 7415.53, 120, 1609.64, -23.8144, 1649.01, -144.419, 1431.41, 97.7681
9, 0.00000, 7415.52, -6.52745E-005, 7415.52, -120, 7415.53, 120, 1599.07, -23.0568, 1631.61, -143.183, 1406.09, 98.6582
9, 900.00000, 7415.52, -6.62875E-005, 7415.52, -120, 7415.53, 120, 1591.38, -22.5845, 1620.77, -142.52, 1398.16, 99.3072
9, 1800.00000, 7415.52, -6.86323E-005, 7415.52, -120, 7415.53, 120, 1670.43, -22.9064, 1697.04, -142.749, 1466.96, 98.9264
9, 2700.00000, 7415.52, -6.68372E-005, 7415.52, -120, 7415.53, 120, 1635, -23.0236, 1671.36, -142.99, 1438.84, 98.7629
10, 0.00000, 7415.52, -6.60045E-005, 7415.52, -120, 7415.52, 120, 1667.79, -23.7588, 1711.23, -144.228, 1492.31, 97.5723
10, 900.00000, 7415.52, -6.61561E-005, 7415.52, -120, 7415.53, 120, 1643.66, -23.3794, 1683.52, -143.817, 1473.28, 97.7968
10, 1800.00000, 7415.52, -6.54372E-005, 7415.52, -120, 7415.53, 120, 1606.38, -23.1045, 1642.09, -143.589, 1430.66, 98.1566
10, 2700.00000, 7415.52, -6.47894E-005, 7415.52, -120, 7415.53, 120, 1588.27, -23.0725, 1611.46, -143.44, 1404.76, 98.2792
11, 0.00000, 7415.52, -6.35207E-005, 7415.52, -120, 7415.53, 120, 1569.34, -23.251, 1599.5, -143.723, 1398.05, 98.0184
11, 900.00000, 7415.52, -6.30243E-005, 7415.52, -120, 7415.53, 120, 1521.2, -22.7109, 1572.74, -143.361, 1386.52, 98.1722
11, 1800.00000, 7415.53, -6.21081E-005, 7415.52, -120, 7415.53, 120, 1483.21, -22.4592, 1536.7, -143.092, 1379.55, 98.1182
11, 2700.00000, 7415.53, -6.2622E-005, 7415.52, -120, 7415.53, 120, 1474.85, -22.1262, 1519.08, -142.361, 1372.18, 98.6311
12, 0.00000, 7415.53, -6.23207E-005, 7415.53, -120, 7415.53, 120, 1449.22, -21.8167, 1480.87, -141.922, 1348.1, 99.0071
