hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 10414.1, 21.3691, 10454.2, 21.5215, 9851.59, 20.9344
0, 1800.00000, 10009.4, 21.4223, 10269.3, 21.8909, 9447.53, 21.3724
0, 2700.00000, 9984.99, 21.3809, 10061.8, 21.8748, 9328.73, 21.2892
1, 0.00000, 10117.3, 22.2038, 10233.7, 22.755, 9393.12, 21.4517
1, 900.00000, 9910.29, 22.7127, 10077.2, 23.1762, 9245.16, 21.6422
1, 1800.00000, 9825.68, 22.7056, 9948.71, 23.1363, 9148.17, 21.5704
1, 2700.00000, 9800.08, 22.9683, 10031.1, 23.424, 9111.78, 21.6447
2, 0.00000, 9784.15, 23.3552, 10088.9, 23.7269, 9189.34, 22.0529
2, 900.00000, 9935.09, 23.6769, 10115.7, 23.9457, 9237.64, 22.4121
2, 1800.00000, 9831.31, 23.6096, 10093.6, 24.067, 9066.01, 22.139
2, 2700.00000, 9801.61, 23.7177, 10066.3, 24.1379, 8984.14, 22.1587
3, 0.00000, 9797.7, 23.7697, 10085.4, 24.0657, 8914.95, 22.3138
3, 900.00000, 9843.49, 23.7716, 10136, 24.1768, 8946.59, 22.2679
3, 1800.00000, 9870.28, 23.8326, 10076.2, 24.0707, 9020.17, 22.4572
3, 2700.00000, 9986.55, 24.0362, 10197.1, 24.395, 9022.94, 22.6301
4, 0.00000, 10079.8, 24.2116, 10313.1, 24.5563, 9116.44, 22.7221
4, 900.00000, 10211.1, 24.3577, 10394.4, 24.7608, 9145.47, 22.8312
4, 1800.00000, 10584.7, 24.772, 10795.4, 25.1512, 9349.9, 23.1478
4, 2700.00000, 10804.1, 24.9416, 10997.4, 25.3541, 9524.79, 23.3128
5, 0.00000, 10927.3, 25.2046, 11124, 25.6269, 9632.2, 23.5627
5, 900.00000, 11176.6, 25.4036, 11415.2, 25.8819, 9838.64, 23.838
5, 1800.00000, 11078.3, 24.2154, 11325.8, 24.194, 9806.04, 22.5575
5, 2700.00000, 11086.9, 23.9609, 11416.9, 24.4992, 9909.97, 22.2946
6, 0.00000, 11099.4, 23.3983, 11434.3, 24.2223, 9797.47, 21.5156
6, 900.00000, 11180.5, 23.2036, 11495.6, 23.8306, 9908.12, 21.486
6, 1800.00000, 11198.6, 22.5874, 11573.1, 23.1684, 9998.14, 20.9124
6, 2700.00000, 11444.9, 24.2799, 11849.2, 24.5877, 10218.2, 23.0267
7, 0.00000, 11465.2, 23.3318, 11912.5, 23.9649, 10272.6, 22.3961
7, 900.00000, 11479.4, 23.5288, 11857.8, 24.1245, 10257, 22.5219
7, 1800.00000, 11351.9, 21.7381, 11730.7, 22.2187, 10233, 21.9775
7, 2700.00000, 11336.6, 21.0975, 11696.6, 21.8258, 10215.5, 21.3303
8, 0.00000, 11352.4, 21.2814, 11739.8, 21.9904, 10256.8, 21.5532
8, 900.00000, 11760, 21.1462, 12140.8, 21.9376, 10591, 21.5532
8, 1800.00000, 11944, 22.7908, 12307.7, 23.4385, 10666.4, 21.9182
8, 2700.00000, 11936.3, 23.8143, 12228.3, 24.4191, 10614.7, 22.2318
9, 0.00000, 11858, 23.0567, 12099.2, 23.1826, 10426.9, 21.3417
9, 900.00000, 11800.9, 22.5844, 12018.8, 22.5194, 10368.1, 20.6927
9, 1800.00000, 12387.1, 22.9063, 12584.5, 22.7484, 10878.3, 21.0735
9, 2700.00000, 12124.3, 23.0236, 12394, 22.9897, 10669.8, 21.237
10, 0.00000, 12367.6, 23.7587, 12689.6, 24.2282, 11066.2, 22.4277
10, 900.00000, 12188.6, 23.3793, 12484.1, 23.8172, 10925.1, 22.2031
10, 1800.00000, 11912.1, 23.1044, 12176.9, 23.5888, 10609.1, 21.8433
10, 2700.00000, 11777.9, 23.0724, 11949.8, 23.4395, 10417, 21.7207
11, 0.00000, 11637.4, 23.251, 11861.1, 23.7234, 10367.3, 21.9815
11, 900.00000, 11280.5, 22.7108, 11662.7, 23.361, 10281.8, 21.8278
11, 1800.00000, 10998.8, 22.4591, 11395.4, 23.0923, 10230.1, 21.8817
11, 2700.00000, 10936.8, 22.1262, 11264.8, 22.3613, 10175.4, 21.3688
12, 0.00000, 10746.8, 21.8167, 10981.4, 21.9219, 9996.88, 20.9929
12, 900.00000, 10641.1, 21.4792, 10853.2, 21.4273, 9973.14, 20.6534
12, 1800.00000, 10589.3, 21.8886, 10852.7, 22.2526, 9787.31, 20.8478
12, 2700.00000, 10346.2, 21.453, 10600.3, 22.0362, 9530.25, 20.429
13, 0.00000, 10300.9, 21.8652, 10628.9, 22.5232, 9516.25, 20.915
13, 900.00000, 10164.4, 21.8719, 10343.1, 22.3432, 9262.97, 20.7422
13, 1800.00000, 10258.5, 21.3913, 10364, 21.7337, 9229.9, 20.2886
13, 2700.00000, 10000, 20.6523, 10176.7, 20.8236, 9228.3, 20.0388
14, 0.00000, 9675.2, 20.3823, 9827.34, 20.6395, 8980.43, 19.8722
14, 900.00000, 9445.28, 20.3563, 9569.58, 20.4975, 8839.83, 19.8244
14, 1800.00000, 9493.99, 20.7319, 9454.17, 20.5926, 8757.87, 20.0878
14, 2700.00000, 9368.76, 20.5354, 9264.15, 20.152, 8699.49, 19.7285
15, 0.00000, 9034.13, 19.961, 8972.11, 19.7257, 8480.02, 19.3981
15, 900.00000, 8999.5, 20.7977, 8912, 20.7678, 8407.64, 19.993
