hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.150144, 0.144024, 0.149736, -0.129502, 0.150663, -0.014087, 0, 0
0, 1800.00000, 0.150118, 0.179802, 0.149622, -0.175282, 0.150801, -0.00516179, 0, 0
0, 2700.00000, 0.150087, 0.173007, 0.149667, -0.174519, 0.150788, 0.00108509, 0, 0
1, 0.00000, 0.150111, 0.170471, 0.149663, -0.16119, 0.150767, -0.0098051, 0, 0
1, 900.00000, 0.150135, 0.160468, 0.149674, -0.141149, 0.150731, -0.0196415, 0, 0
1, 1800.00000, 0.150177, 0.195757, 0.149576, -0.155022, 0.150789, -0.0411591, 0, 0
1, 2700.00000, 0.150196, 0.198081, 0.149563, -0.14654, 0.150782, -0.0520502, 0, 0
2, 0.00000, 0.150147, 0.201116, 0.14957, -0.170721, 0.150825, -0.0306068, 0, 0
2, 900.00000, 0.150122, 0.184684, 0.149612, -0.168564, 0.150807, -0.0167095, 0, 0
2, 1800.00000, 0.150052, 0.193225, 0.149587, -0.198492, 0.150902, 0.00461583, 0, 0
2, 2700.00000, 0.150044, 0.201115, 0.149568, -0.21018, 0.15093, 0.00834, 0, 0
3, 0.00000, 0.150039, 0.203129, 0.149559, -0.216031, 0.150944, 0.0120656, 0, 0
3, 900.00000, 0.150043, 0.200513, 0.14956, -0.21219, 0.150939, 0.0109245, 0, 0
3, 1800.00000, 0.150072, 0.176226, 0.149644, -0.181264, 0.150825, 0.00453028, 0, 0
3, 2700.00000, 0.150067, 0.190949, 0.149596, -0.196224, 0.150878, 0.00437437, 0, 0
4, 0.00000, 0.150057, 0.180156, 0.149627, -0.189344, 0.150857, 0.00855544, 0, 0
4, 900.00000, 0.150054, 0.177825, 0.149641, -0.186222, 0.150847, 0.00807426, 0, 0
4, 1800.00000, 0.150064, 0.187135, 0.14961, -0.193676, 0.150868, 0.00586828, 0, 0
4, 2700.00000, 0.150064, 0.184673, 0.149611, -0.192637, 0.150866, 0.00711267, 0, 0
5, 0.00000, 0.150057, 0.186177, 0.149603, -0.195413, 0.15088, 0.0083698, 0, 0
5, 900.00000, 0.150082, 0.193276, 0.149581, -0.194495, 0.150879, 0.000464135, 0, 0
5, 1800.00000, 0.149952, 0.163598, 0.14973, -0.21176, 0.15086, 0.0476269, 0, 0
5, 2700.00000, 0.150026, 0.181896, 0.149619, -0.203844, 0.150897, 0.0212034, 0, 0
6, 0.00000, 0.150052, 0.186287, 0.149585, -0.200496, 0.150905, 0.0134178, 0, 0
6, 900.00000, 0.15002, 0.173988, 0.149645, -0.204374, 0.150877, 0.0297125, 0, 0
6, 1800.00000, 0.149977, 0.187682, 0.149615, -0.234747, 0.15095, 0.0461918, 0, 0
6, 2700.00000, 0.149968, 0.193509, 0.149598, -0.243065, 0.150976, 0.0485292, 0, 0
7, 0.00000, 0.14997, 0.188946, 0.149611, -0.243339, 0.150961, 0.0534769, 0, 0
7, 900.00000, 0.14998, 0.191983, 0.149603, -0.237778, 0.150958, 0.0450328, 0, 0
7, 1800.00000, 0.149948, 0.180712, 0.149655, -0.236405, 0.150939, 0.0549068, 0, 0
7, 2700.00000, 0.149972, 0.17942, 0.149637, -0.225787, 0.150935, 0.0460437, 0, 0
8, 0.00000, 0.150001, 0.185739, 0.149595, -0.219874, 0.150946, 0.0333141, 0, 0
8, 900.00000, 0.150004, 0.181889, 0.149612, -0.216872, 0.150926, 0.0341427, 0, 0
8, 1800.00000, 0.14997, 0.177239, 0.149624, -0.219634, 0.150948, 0.0415676, 0, 0
8, 2700.00000, 0.149996, 0.168831, 0.14964, -0.205044, 0.150907, 0.0356945, 0, 0
9, 0.00000, 0.149941, 0.152947, 0.149762, -0.209642, 0.15084, 0.0561554, 0, 0
9, 900.00000, 0.149932, 0.145262, 0.149781, -0.206559, 0.150829, 0.0607565, 0, 0
9, 1800.00000, 0.149941, 0.167886, 0.149721, -0.225488, 0.15088, 0.056788, 0, 0
9, 2700.00000, 0.149908, 0.147001, 0.149773, -0.213188, 0.15086, 0.0656356, 0, 0
10, 0.00000, 0.14997, 0.144889, 0.149704, -0.192625, 0.150868, 0.0469834, 0, 0
10, 900.00000, 0.149956, 0.14219, 0.149728, -0.194047, 0.150859, 0.051543, 0, 0
10, 1800.00000, 0.149965, 0.157933, 0.149678, -0.208002, 0.150898, 0.0494123, 0, 0
10, 2700.00000, 0.149985, 0.161648, 0.149666, -0.206656, 0.150892, 0.0444822, 0, 0
11, 0.00000, 0.150022, 0.170666, 0.149628, -0.201788, 0.150892, 0.0303891, 0, 0
11, 900.00000, 0.149993, 0.164032, 0.149659, -0.20576, 0.15089, 0.0410618, 0, 0
11, 1800.00000, 0.150121, 0.15193, 0.149685, -0.153999, 0.150735, 0.00168168, 0, 0
11, 2700.00000, 0.150052, 0.126248, 0.1498, -0.154149, 0.15069, 0.0275501, 0, 0
12, 0.00000, 0.150048, 0.122229, 0.149812, -0.15062, 0.15068, 0.0280502, 0, 0
12, 900.00000, 0.150024, 0.111514, 0.149854, -0.147692, 0.150663, 0.0360126, 0, 0
12, 1800.00000, 0.150079, 0.129413, 0.149754, -0.147178, 0.150708, 0.0173229, 0, 0
12, 2700.00000, 0.150097, 0.108685, 0.149798, -0.125778, 0.150646, 0.0168677, 0, 0
13, 0.00000, 0.150099, 0.124788, 0.149748, -0.143067, 0.150694, 0.0178473, 0, 0
13, 900.00000, 0.150077, 0.0910967, 0.149854, -0.115526, 0.15061, 0.0242254, 0, 0
13, 1800.00000, 0.150001, 0.0904899, 0.149881, -0.13278, 0.150658, 0.0419949, 0, 0
13, 2700.00000, 0.149961, 0.096743, 0.149889, -0.151397, 0.15069, 0.054345, 0, 0
14, 0.00000, 0.149998, 0.0743642, 0.149953, -0.116771, 0.150591, 0.0426423, 0, 0
14, 900.00000, 0.150023, 0.0564454, 0.150008, -0.090611, 0.150508, 0.0340227, 0, 0
