hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 6.41745, 0.214096, 6.39021, -0.175088, 6.44633, -0.038553, 0, 0
0, 1800.00000, 6.41452, 0.257331, 6.38453, -0.240229, 6.45478, -0.0182293, 0, 0
0, 2700.00000, 6.41331, 0.243805, 6.38725, -0.23277, 6.45329, -0.0118242, 0, 0
1, 0.00000, 6.4137, 0.240111, 6.38735, -0.224312, 6.45277, -0.0166762, 0, 0
1, 900.00000, 6.41582, 0.22744, 6.38778, -0.191857, 6.45022, -0.0361862, 0, 0
1, 1800.00000, 6.41824, 0.275804, 6.38189, -0.214116, 6.45373, -0.0625204, 0, 0
1, 2700.00000, 6.41856, 0.278228, 6.38133, -0.210029, 6.45394, -0.0691477, 0, 0
2, 0.00000, 6.41654, 0.291684, 6.38081, -0.240669, 6.45657, -0.0516685, 0, 0
2, 900.00000, 6.41466, 0.267274, 6.38353, -0.238718, 6.45565, -0.0296354, 0, 0
2, 1800.00000, 6.41153, 0.280916, 6.38186, -0.274166, 6.46048, -0.00796614, 0, 0
2, 2700.00000, 6.41179, 0.294637, 6.38039, -0.285078, 6.46171, -0.0108807, 0, 0
3, 0.00000, 6.41125, 0.297392, 6.37991, -0.294577, 6.46272, -0.00432409, 0, 0
3, 900.00000, 6.41095, 0.29598, 6.37991, -0.295442, 6.46304, -0.00193411, 0, 0
3, 1800.00000, 6.41266, 0.260202, 6.38491, -0.251667, 6.45629, -0.00951923, 0, 0
3, 2700.00000, 6.41234, 0.278215, 6.38237, -0.270195, 6.45911, -0.00953343, 0, 0
4, 0.00000, 6.41175, 0.261932, 6.38438, -0.260453, 6.45773, -0.00262216, 0, 0
4, 900.00000, 6.41136, 0.261354, 6.38495, -0.259696, 6.4576, -0.00242281, 0, 0
4, 1800.00000, 6.41215, 0.268452, 6.38349, -0.262968, 6.45822, -0.00667886, 0, 0
4, 2700.00000, 6.41203, 0.264144, 6.38379, -0.261536, 6.45801, -0.0039589, 0, 0
5, 0.00000, 6.41168, 0.265468, 6.3836, -0.264455, 6.45856, -0.00230886, 0, 0
5, 900.00000, 6.41303, 0.275203, 6.38204, -0.262816, 6.45877, -0.0137725, 0, 0
5, 1800.00000, 6.40484, 0.212409, 6.39291, -0.27552, 6.45612, 0.062181, 0, 0
5, 2700.00000, 6.40912, 0.245929, 6.38594, -0.269484, 6.45878, 0.0223267, 0, 0
6, 0.00000, 6.41035, 0.249726, 6.38438, -0.264465, 6.45911, 0.0134873, 0, 0
6, 900.00000, 6.40942, 0.237024, 6.38684, -0.264508, 6.4576, 0.0263623, 0, 0
6, 1800.00000, 6.40746, 0.250234, 6.38637, -0.293317, 6.46004, 0.0417684, 0, 0
6, 2700.00000, 6.40721, 0.25873, 6.3858, -0.300863, 6.46087, 0.0407152, 0, 0
7, 0.00000, 6.40703, 0.254393, 6.38615, -0.302525, 6.4607, 0.0467473, 0, 0
7, 900.00000, 6.40752, 0.257601, 6.38588, -0.29806, 6.46049, 0.03918, 0, 0
7, 1800.00000, 6.40617, 0.246367, 6.38742, -0.29795, 6.46029, 0.050295, 0, 0
7, 2700.00000, 6.40742, 0.242771, 6.38652, -0.284095, 6.45998, 0.0403785, 0, 0
