bldg_id,Occurrence_Count,Unique_Source_Files
326046,10,"['com_13274.parquet', 'com_15057.parquet', 'com_13248.parquet', 'com_15142.parquet', 'com_12774.parquet', 'com_14217.parquet', 'com_14855.parquet', 'com_14708.parquet', 'com_12845.parquet', 'com_14432.parquet']"
325556,5,"['com_14010.parquet', 'com_14090.parquet', 'com_12775.parquet', 'com_13545.parquet', 'com_13811.parquet']"
325663,16,"['com_13719.parquet', 'com_14090.parquet', 'com_15118.parquet', 'com_12775.parquet', 'com_13382.parquet', 'com_14291.parquet', 'com_13229.parquet', 'com_13682.parquet', 'com_14383.parquet', 'com_13576.parquet', 'com_13811.parquet', 'com_13980.parquet', 'com_15073.parquet', 'com_15266.parquet', 'com_14926.parquet', 'com_14393.parquet']"
326006,2,"['com_12775.parquet', 'com_13811.parquet']"
325695,13,"['com_13011.parquet', 'com_12779.parquet', 'com_15075.parquet', 'com_15133.parquet', 'com_12871.parquet', 'com_13188.parquet', 'com_15135.parquet', 'com_14859.parquet', 'com_15263.parquet', 'com_13939.parquet', 'com_15076.parquet', 'com_15183.parquet', 'com_13182.parquet']"
325534,3,"['com_12783.parquet', 'com_14101.parquet', 'com_13663.parquet']"
325542,9,"['com_13777.parquet', 'com_14617.parquet', 'com_12942.parquet', 'com_13683.parquet', 'com_15000.parquet', 'com_15067.parquet', 'com_12785.parquet', 'com_13949.parquet', 'com_13074.parquet']"
325863,12,"['com_14106.parquet', 'com_12831.parquet', 'com_14826.parquet', 'com_14178.parquet', 'com_13406.parquet', 'com_13683.parquet', 'com_14287.parquet', 'com_12785.parquet', 'com_13492.parquet', 'com_14455.parquet', 'com_14266.parquet', 'com_13815.parquet']"
325769,10,"['com_15026.parquet', 'com_13270.parquet', 'com_13680.parquet', 'com_15082.parquet', 'com_12786.parquet', 'com_14859.parquet', 'com_13193.parquet', 'com_15135.parquet', 'com_14594.parquet', 'com_13401.parquet']"
325549,15,"['com_13905.parquet', 'com_14534.parquet', 'com_14489.parquet', 'com_14553.parquet', 'com_12909.parquet', 'com_13069.parquet', 'com_14798.parquet', 'com_15221.parquet', 'com_13049.parquet', 'com_14342.parquet', 'com_13597.parquet', 'com_12789.parquet', 'com_13788.parquet', 'com_14339.parquet', 'com_14046.parquet']"
325721,9,"['com_13905.parquet', 'com_13899.parquet', 'com_14527.parquet', 'com_14534.parquet', 'com_13069.parquet', 'com_13459.parquet', 'com_14849.parquet', 'com_13788.parquet', 'com_12789.parquet']"
325672,5,"['com_14007.parquet', 'com_15210.parquet', 'com_12790.parquet', 'com_15084.parquet', 'com_13074.parquet']"
