Source_File,State,Matched_Buildings,Tolerance
com_12774.parquet,VT,[326046],20.0
com_12775.parquet,VT,"[325556, 325663, 326006]",20.0
com_12779.parquet,VT,[325695],10.0
com_12783.parquet,VT,[325534],5.0
com_12785.parquet,VT,"[325542, 325863]",35.0
com_12786.parquet,VT,[325769],15.0
com_12789.parquet,VT,"[325549, 325721]",50.0
com_12790.parquet,VT,[325672],15.0
com_12792.parquet,VT,"[325817, 325842]",20.0
com_12794.parquet,VT,[325670],30.0
com_12795.parquet,VT,"[325620, 325671, 325685]",30.0
com_12797.parquet,VT,[325599],35.0
com_12801.parquet,VT,"[325689, 325847, 325890, 325937, 325995]",20.0
com_12805.parquet,VT,"[325639, 325662, 325853]",20.0
com_12806.parquet,VT,"[325681, 325866]",15.0
com_12809.parquet,VT,"[325865, 326013]",50.0
com_12812.parquet,VT,[325728],10.0
com_12813.parquet,VT,[325892],25.0
com_12814.parquet,VT,"[325530, 325690, 325888, 325892, 326001]",35.0
com_12815.parquet,VT,"[325742, 325895]",35.0
com_12816.parquet,VT,"[325869, 325888, 325943, 326031]",30.0
com_12817.parquet,VT,"[325559, 326053]",20.0
com_12819.parquet,VT,"[325558, 325957]",15.0
com_12821.parquet,VT,[325559],15.0
com_12824.parquet,VT,[325654],10.0
com_12826.parquet,VT,"[325671, 325925]",20.0
com_12831.parquet,VT,"[325823, 325863]",15.0
com_12832.parquet,VT,"[325532, 325566, 325717]",10.0
com_12841.parquet,VT,[325939],30.0
com_12842.parquet,VT,"[325539, 326031]",25.0
com_12843.parquet,VT,"[325522, 325768]",20.0
com_12845.parquet,VT,[326046],25.0
com_12846.parquet,VT,"[325523, 325739]",40.0
com_12847.parquet,VT,[325859],10.0
com_12848.parquet,VT,"[325559, 325573, 325660]",15.0
com_12852.parquet,VT,"[325559, 325842, 325960]",20.0
com_12854.parquet,VT,[325939],40.0
com_12855.parquet,VT,"[325648, 325767, 325901]",30.0
com_12857.parquet,VT,"[325659, 325935]",20.0
com_12863.parquet,VT,"[325563, 325929, 326002]",15.0
com_12866.parquet,VT,"[325879, 326052]",15.0
com_12871.parquet,VT,"[325695, 326015]",15.0
com_12878.parquet,VT,"[325521, 325539]",30.0
com_12884.parquet,VT,"[325659, 325935]",20.0
com_12885.parquet,VT,"[325555, 325613]",15.0
com_12891.parquet,VT,[325716],20.0
com_12893.parquet,VT,"[325559, 325573]",10.0
com_12894.parquet,VT,"[325817, 325935]",20.0
com_12896.parquet,VT,[325796],30.0
com_12903.parquet,VT,[326016],15.0
com_12907.parquet,VT,[325600],10.0
com_12909.parquet,VT,[325549],10.0
com_12911.parquet,VT,[325788],20.0
com_12914.parquet,VT,[325984],15.0
com_12916.parquet,VT,[325567],40.0
com_12917.parquet,VT,"[325746, 325823, 325931]",15.0
com_12920.parquet,VT,[325539],15.0
com_12921.parquet,VT,[325891],25.0
com_12923.parquet,VT,[325559],15.0
com_12926.parquet,VT,[325617],20.0
com_12928.parquet,VT,[],
com_12935.parquet,VT,"[325715, 325740, 325901]",20.0
com_12939.parquet,VT,"[325819, 325867]",15.0
com_12941.parquet,VT,"[325703, 326000]",45.0
com_12942.parquet,VT,"[325542, 325775, 325840]",25.0
com_12953.parquet,VT,[325665],30.0
com_12955.parquet,VT,[325989],20.0
com_12961.parquet,VT,[325788],20.0
com_12965.parquet,VT,"[325539, 325787, 326031]",25.0
com_12966.parquet,VT,[325867],10.0
com_12967.parquet,VT,[325869],15.0
com_12970.parquet,VT,"[325744, 325819]",15.0
com_12972.parquet,VT,"[325559, 325960]",15.0
com_12975.parquet,VT,"[325659, 326003, 326012]",20.0
com_12976.parquet,VT,"[325690, 325888, 325982, 326001]",20.0
com_12977.parquet,VT,[325558],10.0
com_12982.parquet,VT,[325600],15.0
com_12983.parquet,VT,"[325785, 325967, 326014]",10.0
com_12986.parquet,VT,[326045],30.0
com_12992.parquet,VT,"[325538, 325639, 325689, 325890]",20.0
com_12995.parquet,VT,[],
com_12998.parquet,VT,[325796],40.0
com_13000.parquet,VT,"[325587, 325623, 325849]",40.0
com_13002.parquet,VT,[325781],30.0
com_13004.parquet,VT,[325939],35.0
com_13009.parquet,VT,"[325941, 326015]",10.0
com_13010.parquet,VT,"[325688, 325984]",10.0
com_13011.parquet,VT,"[325600, 325695, 325801, 325941, 326015]",15.0
com_13016.parquet,VT,"[325559, 325573, 325960]",15.0
com_13018.parquet,VT,[325885],25.0
com_13023.parquet,VT,"[325620, 325681, 325685, 325801, 325866, 325871, 325901, 325907]",35.0
com_13024.parquet,VT,[325617],30.0
com_13025.parquet,VT,[325885],20.0
com_13028.parquet,VT,[],
com_13031.parquet,VT,[325892],25.0
com_13037.parquet,VT,"[325665, 325684, 325738, 325778]",45.0
com_13043.parquet,VT,[325984],10.0
com_13044.parquet,VT,[325796],40.0
com_13047.parquet,VT,[325984],15.0
com_13049.parquet,VT,"[325549, 325846, 325964]",25.0
com_13051.parquet,VT,"[325681, 325866]",30.0
com_13056.parquet,VT,"[325725, 325989, 326050]",20.0
com_13058.parquet,VT,[325670],25.0
com_13059.parquet,VT,[325939],25.0
com_13063.parquet,VT,[325716],20.0
com_13065.parquet,VT,"[325714, 325785, 325905, 325934, 325961, 326014, 326034]",15.0
com_13066.parquet,VT,"[325547, 325554, 325849]",25.0
com_13069.parquet,VT,"[325549, 325611, 325721, 325891, 325964, 326018]",40.0
com_13074.parquet,VT,"[325542, 325672]",20.0
com_13076.parquet,VT,[325611],35.0
com_13079.parquet,VT,"[325554, 325617, 325944]",35.0
com_13080.parquet,VT,[325555],15.0
com_13081.parquet,VT,"[325665, 325778]",35.0
com_13083.parquet,VT,[325524],20.0
com_13085.parquet,VT,[325935],20.0
com_13088.parquet,VT,"[325557, 325806, 325895]",35.0
com_13090.parquet,VT,[325796],50.0
com_13096.parquet,VT,[326001],30.0
com_13100.parquet,VT,[325989],20.0
com_13102.parquet,VT,[325937],15.0
com_13103.parquet,VT,[325750],20.0
com_13107.parquet,VT,"[325683, 325917]",25.0
com_13109.parquet,VT,[],
com_13112.parquet,VT,[325559],20.0
com_13114.parquet,VT,"[325576, 325673]",20.0
com_13116.parquet,VT,"[325929, 326002]",15.0
com_13121.parquet,VT,"[325519, 325885]",35.0
com_13123.parquet,VT,[325935],20.0
com_13126.parquet,VT,"[325873, 325935]",20.0
com_13132.parquet,VT,"[325557, 325806]",35.0
com_13134.parquet,VT,[325540],30.0
com_13135.parquet,VT,"[325659, 325935]",20.0
com_13137.parquet,VT,[325559],15.0
com_13138.parquet,VT,[325867],15.0
com_13141.parquet,VT,"[325546, 325660]",15.0
com_13144.parquet,VT,"[325665, 325891, 326018]",50.0
com_13145.parquet,VT,[325937],15.0
