bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
7583,0,2179,13633.0,0-30%,,4,Cold,Not in a census Place,G5000030,,Single-Family Detached,1,Fuel Oil,67F,No,0F,,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,10000-14999,1,200%,99%,Occupied,Fuel Oil Standard,Fuel Oil,0.0,0.0,92.55,0,40,0.0,1390.9152990373668,0.0,0.0,0.0,7851.960112054178,54678.2695620315,0.0,4226.084831883444,58904.35439391495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66756.31450596913,0.0,153991.0,8070.0,19.8562,16.911900000000003,0.0,107.672,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
10612,0,623,32204.0,30-60%,,1,Cold,Not in a census Place,G5000070,,50 or more Unit,6,Electricity,65F,Yes,6F,Night +3h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,30000-34999,1,50%,94%,Occupied,Electric Standard,Electricity,6.76,11.64,6.76,0,30,1015.7843292169224,60.37264045547777,449.27795057401664,10.257487456027778,1020.76653740985,5775.258508813811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5775.258508813811,7315.0,8477.0,2252.0,7.973899999999999,9.8238,7.805,10.029,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
11428,0,1138,32204.0,60-80%,,4,Cold,Not in a census Place,G5000150,,2 Unit,1,Fuel Oil,72F,Yes,6F,Night +5h,,,,Shared Heating,Non-Ducted Heating,Fuel Oil Shared Heating,,,,30000-34999,1,100%,121%,Occupied,Electric Tankless,Electricity,0.0,0.0,36.72,0,0,0.0,156.49995147196668,0.0,0.0,1340.8001460379166,4699.687681281756,21311.835151853826,0.0,0.0,21311.835151853826,0.0,0.0,0.0,1294.4949169507056,0.0,0.0,0.0,0.0,27306.01775008629,0.0,55184.0,4166.0,4.552899999999999,6.565300000000001,0.0,39.461,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
13177,0,1138,22473.0,30-60%,,2,Cold,In another census Place,G5000070,,2 Unit,2,Natural Gas,70F,Yes,3F,Night -3h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Natural Gas Fuel Wall/Floor Furnace,,,,20000-24999,2,50%,121%,Occupied,Natural Gas Standard,Natural Gas,3.53,0.0,41.46,0,30,0.0,0.0,0.0,0.0,0.0,3369.731164840211,0.0,0.0,0.0,0.0,27461.345417277567,0.0,2953.277174125484,30414.32952033288,0.0,0.0,0.0,0.0,33784.06068517309,2253.0,63637.0,3918.0,7.6209,7.660399999999999,3.743,44.217,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
13849,0,881,55558.0,60-80%,,3,Cold,Not in a census Place,G5000250,,Single-Family Detached,1,Fuel Oil,72F,Yes,6F,Day and Night -1h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,50000-59999,4,100%,99%,Occupied,Fuel Oil Premium,Fuel Oil,0.0,0.0,46.17,0,40,0.0,571.7816579060055,0.0,0.0,0.0,6660.040069663751,22698.35438483861,0.0,6242.413794668333,28940.768179506944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35600.808249170695,0.0,63524.0,14986.0,4.1238,4.6886,0.0,48.202,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
16478,0,1698,13633.0,0-30%,,4,Cold,Not in a census Place,G5000050,,Single-Family Detached,1,Fuel Oil,65F,No,0F,,,,,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,10000-14999,1,50%,99%,Occupied,Fuel Oil Standard,Fuel Oil,0.0,0.0,67.94,0,40,0.0,207.49431768193327,0.0,0.0,0.0,5847.060921006006,34197.583965186095,0.0,2378.271734447583,36575.85569963368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.9399062396444,42966.85652687933,0.0,89718.0,2257.0,8.5952,9.06,0.0,68.61,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
17018,0,2678,27012.0,30-60%,,4,Cold,Not in a census Place,G5000210,,Single-Family Detached,1,Fuel Oil,75F,No,0F,,"Room AC, EER 9.8",<10% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,25000-29999,1,100%,99%,Occupied,Electric Premium,Electricity,1.95,0.0,88.75,0,50,0.0,1725.309390103872,0.0,0.0,1448.06415772095,8015.4937692102785,67826.61005423807,0.0,0.0,67826.61005423807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75842.10382344836,1410.0,191021.0,4335.0,11.393,12.3685,2.399,93.882,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
17742,0,881,4219.0,0-30%,,3,Cold,Not in a census Place,G5000070,,Mobile Home,1,Fuel Oil,75F,Yes,6F,Night -4h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,<10000,4,100%,137%,Occupied,Electric Premium,Electricity,0.0,0.0,54.98,0,50,0.0,948.0849120071388,0.0,0.0,4685.913340983661,11789.07686874781,37810.85718933942,0.0,0.0,37810.85718933942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49599.93405808723,0.0,106245.0,15390.0,9.5181,11.0447,0.0,56.917,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
17868,0,1228,19323.0,30-60%,,2,Cold,Not in a census Place,G5000270,,Single-Family Detached,1,Fuel Oil,72F,Yes,12F,Night +2h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,15000-19999,1,100%,99%,Occupied,Fuel Oil Standard,Fuel Oil,7.85,0.0,27.77,0,30,0.0,440.7788895390222,0.0,0.0,0.0,4546.704582651855,17446.227736282217,0.0,2731.7154450752832,20177.9431813575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24724.647764009354,4350.0,48824.0,3944.0,5.4813,5.4864,7.08,33.212,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
22927,0,881,22223.0,30-60%,,2,Cold,Not in a census Place,G5000230,,Single-Family Detached,1,Fuel Oil,65F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,20000-24999,1,50%,99%,Occupied,Electric Standard,Electricity,2.56,0.0,54.79,0,30,0.0,632.1542983614834,0.0,0.0,1081.4322489355,4339.210264969922,24587.49050316876,0.0,0.0,24587.49050316876,0.0,0.0,0.0,556.2488911868777,0.0,0.0,0.0,0.0,29482.94965932556,1205.0,69268.0,2464.0,11.3526,11.5385,3.119,50.442,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Low
