bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
4840,0,1228,47457.0,80-100%,,3,Cold,Not in a census Place,G5000210,,Single-Family Detached,1,Other Fuel,65F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,45000-49999,1,200%,99%,Occupied,Fuel Oil Standard,Fuel Oil,0.0,0.0,43.6,0,40,0.0,0.0,0.0,0.0,0.0,5614.362491289261,0.0,0.0,4349.46775242595,4349.46775242595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.6167882892944,10779.447032004506,0.0,60691.0,7758.0,12.7344,13.0751,0.0,54.365,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
7179,0,1698,63747.0,100-120%,,2,Cold,In another census Place,G5000250,,Single-Family Detached,1,Propane,67F,No,0F,,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,60000-69999,2,200%,99%,Occupied,Electric Standard,Electricity,0.0,0.0,30.66,0,30,0.0,334.1010199963333,0.0,0.0,5119.65852483855,11600.3390995569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13252.96686425806,0.0,0.0,15316.187198270509,26916.526297827408,0.0,37315.0,16221.0,5.9663,7.3507,0.0,34.172,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
10915,0,1698,74877.0,100-120%,,3,Cold,In another census Place,G5000190,,Single-Family Detached,2,Other Fuel,70F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,70000-79999,2,100%,99%,Occupied,Fuel Oil Standard,Fuel Oil,4.35,0.0,86.55,0,40,0.0,0.0,0.0,0.0,0.0,4699.101539141411,0.0,0.0,4303.455594408911,4303.455594408911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9002.557133550323,1159.0,159440.0,8297.0,8.3829,7.99,4.145,97.426,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
11201,0,2179,64407.0,100-120%,,3,Cold,Not in a census Place,G5000250,,Single-Family Detached,1,Fuel Oil,68F,Yes,3F,Night +3h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,60000-69999,1,100%,99%,Occupied,FIXME Fuel Oil Indirect,Fuel Oil,0.0,0.0,84.08,0,40,0.0,1152.3554479171778,0.0,0.0,0.0,7413.525791076533,45736.96428214717,0.0,2815.826842214711,48552.79112436189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55966.31691543842,0.0,128698.0,4261.0,5.8631,5.6659,0.0,86.611,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
13764,0,1698,55104.0,80-100%,,3,Cold,Not in a census Place,G5000010,,Single-Family Detached,1,Other Fuel,72F,Yes,3F,Night,"Room AC, EER 9.8",20% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,50000-59999,2,50%,99%,Occupied,Electric Premium,Electricity,2.98,0.0,68.79,0,50,0.0,0.0,0.0,0.0,1584.6352764212056,5354.408452046499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.7076252546667,0.0,0.0,0.0,650.9108468525055,6779.026924153672,2337.0,122675.0,4765.0,9.926,9.7692,4.03,69.236,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
17344,0,1228,68718.0,80-100%,,3,Cold,Not in a census Place,G5000110,,Single-Family Detached,1,Fuel Oil,68F,Yes,12F,Night +1h,"Room AC, EER 12.0",60% Conditioned,Room AC,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,60000-69999,2,50%,99%,Occupied,Propane Standard,Propane,6.18,0.0,38.87,0,40,0.0,161.48215966489445,0.0,0.0,0.0,3282.1029148587168,15154.41196753544,0.0,0.0,15154.41196753544,0.0,0.0,0.0,0.0,0.0,0.0,3157.25463896535,3807.8724147476833,22244.38729714184,8996.0,40387.0,4231.0,3.8799,3.7786,7.621,56.266,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
21030,0,2179,109096.0,100-120%,,4,Cold,Not in a census Place,G5000070,,Single-Family Detached,2,Natural Gas,68F,Yes,6F,Day and Night +2h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,5,200%,99%,Occupied,Electric Premium,Electricity,0.0,0.0,59.66,0,50,0.0,605.7779020459834,0.0,0.0,10394.351645798206,24620.021391957875,0.0,0.0,0.0,0.0,24154.03839038404,0.0,0.0,34180.58584311611,0.0,0.0,0.0,0.0,58800.60723507399,0.0,67693.0,34806.0,10.0555,11.2813,0.0,60.798,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
21910,0,2179,85012.0,80-100%,,4,Cold,In another census Place,G5000110,,Single-Family Detached,1,Other Fuel,68F,No,0F,,"Room AC, EER 10.7",<10% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,80000-99999,5,200%,99%,Occupied,Propane Premium,Propane,2.17,0.0,49.46,0,40,0.0,0.0,0.0,0.0,0.0,11979.573064359754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14334.399113193562,15791.841545160025,27771.41460951978,2134.0,57806.0,36359.0,6.047,6.9795,2.845,44.654,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
28163,0,1228,74909.0,100-120%,,3,Cold,In another census Place,G5000250,,Single-Family Detached,1,Fuel Oil,72F,Yes,3F,Night +1h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Boiler, 76% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,70000-79999,3,100%,99%,Occupied,Other Fuel,Other Fuel,2.31,0.0,52.91,0,40,0.0,269.0392424181,0.0,0.0,0.0,6760.856517802994,35655.6125392929,0.0,0.0,35655.6125392929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42416.4690570959,3592.0,90816.0,12407.0,8.7574,9.0298,3.872,57.041,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
30249,0,2179,111217.0,100-120%,,5,Cold,Not in a census Place,G5000190,,Single-Family Detached,1,Other Fuel,70F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,100000-119999,6,200%,99%,Occupied,Electric Premium,Electricity,0.0,0.0,49.66,0,66,0.0,0.0,0.0,0.0,13329.751484643182,25162.789013916827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25162.789013916827,0.0,79710.0,44847.0,13.5171,14.0692,0.0,50.74,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
