bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group,Chosen_Parquet
420314,0,1138,92315.0,100-120%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,80000-99999,3,200%,121%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,26.54,0,30,0.0,137.74340298094444,0.0,0.0,0.0,7163.829239289799,0.0,0.0,0.0,0.0,13426.464937800018,0.0,8624.495453028156,23091.655761009733,0.0,0.0,0.0,0.0,30255.485000299534,0.0,35046.0,19434.0,8.9755,9.4753,0.0,40.086,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_1174.parquet
420314,0,1138,92315.0,100-120%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,80000-99999,3,200%,121%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,26.54,0,30,0.0,137.74340298094444,0.0,0.0,0.0,7163.829239289799,0.0,0.0,0.0,0.0,13426.464937800018,0.0,8624.495453028156,23091.655761009733,0.0,0.0,0.0,0.0,30255.485000299534,0.0,35046.0,19434.0,8.9755,9.4753,0.0,40.086,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_88.parquet
420314,0,1138,92315.0,100-120%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,80000-99999,3,200%,121%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,26.54,0,30,0.0,137.74340298094444,0.0,0.0,0.0,7163.829239289799,0.0,0.0,0.0,0.0,13426.464937800018,0.0,8624.495453028156,23091.655761009733,0.0,0.0,0.0,0.0,30255.485000299534,0.0,35046.0,19434.0,8.9755,9.4753,0.0,40.086,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_1083.parquet
81495,0,1138,73741.0,80-100%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Propane,65F,No,0F,,,,,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,70000-79999,4,200%,121%,Occupied,Electric Tankless,Electricity,0.0,0.0,45.85,0,0,0.0,0.0,0.0,0.0,7490.017340391483,14701.910235189527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.5050029256,24561.7002489936,0.0,0.0,24561.7002489936,41247.115487108735,0.0,56986.0,23268.0,13.6275,17.919700000000002,0.0,45.878,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_861.parquet
81495,0,1138,73741.0,80-100%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Propane,65F,No,0F,,,,,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,70000-79999,4,200%,121%,Occupied,Electric Tankless,Electricity,0.0,0.0,45.85,0,0,0.0,0.0,0.0,0.0,7490.017340391483,14701.910235189527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.5050029256,24561.7002489936,0.0,0.0,24561.7002489936,41247.115487108735,0.0,56986.0,23268.0,13.6275,17.919700000000002,0.0,45.878,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_991.parquet
420314,0,1138,92315.0,100-120%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,80000-99999,3,200%,121%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,26.54,0,30,0.0,137.74340298094444,0.0,0.0,0.0,7163.829239289799,0.0,0.0,0.0,0.0,13426.464937800018,0.0,8624.495453028156,23091.655761009733,0.0,0.0,0.0,0.0,30255.485000299534,0.0,35046.0,19434.0,8.9755,9.4753,0.0,40.086,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_469.parquet
248524,0,854,94954.0,100-120%,,2,Cold,In another census Place,G5000270,,3 or 4 Unit,3,Other Fuel,68F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Boiler, 76% AFUE",Non-Ducted Heating,Other Fuel Fuel Boiler,,,,80000-99999,5,100%,121%,Occupied,Electric Premium,Electricity,3.82,0.0,18.75,0,30,0.0,66.23406185892222,0.0,0.0,4683.275701352111,11168.059271052873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.8161569710444,0.0,0.0,0.0,0.0,12207.875428023915,5372.0,15444.0,15173.0,7.7002,7.2599,4.245,16.747,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_540.parquet
420314,0,1138,92315.0,100-120%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,80000-99999,3,200%,121%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,26.54,0,30,0.0,137.74340298094444,0.0,0.0,0.0,7163.829239289799,0.0,0.0,0.0,0.0,13426.464937800018,0.0,8624.495453028156,23091.655761009733,0.0,0.0,0.0,0.0,30255.485000299534,0.0,35046.0,19434.0,8.9755,9.4753,0.0,40.086,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_958.parquet
220671,0,1138,47457.0,80-100%,,2,Cold,Not in a census Place,G5000050,,3 or 4 Unit,3,Propane,72F,No,0F,,"Room AC, EER 12.0",100% Conditioned,Room AC,Shared Heating,Ducted Heating,Propane Shared Heating,,,,45000-49999,1,100%,121%,Occupied,Propane Premium,Propane,15.24,0.0,32.52,0,30,0.0,162.36137287541112,0.0,0.0,0.0,4995.689462155699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19294.62697585842,0.0,2627.0890730238,21921.716048882223,26917.405511037923,7534.0,50199.0,5017.0,26.3124,25.2993,14.631,67.839,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_897.parquet
420314,0,1138,92315.0,100-120%,,2,Cold,Not in a census Place,G5000070,,3 or 4 Unit,2,Natural Gas,72F,No,0F,,,,,Shared Heating,Non-Ducted Heating,Natural Gas Shared Heating,,,,80000-99999,3,200%,121%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,26.54,0,30,0.0,137.74340298094444,0.0,0.0,0.0,7163.829239289799,0.0,0.0,0.0,0.0,13426.464937800018,0.0,8624.495453028156,23091.655761009733,0.0,0.0,0.0,0.0,30255.485000299534,0.0,35046.0,19434.0,8.9755,9.4753,0.0,40.086,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid,res_618.parquet
