Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325519-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325521-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325542-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325563-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325570-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325581-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325623-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325649-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325654-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325676-0.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325726-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325728-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325734-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325778-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325788-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325796-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325824-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325831-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325846-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325859-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325867-0.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325885-0.parquet,7
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325888-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325892-0.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325895-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325905-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325917-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325935-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325937-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326001-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326012-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326020-0.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326045-0.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326046-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,103422-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,10915-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,115478-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,120648-0.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,123870-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,131189-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,13764-0.parquet,10
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,14811-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,149154-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,152338-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,155160-0.parquet,138
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,163670-0.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,163788-0.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,166072-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,170402-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,171202-0.parquet,20
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,174881-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,176345-0.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,182265-0.parquet,16
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,189342-0.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,192504-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,201316-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,206820-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,21910-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,225892-0.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,228420-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,230222-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,238397-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,243603-0.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,248524-0.parquet,15
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,255664-0.parquet,22
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,259895-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,261327-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,266897-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,273467-0.parquet,15
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,277891-0.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,288755-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,301697-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,30249-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,303273-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,303680-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,311532-0.parquet,54
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,314826-0.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,334167-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,342477-0.parquet,10
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,343556-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,381679-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,382538-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,387599-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,388379-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,389403-0.parquet,14
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,404803-0.parquet,67
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,40854-0.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,420314-0.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,421082-0.parquet,17
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,441386-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,441654-0.parquet,36
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,450654-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,458791-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,459170-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,468348-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,473558-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,474440-0.parquet,17
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,4840-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,491241-0.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,494122-0.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,49640-0.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,497509-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,497783-0.parquet,256
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,498144-0.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,499497-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,508283-0.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,508812-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,52196-0.parquet,13
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,536502-0.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,545235-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,60624-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,60690-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,65506-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,65610-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,68095-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,69193-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,73072-0.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,7329-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,78265-0.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,81102-0.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,81495-0.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,8390-0.parquet,13
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,86505-0.parquet,1
