Feeder,Parquet_Folder,Parquet_File,REAL_LOAD_COUNT
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325519-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325521-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325542-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325563-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325570-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325581-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325623-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325649-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325654-2.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325676-2.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325726-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325728-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325734-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325778-2.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325788-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325796-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325824-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325831-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325846-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325859-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325867-9.parquet,4
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325885-9.parquet,7
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325888-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325892-2.parquet,3
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325895-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325905-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325917-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325935-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,325937-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326001-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326012-9.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326020-2.parquet,2
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326045-2.parquet,1
uhs0_1247--udt12274,parquet_commercial_202512_comm_VT,326046-2.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,103422-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,10915-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,115478-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,120648-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,123870-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,131189-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,13764-4.parquet,10
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,14811-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,149154-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,152338-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,155160-4.parquet,138
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,163670-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,163788-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,166072-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,170402-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,171202-4.parquet,20
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,174881-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,176345-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,182265-4.parquet,16
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,189342-4.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,192504-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,201316-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,206820-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,21910-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,225892-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,228420-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,230222-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,238397-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,243603-4.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,248524-4.parquet,15
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,255664-4.parquet,22
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,259895-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,261327-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,266897-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,273467-4.parquet,15
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,277891-4.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,288755-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,301697-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,30249-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,303273-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,303680-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,311532-4.parquet,54
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,314826-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,334167-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,342477-4.parquet,10
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,343556-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,381679-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,382538-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,387599-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,388379-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,389403-4.parquet,14
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,404803-4.parquet,67
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,40854-4.parquet,8
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,420314-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,421082-4.parquet,17
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,441386-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,441654-4.parquet,36
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,450654-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,458791-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,459170-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,468348-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,473558-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,474440-4.parquet,17
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,4840-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,491241-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,494122-4.parquet,11
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,49640-4.parquet,2
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,497509-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,497783-4.parquet,256
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,498144-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,499497-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,508283-4.parquet,7
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,508812-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,52196-4.parquet,13
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,536502-4.parquet,9
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,545235-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,60624-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,60690-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,65506-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,65610-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,68095-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,69193-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,73072-4.parquet,5
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,7329-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,78265-4.parquet,3
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,81102-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,81495-4.parquet,4
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,8390-4.parquet,13
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,86505-4.parquet,1
uhs0_1247--udt12274,parquet_residential_short_202512_res_VT,9426-4.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325517-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325519-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325521-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325537-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325538-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325539-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325542-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325546-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325549-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325557-9.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325559-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325563-9.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325570-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325571-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325573-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325581-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325592-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325611-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325632-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325649-2.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325654-2.parquet,18
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325657-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325659-9.parquet,5
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325662-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325663-9.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325665-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325670-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325676-2.parquet,15
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325679-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325683-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325684-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325685-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325692-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325716-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325720-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325726-2.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325728-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325742-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325748-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325759-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325778-2.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325787-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325788-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325796-2.parquet,7
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325842-2.parquet,6
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325846-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325859-9.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325867-9.parquet,6
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325873-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325885-9.parquet,9
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325891-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325892-2.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325895-9.parquet,3
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325907-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325929-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325935-2.parquet,13
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325937-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325939-2.parquet,5
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325948-2.parquet,8
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325961-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,325964-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326000-2.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326005-9.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326012-9.parquet,4
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326018-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326020-2.parquet,2
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326052-2.parquet,1
uhs0_1247--udt14717,parquet_commercial_202512_comm_VT,326053-2.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,101102-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,103422-4.parquet,7
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,10915-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,11201-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,120648-4.parquet,15
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,123527-4.parquet,2
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,134740-4.parquet,1
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,13764-4.parquet,6
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,14811-4.parquet,4
uhs0_1247--udt14717,parquet_residential_short_202512_res_VT,149154-4.parquet,3
