hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 4779.88, 10.8347, 4918.4, 11.0213, 4744.05, 10.6948
0, 1800.00000, 4752.51, 11.1099, 4893.37, 11.26, 4711.62, 10.95
0, 2700.00000, 4642.07, 10.981, 4814.29, 11.1764, 4677.56, 10.8925
1, 0.00000, 4616.3, 11.1025, 4856.43, 11.2327, 4618.4, 10.9791
1, 900.00000, 4544.39, 11.1172, 4785.64, 11.2677, 4555, 10.9814
1, 1800.00000, 4486.65, 11.1095, 4694.3, 11.3145, 4500.63, 11.0525
1, 2700.00000, 4447.05, 11.1976, 4676.36, 11.3588, 4385.42, 11.2117
2, 0.00000, 4386.66, 11.3091, 4607.13, 11.4764, 4338.25, 11.2886
2, 900.00000, 4330.45, 11.3794, 4566.99, 11.614, 4328.91, 11.4022
2, 1800.00000, 4320.6, 11.5574, 4540.42, 11.7493, 4313.81, 11.5129
2, 2700.00000, 4292.82, 11.5236, 4449.82, 11.7671, 4269.3, 11.4341
3, 0.00000, 4258.34, 11.5694, 4417.55, 11.8145, 4268.35, 11.4535
3, 900.00000, 4285.37, 11.4895, 4396.06, 11.841, 4225.86, 11.458
3, 1800.00000, 4290.4, 11.6196, 4427, 11.8734, 4240.71, 11.5258
3, 2700.00000, 4229.91, 11.6194, 4379.51, 11.8281, 4216.15, 11.5247
4, 0.00000, 4265.01, 11.6487, 4412.77, 11.9242, 4227.69, 11.6002
4, 900.00000, 4239.24, 11.8089, 4398.66, 12.0137, 4234.82, 11.706
4, 1800.00000, 4275.3, 11.8061, 4422.88, 12.0567, 4271.52, 11.7089
4, 2700.00000, 4292.51, 11.9386, 4416.52, 12.2139, 4278.08, 11.8766
5, 0.00000, 4374.71, 12.2509, 4515.5, 12.5101, 4352.79, 12.074
5, 900.00000, 4255.85, 11.9564, 4425.24, 12.3733, 4274.32, 11.9351
5, 1800.00000, 4368.88, 12.3809, 4513.52, 12.6644, 4369.08, 12.3193
5, 2700.00000, 4547.68, 13.0891, 4628.29, 13.1308, 4461.98, 12.694
6, 0.00000, 4406.25, 12.3979, 4560.48, 12.7504, 4414.55, 12.3786
6, 900.00000, 4480.84, 12.6241, 4634.46, 12.9339, 4483.57, 12.5772
6, 1800.00000, 4496.53, 12.6837, 4647.27, 13.0208, 4519.26, 12.6044
6, 2700.00000, 4572.16, 12.6331, 4714.1, 12.9894, 4620.57, 12.7252
7, 0.00000, 4821.4, 13.3443, 4961.56, 13.6282, 4887.3, 13.4952
7, 900.00000, 5056.31, 13.8444, 5213.68, 14.2601, 5179.23, 14.2266
7, 1800.00000, 5189.49, 13.6168, 5342.99, 13.9931, 5285.59, 13.9251
7, 2700.00000, 5151.39, 13.3862, 5296.74, 13.776, 5247.37, 13.6665
8, 0.00000, 4854.26, 12.5298, 5018.98, 12.9043, 4929.44, 12.6354
8, 900.00000, 5052.29, 12.7783, 5186.77, 13.1909, 5096.53, 12.9114
8, 1800.00000, 5215.04, 13.3346, 5257.17, 13.3406, 5269.79, 13.512
8, 2700.00000, 5276.68, 13.4265, 5275.9, 13.3086, 5282.19, 13.568
9, 0.00000, 5161.4, 12.8107, 5233.27, 13.079, 5149.02, 12.8756
9, 900.00000, 5220.09, 12.7201, 5265.42, 13.1307, 5239.07, 12.9694
