hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0561876, 0.080945, 0.0561203, -0.0813218, 0.0562922, 0.000262077, 0, 0
0, 1800.00000, 0.0561935, 0.0926464, 0.0561104, -0.0876562, 0.0562963, -0.00510172, 0, 0
0, 2700.00000, 0.0562021, 0.0949188, 0.0561094, -0.0798462, 0.0562888, -0.0150656, 0, 0
1, 0.00000, 0.0561791, 0.0961421, 0.0561084, -0.106662, 0.0563127, 0.0103949, 0, 0
1, 900.00000, 0.0561746, 0.0983191, 0.0561091, -0.11446, 0.0563167, 0.0160727, 0, 0
1, 1800.00000, 0.0561761, 0.0824273, 0.0561219, -0.0997628, 0.0563022, 0.0172643, 0, 0
1, 2700.00000, 0.0561718, 0.0919002, 0.0561142, -0.114258, 0.0563142, 0.0222301, 0, 0
2, 0.00000, 0.0561653, 0.0743937, 0.0561299, -0.106343, 0.056305, 0.031862, 0, 0
2, 900.00000, 0.0561717, 0.0962412, 0.0561089, -0.118977, 0.0563196, 0.0225226, 0, 0
2, 1800.00000, 0.0561736, 0.110544, 0.0560984, -0.128292, 0.0563283, 0.017562, 0, 0
2, 2700.00000, 0.0561729, 0.0946385, 0.0561133, -0.113977, 0.0563141, 0.0192261, 0, 0
3, 0.00000, 0.0561859, 0.100424, 0.0561075, -0.104291, 0.0563068, 0.00371624, 0, 0
3, 900.00000, 0.0561822, 0.0890814, 0.0561156, -0.0989835, 0.0563023, 0.00978684, 0, 0
3, 1800.00000, 0.0561799, 0.0866598, 0.056118, -0.0998204, 0.0563022, 0.0129709, 0, 0
3, 2700.00000, 0.0561888, 0.0887111, 0.0561162, -0.0919206, 0.0562952, 0.00315566, 0, 0
4, 0.00000, 0.0561972, 0.0952111, 0.0561071, -0.089458, 0.0562957, -0.00598764, 0, 0
4, 900.00000, 0.0561897, 0.0931693, 0.0561129, -0.0942339, 0.0562977, 0.000966102, 0, 0
4, 1800.00000, 0.0561921, 0.0909863, 0.0561135, -0.0892042, 0.0562944, -0.00197781, 0, 0
4, 2700.00000, 0.056192, 0.0949687, 0.0561087, -0.0927178, 0.0562993, -0.00250898, 0, 0
5, 0.00000, 0.0561936, 0.1001, 0.0561038, -0.0945684, 0.0563025, -0.00583305, 0, 0
5, 900.00000, 0.0561981, 0.113633, 0.0560895, -0.102512, 0.0563129, -0.0111091, 0, 0
5, 1800.00000, 0.0561958, 0.100289, 0.0561034, -0.0932438, 0.0563007, -0.00735944, 0, 0
5, 2700.00000, 0.0561832, 0.109915, 0.0560917, -0.111673, 0.056325, 0.00133933, 0, 0
6, 0.00000, 0.0561997, 0.111623, 0.0560917, -0.0991418, 0.0563088, -0.0126089, 0, 0
6, 900.00000, 0.0561897, 0.105005, 0.0561006, -0.102688, 0.0563098, -0.00257746, 0, 0
6, 1800.00000, 0.0561944, 0.104082, 0.0561009, -0.0970838, 0.0563047, -0.00724938, 0, 0
6, 2700.00000, 0.0561993, 0.0975155, 0.0561065, -0.0885801, 0.0562938, -0.00936447, 0, 0
7, 0.00000, 0.0562048, 0.0912826, 0.0561137, -0.0802106, 0.0562811, -0.011551, 0, 0
7, 900.00000, 0.0562059, 0.0843966, 0.056122, -0.0717811, 0.0562717, -0.0130449, 0, 0
7, 1800.00000, 0.0561987, 0.117331, 0.05609, -0.104362, 0.0563112, -0.01332, 0, 0
7, 2700.00000, 0.0562077, 0.111016, 0.0560933, -0.0915078, 0.0562991, -0.0197103, 0, 0
8, 0.00000, 0.0562083, 0.116105, 0.0560888, -0.095326, 0.0563036, -0.020661, 0, 0
8, 900.00000, 0.0562208, 0.117956, 0.0560829, -0.0883386, 0.0562961, -0.0300586, 0, 0
8, 1800.00000, 0.0561904, 0.0980413, 0.0561105, -0.0955415, 0.0562988, -0.00289569, 0, 0
8, 2700.00000, 0.0561816, 0.0950714, 0.0561165, -0.100633, 0.0563018, 0.00532732, 0, 0
9, 0.00000, 0.0562027, 0.131882, 0.0560721, -0.111412, 0.0563257, -0.0205419, 0, 0
9, 900.00000, 0.0562342, 0.114663, 0.0560826, -0.0706538, 0.0562829, -0.044378, 0, 0
9, 1800.00000, 0.0562402, 0.105728, 0.0560924, -0.0573497, 0.0562671, -0.0487552, 0, 0
9, 2700.00000, 0.0562393, 0.0978542, 0.0561007, -0.0518869, 0.0562593, -0.0465736, 0, 0
10, 0.00000, 0.0562192, 0.12238, 0.0560807, -0.0885409, 0.0563002, -0.0340769, 0, 0
10, 900.00000, 0.0562131, 0.0955548, 0.0561093, -0.0705865, 0.0562781, -0.0247948, 0, 0
10, 1800.00000, 0.0562245, 0.114471, 0.0560885, -0.0762891, 0.0562876, -0.0380711, 0, 0
10, 2700.00000, 0.0562022, 0.11031, 0.0560936, -0.0929853, 0.0563043, -0.0175222, 0, 0
11, 0.00000, 0.0562272, 0.11214, 0.0560879, -0.0721839, 0.056285, -0.0400727, 0, 0
11, 900.00000, 0.0562235, 0.111282, 0.0560909, -0.0738688, 0.056286, -0.0374546, 0, 0
