 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
7350.22,18.0373,6988.9944840224525,2275.893264347812,7022.91,17.3374,6703.8345042402025,2092.8133714831156,7252.52,18.9183,6860.752307699106,2351.408965450588,20553.58129596176,6720.115601281515,21624.28398315876,21625.65,0.0,1,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7149.88,18.1963,6792.330368591387,2232.7185622713855,6849.41,17.2538,6541.188433414806,2031.5686615668071,7066.48,18.8875,6685.992480064376,2287.4973545170724,20019.51128207057,6551.784578355265,21064.34696671427,21065.77,0.0,2,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7072.18,18.0841,6722.827816004807,2195.2940825210744,6731.0,17.3695,6424.062228953724,2009.4241659067668,7047.59,18.7982,6671.66720754858,2270.986895563455,19818.55725250711,6475.705143991296,20849.699486630918,20850.77,0.0,3,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7071.04,18.2785,6714.258197418899,2217.7338749257356,6825.05,17.705,6501.78113639831,2075.608237812499,7184.68,18.9589,6794.9245613318735,2334.229403509615,20010.96389514908,6627.57151624785,21079.928373121667,21080.77,1.0,4,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7015.37,18.3764,6657.627845222604,2211.6527103993117,6757.29,17.6516,6439.143069592356,2049.0008963933456,7072.71,19.1415,6681.671580555712,2319.1575267096728,19778.442495370673,6579.8111335023295,20844.20068256986,20845.37,1.0,5,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
7004.44,19.025,6621.8324791866235,2283.3121405513384,6773.85,18.0243,6441.425831251029,2095.9668611387888,7128.59,19.436,6722.358522003834,2372.0647735132425,19785.616832441487,6751.34377520337,20905.77136130521,20906.88,1.0,6,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6995.96,19.2383,6605.279881345328,2305.1537932846586,6755.27,18.0939,6421.21380861194,2098.019541613314,7077.71,19.5156,6671.099595536794,2364.404582665332,19697.593285494062,6767.577917563304,20827.75292994977,20828.94,1.0,7,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6950.85,19.5418,6550.465138234751,2325.0209021149026,6716.41,18.2219,6379.599496203893,2100.2079792570626,7082.78,19.6672,6669.594460954407,2383.753815897583,19599.65909539305,6808.982697269548,20748.707960433094,20750.04,2.0,8,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6959.72,19.7547,6550.128595120088,2352.3430586949144,6681.88,18.4927,6336.854945388774,2119.384282168256,7117.1,19.8271,6695.201486387466,2413.9986467840204,19582.185026896328,6885.725987647191,20757.53339885456,20758.7,2.0,9,900.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6867.3,19.5048,6473.209845442091,2292.8941508215303,6606.94,18.3953,6269.337927724541,2084.9599784155453,7053.05,19.8695,6633.176195594384,2397.1833181256725,19375.723968761016,6775.037447362748,20526.076384121436,20527.29,2.0,10,1800.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6777.84,19.4474,6391.147574380988,2256.623085072918,6535.91,18.3134,6204.879341220722,2053.677649727992,6970.89,19.8155,6558.137309085701,2363.079014184284,19154.16422468741,6673.379748985195,20283.39233019124,20284.64,2.0,11,2700.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
6715.03,19.4309,6332.564615200557,2233.8874849037993,6577.5,18.2811,6245.527009383298,2063.225296729304,6974.1,19.7602,6563.436002043647,2357.833466782019,19141.527626627503,6654.946248415122,20265.39882287636,20266.629999999997,3.0,12,0.0,uhs0_1247_circuit_1_0,uhs0,circuit_1,0,data,,,,,
