substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,winter,0.2,0.0,0.8,55,0,148,203,254,0,1367,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_2,2,winter,1.0,0.0,0.0,203,0,0,203,1621,0,0,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,winter,0.2,0.6,0.2,39,117,47,203,307,624,690,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,winter,0.2,0.0,0.8,53,0,239,292,478,0,1347,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_2,2,winter,1.0,0.0,0.0,292,0,0,292,1825,0,0,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,winter,0.2,0.6,0.2,67,167,58,292,343,1194,288,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,winter,0.2,0.0,0.8,21,0,79,100,60,0,240,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_2,2,winter,1.0,0.0,0.0,100,0,0,100,300,0,0,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,winter,0.2,0.6,0.2,23,56,21,100,110,155,35,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,winter,0.2,0.0,0.8,61,0,210,271,336,0,714,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_2,2,winter,1.0,0.0,0.0,271,0,0,271,1050,0,0,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,winter,0.2,0.6,0.2,60,161,50,271,230,702,118,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,winter,0.2,0.0,0.8,41,0,195,236,130,0,1111,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_2,2,winter,1.0,0.0,0.0,236,0,0,236,1241,0,0,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,winter,0.2,0.6,0.2,48,153,35,236,320,665,256,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,winter,0.2,0.0,0.8,41,0,163,204,102,0,484,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_2,2,winter,1.0,0.0,0.0,204,0,0,204,586,0,0,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,winter,0.2,0.6,0.2,38,127,39,204,155,348,83,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,winter,0.2,0.0,0.8,38,0,161,199,358,0,787,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_2,2,winter,1.0,0.0,0.0,199,0,0,199,1145,0,0,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,winter,0.2,0.6,0.2,38,115,46,199,244,695,206,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,winter,0.2,0.0,0.8,46,0,202,248,363,0,1201,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_2,2,winter,1.0,0.0,0.0,248,0,0,248,1564,0,0,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,winter,0.2,0.6,0.2,55,138,55,248,392,766,406,1564
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_0,0,winter,0.2,0.0,0.8,47,0,172,219,424,0,1442,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_2,2,winter,1.0,0.0,0.0,219,0,0,219,1866,0,0,1866
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_1,1,winter,0.2,0.6,0.2,50,117,52,219,461,995,410,1866
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_0,0,winter,0.2,0.0,0.8,44,0,185,229,188,0,731,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_2,2,winter,1.0,0.0,0.0,229,0,0,229,919,0,0,919
uhs12_1247,uhs12_1247--udt15482,uhs12_1247_circuit_40_1,1,winter,0.2,0.6,0.2,46,146,37,229,209,483,227,919
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_0,0,winter,0.2,0.0,0.8,28,0,91,119,103,0,347,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_2,2,winter,1.0,0.0,0.0,119,0,0,119,450,0,0,450
uhs12_1247,uhs12_1247--udt15805,uhs12_1247_circuit_41_1,1,winter,0.2,0.6,0.2,24,63,32,119,52,320,78,450
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_0,0,winter,0.2,0.0,0.8,40,0,148,188,212,0,1156,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_2,2,winter,1.0,0.0,0.0,188,0,0,188,1368,0,0,1368
uhs12_1247,uhs12_1247--udt17650,uhs12_1247_circuit_42_1,1,winter,0.2,0.6,0.2,42,107,39,188,187,604,577,1368
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_0,0,winter,0.2,0.0,0.8,62,0,220,282,200,0,566,766
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_2,2,winter,1.0,0.0,0.0,282,0,0,282,766,0,0,766
uhs13_1247,uhs13_1247--udt4015,uhs13_1247_circuit_43_1,1,winter,0.2,0.6,0.2,57,179,46,282,117,508,141,766
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_0,0,winter,0.2,0.0,0.8,32,0,157,189,181,0,798,979
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_2,2,winter,1.0,0.0,0.0,189,0,0,189,979,0,0,979
uhs13_1247,uhs13_1247--udt4819,uhs13_1247_circuit_44_1,1,winter,0.2,0.6,0.2,39,115,35,189,227,568,184,979
uhs14_1247,uhs14_1247--udt11665,uhs14_1247_circuit_45_0,0,winter,0.2,0.0,0.8,50,0,193,243,196,0,541,737
